product,category,official_sources,placement,adaptive_path,spaced_repetition,speech_feedback,teacher_review,curriculum_depth,assessment,accessibility,privacy_child_safety,pricing_boundary,offline_audio,confirmed,evidence_gaps,inference_for_muslingo
"Sajda Academy","Faith learning and utilities","https://sajda.com/","Goal/topic entry rather than placement","Programs and daily content; no adaptive skill graph confirmed","Repeated programs and streak mechanics; no SRS confirmed","None documented","No integrated teacher review documented","Introductory worship, Ramadan, Umrah, names and daily-practice content","Light completion and games","Strong regional localization including Kazakh and Russian; formal accessibility statement not located","Public product policies apply; child-specific learning controls not confirmed","Core app free; Sajda+ subscription varies by region","Quran audio and utility use; offline scope varies","Regional language breadth and Academy positioning confirmed by official product material","Little public detail on assessment or reviewer workflow","Primary regional localization benchmark, not a mastery-system benchmark"
"Quran Majeed","Quran reader","https://pakdata.com/products/quran-majeed/ | https://pakdata.com/privacy-policy/","None","None","Manual ayah/surah repetition","None","Quran text is described as proofread by an alim; no learner review","Complete Quran reader with scripts, translations and reciters","No graded learning assessment","Themes, fonts and reading controls; no formal accessibility statement","Privacy policy states no sale of user data; child controls unclear","Free/in-app purchase model varies by store","Advanced repeat, speed and reciter audio support memorization","Proofreading, reader tools and repeat controls confirmed","No curriculum, adaptive path or outcome evidence","Benchmark robust reader/audio controls, not course design"
"Qariah","Quran listening","https://qariah.app/","Browse by reciter, country and riwaya","None","Manual listening/repetition","None","Qualified female reciters provide exemplary models, not learner review","Deep representation across women reciters and riwayat; limited sequenced pedagogy","No graded assessment","Listening-first, translations and tajwid coloring; accessibility statement not found","Account and third-party content terms; child safeguards not established","Free app","Offline downloads and playlists documented","Reciter qualification and listening features confirmed","No mastery, diagnostic or speech feedback model","Use as a representation and exemplary-audio benchmark"
"Quranic","Quranic Arabic","https://www.getquranic.com/learners/ | https://www.getquranic.com/pricing/ | https://www.getquranic.com/terms/","Begins with high-frequency vocabulary/story lessons; no formal placement found","Premium allows customized quizzes; personalization depth not public","Explicit spaced repetition","None documented","None documented","Focused Quran vocabulary, grammar, stories and sentence patterns","Timed/untimed quizzes and translation practice","Multiple interface languages; accessibility statement not located","Terms/privacy available; child-specific controls unclear","Free one lesson per 12 hours; Premium USD 49/year; Family USD 99/year","Official pricing page says quiz and word list work offline","Curriculum model, pricing and offline review confirmed","No speech, teacher review or published efficacy benchmark","Closest direct benchmark for Quranic-Arabic microlearning and retrieval"
"AlifBee","MSA and Quranic Arabic","https://www.alifbee.com/en | https://help.alifbee.com/hc/en-us/articles/9421698273821--Placement-test | https://store.alifbee.com/products/alifbee-premium","Smart placement test and separate proctored four-skill exam","Personalized review and flexible paths","Explicit spaced repetition and personal dictionary","Speaking tasks/chatbot; not tajwid","Virtual School offers live placement, graded teacher feedback and chat","1000+ lessons claimed across 26 levels; four skills; Quranic curriculum expansion","Self-assessments, quizzes, level exams and certificates","Kids product exists; general accessibility conformance not located","Privacy/terms published; child product controls require separate review","Free level/sample lessons; premium durations and paid certificates","Official store says internet is required","Placement, SRS, depth, four skills and teacher-supported option confirmed","No Quran recitation validity and no public disability-accessibility audit","Depth benchmark: Muslingo Arabic needs level outcomes and transfer tasks, not just lesson count"
"Arabic101","Arabic, Quranic Arabic and tajwid","https://arabic101.org/ | https://academy.arabic101.org/courses/ | https://academy.arabic101.org/tiersplans3/","Course/level selection; live track is personalized","Teacher plans and periodic reviews personalize study","No algorithmic SRS documented","Live teacher corrects recitation/language; self-paced automated phoneme scoring not established","Qualified teacher, direct feedback, lesson report and 4-week review","Deep staged reading, MSA, Quranic grammar, tajwid and Quran mastery","Lesson quizzes, periodical exams, midterms/finals and personalized tests","Multiple teaching languages; accessibility statement not found","Public terms; child suitability claimed for group plans but safeguarding details limited","Self-study content free; live plans from USD 9/hour depending tier","Video/audio resources; offline entitlement unclear","Teacher workflow, assessment and pricing confirmed","No published efficacy or automated speech validation","Strong benchmark for a Muslingo teacher escalation and periodic human review layer"
"Arabic Unlocked","Quranic Arabic","https://arabicunlocked.com/ | https://arabicunlocked.com/academy/ | https://arabicunlocked.com/terms/","No formal placement publicly confirmed","Smart tracking claims to find gaps and tailor sessions","Explicit spaced repetition","General pronunciation practice; no Quran tajwid validation","Academy adds live teacher-led study","Bite-sized app plus deep-dive Quranic Arabic Academy","Gamified lesson checks, workbooks and self-tests","Kids appeal is marketed; accessibility statement and child controls not found","Privacy/terms published","7-day trial; GBP 9.99 monthly, GBP 58.99 yearly; Academy GBP 997 promotional annual offer","Audio/video learning; offline not verified","Current mechanics and price boundary confirmed","Adaptive algorithm and learning effectiveness are not independently specified","Benchmark the bridge from app habit to paid teacher depth"
"Understand Al Quran Academy","Quranic Arabic, reading and tajwid","https://understandquran.com/ | https://understandquran.com/courses/learn-tajweed-the-easy-way/ | https://understandquran.com/online-madrasah/","Path/course selection; no adaptive placement confirmed","Sequenced pathways; no dynamic learner model published","Repetition methodology but no item-level SRS evidence","Audio and recitation teaching; live madrasah can correct students","Teacher training and live programs available","Reading, tajwid, Quran understanding, salah and school curricula","Quizzes, worksheets and teacher resources","Age-banded madrasah materials; formal WCAG statement not found","Institutional terms and download rights vary; child safeguarding details not consolidated publicly","Many recorded courses free; live/diploma plans paid","Downloadable materials and audio exist; exact app offline scope varies","Curriculum breadth and teacher resources confirmed","No published adaptive engine or speech benchmark","Useful source and sequencing partner candidate; licensing must be explicit"
"Bayyinah TV","Quranic Arabic and tafsir","https://www.bayyinahtv.com/index | https://explore.bayyinahtv.com/arabic/ | https://bayyinah.com/terms-and-conditions/","Learner chooses Arabic or surah/topic track","Recommended study paths; no item-level adaptation documented","No SRS documented","None automated","Live Q&A and named instructors; not recitation correction","2000+ hours and 1500+ videos advertised across Arabic and Quran study","Consumption progress and study notes; few graded retrieval tasks","Transcripts/notes vary; public accessibility conformance not located","Named instructors and terms; child controls not a central feature","About USD 11/month or USD 112/year; offers may vary","Mobile audio/video use; offline support depends on app/current plan","Depth and pricing confirmed by official pages","Learning-outcome assessment and source metadata are uneven","Best meaning/explanation benchmark, but Muslingo must add retrieval and mastery evidence"
"AMAU Academy","Arabic and Islamic studies","https://www.amauacademy.com/ | https://helpdesk.amauacademy.com/articles/getting-started-with-amau/what-is-amau-academy/ | https://www.amauacademy.com/pages/plans","Program choice rather than adaptive placement","Structured pathways and student dashboards; no adaptive algorithm documented","Review is curricular, not confirmed SRS","Teacher-led Quran/Arabic components; no automated speech claim","Named instructors and guided programs","Arabic, Islamic studies, student and junior programs","Course tests/tasks vary by program","AMAU Junior is age-focused; public disability-accessibility statement not located","Junior/household use covered by terms; granular child controls require verification","Subscription plans; current official checkout determines exact price","App/web video and audio; offline scope not confirmed","Program breadth and junior track confirmed","No public SRS, adaptive or efficacy data","Benchmark separate adult and junior pathways with explicit prerequisites"
"SeekersGuidance Academy","Islamic studies and Arabic","https://academy.seekersguidance.org/ | https://seekersguidance.org/answers/general-counsel/what-is-the-belief-and-approach-of-seekersguidance-and-its-online-islamic-courses/","Learner selects level/track","Prerequisite-based curriculum; no algorithmic adaptation","No SRS documented","Teacher/tutorial feedback in applicable courses; no automated scoring","Qualified scholars, live sessions and mentorship","Large multi-level curriculum in law, belief, spirituality, Arabic and hadith","Quizzes/assignments depend on course","Web-based; formal accessibility statement not found","Declared scholarly approach; child product controls not central","Free","Audio/video lessons and downloads vary","Free structured scholarly curriculum and declared approach confirmed","No adaptive engine or uniform assessment model","Benchmark doctrinal transparency and scholar escalation"
"Safar Publications","Child Islamic studies and Quran curriculum","https://www.safaracademy.org/curriculum/ | https://safarpublications.org/islamic-studies-primary/ | https://docs.safarpublications.org/article/76-who-writes-the-textbooks","Age/book placement rather than adaptive test","Year-by-year sequence","Workbook review; no SRS","Teacher-led recitation outside the books","Teacher guides and classroom delivery","Longitudinal primary curriculum across faith, worship, history and character","Workbooks, activities and teacher checks","Explicit child age bands and classroom design; digital accessibility not central","Named writing/review process; content is proprietary","Paid books/school materials","Audio/digital supplements vary","Age progression, authorship and review model confirmed","No adaptive personalization or open reuse rights","Best benchmark for age-banded foundations; Muslingo's 10 foundations lessons are far too shallow"
"Yaqeen Curriculum","Youth faith learning","https://yaqeeninstitute.org/curriculum | https://yaqeeninstitute.org/about-us/our-commitment-to-scholarly-rigor","Middle-school and high-school bands","Teachers select/adapt units; no automated path","No SRS","None","Teacher-delivered; scholar-approved, educator-developed","Contemporary faith questions, principles and faith-in-action units","Every unit includes objectives, worksheets and assessments","Age bands 11-13 and 14-18; formal digital accessibility statement not found","Editorial board, peer review, correction and archival workflow documented","Free educator materials","Downloadable lesson plans/slides; audio is not core","Age range, 3-5 lesson units, assessment and scholarly review confirmed","No longitudinal mastery system or child account controls","Governance and correction workflow should be copied before scaling faith content"
"Zad Academy","Adult Islamic studies","https://zad-academy.com/en | https://zad-academy.com/en/curriculum | https://support.zad-academy.com/en/275805-Exams","Entry by semester; no placement test","Cannot advance until current level is passed","Curricular review, not SRS","No speech assessment","Scholar-led lectures and forums","Two years, four semesters, seven subjects; 24-36 lectures per subject per semester","Weekly, monthly and final exams with cumulative grades","Browser access; formal accessibility statement not found","Registration data and forums; child product safeguards not applicable/unclear","Free","Recorded/web resources; internet required for platform","Depth, progression gate and exam system confirmed","No adaptive personalization, speech or item memory model","Depth and cumulative assessment benchmark for foundations; not a mobile microlearning pattern"
"Qalam Institute","Seerah and faith learning","https://www.qalaminstitute.org/seerah/ | https://www.qalam.institute/online-class-recordings | https://www.qalam.institute/terms-conditions","Course selection","Cohort/course paths; no adaptive engine","No SRS","None automated","Named scholars and intensives","Deep seerah, Quran and seasonal intensives","Participation and instructor-led study; uniform tests not documented","Audio-first access; formal accessibility statement not found","Terms and named teachers; child safeguards vary by program","Mix of free recordings and paid intensives","Large audio archive and recordings","Named content and long-form depth confirmed","No mastery analytics or item-level assessment","Audio narrative benchmark; Muslingo should convert stories into retrieval tasks with citations"
"Quran Revolution","Teacher-led Quran recitation","https://easierquran.com/","Teacher/course intake rather than public automated placement","Teacher-guided progression","Practice and review assigned by teacher; no algorithmic SRS confirmed","Learner submits practice and receives specific human feedback","Qualified teacher/TA review and breakout reading","Simplified English tajwid/recitation curriculum","Lesson practice plus teacher feedback","Community delivery; formal accessibility and child policy not found","Public privacy/safeguarding detail limited","Paid cohort program; current offer varies","Video/course materials; offline rights unclear","Human feedback loop confirmed on official page","Current curriculum inventory, price and safeguarding details are sparse","Benchmark the accountability of submitted recitation and specific teacher comments"
"Quran Mobasher","Live Quran teaching","https://apps.maknon.org.sa/quran-mobasher","Instructor matching/intake; no automated placement details","Teacher-led","Teacher-assigned review","Live recitation correction","Qualified instructional team","Interactive Quran learning sessions","Teacher observation","Arabic-first service; public accessibility statement not found","Institutional service; child/privacy specifics require diligence","Free/charitable access appears intended; exact boundary needs confirmation","Live online sessions, not offline-first","Live qualified teaching purpose confirmed by official Maknon page","Scheduling, safeguarding, assessment and language details not sufficiently public","Potential escalation/partnership model for cases AI must not certify"
"Duolingo","Language-learning benchmark","https://blog.duolingo.com/how-we-learn-how-you-learn/ | https://blog.duolingo.com/spaced-repetition-for-learning/ | https://www.duolingo.com/course/ar/en/Learn-Arabic","Fast start; placement exists only for supported courses and is not reliably documented for Arabic","Student model and personalized practice","Half-Life Regression and accuracy-based review","Speaking/listening feedback where supported; not Quranic Arabic or tajwid","No human correction in core consumer app","Arabic script, sounds and beginner MSA; narrower than its major European-language paths","Unit checks, mistake review and exercises","Strong general usability research; course-specific accessibility coverage varies","Dedicated privacy/younger learner policies; social exposure is limited","Core free; Super/Max paid by market","Lessons can be downloaded in mobile plans/features depending current version","SRS model and Arabic course existence confirmed","Arabic-specific CEFR outcome and speech quality remain limited publicly","Best benchmark for frictionless practice and memory scheduling, not Islamic content authority"
"Busuu","Language-learning benchmark","https://www.busuu.com/en/course/learn-arabic-online | https://help.busuu.com/hc/en-gb/articles/16526383831569-What-is-a-Placement-Test","Placement test exists for listed languages, but official support list does not include Arabic","AI review and study plan features","Vocabulary review is personalized; exact interval model not published","Speaking exercises and fluent-speaker feedback","Community corrections; premium/live services vary","Arabic A1-B2, 135+ lessons and 60+ hours claimed","Graded exercises and CEFR progression","Public accessibility statement not located","Community submissions are public; users are warned not to share sensitive data; child policy in general terms","Free tier plus Premium","Offline lessons available in paid mobile experience; exact Arabic coverage varies","Arabic depth, community feedback and non-Arabic placement limitation confirmed","Adaptive model details and reviewer qualification are not public","Strong community-correction benchmark; Muslingo needs private, qualified Quran review instead of public peer correction"
"Memrise","Language-learning benchmark","https://www.memrise.com/about | https://www.memrise.com/blog/changes-to-the-memrise-app | https://www.memrise.com/privacy","Goal/experience choice; no robust Arabic placement evidence located","Claims tailored scenarios and progress framework","Increasing-interval spaced repetition","Pronunciation practice and AI conversations; voice data may be stored","No routine human teacher review","Vocabulary, native-speaker video, stories and AI practice across levels","New exam prep provides AI marking for supported exams; not Arabic/Quran certification","Public accessibility conformance not located","Privacy policy explicitly covers stored learning and voice data; child policy not central","Free base; Pro monthly/annual/lifetime offers vary","New cloud-dependent app explicitly has no offline mode","SRS, native video, voice-data handling and no-offline boundary confirmed","Arabic curriculum depth and AI scoring validity are not published","Excellent listen-use-review loop; Muslingo should avoid storing voice by default"
"Rosetta Stone","Language-learning benchmark","https://support.rosettastone.com/using-without-speech-feature/ | https://support.rosettastone.com/audio-companion-faq/","Goal/level selection; placement availability varies by product","Sequential Dynamic Immersion path; limited public adaptive details","Distributed review exists, but no transparent item model located","TruAccent instant pronunciation feedback","Live tutoring exists in selected offerings","Four-skill immersive language sequence","Activity scores and unit progress","Speech can be disabled; formal current WCAG statement not located","General privacy/education terms; child products vary","Paid subscription/lifetime offers vary","Downloadable Audio Companion; app/course itself may require internet","Speech toggle, feedback and audio companion confirmed","No Quranic phoneme validity or transparent adaptation model","Benchmark user-controlled speech and multimodal input, not tajwid correctness"
"Pimsleur","Audio language benchmark","https://www.pimsleur.com/","No placement; level selection","Fixed graduated recall sequence rather than learner-specific path","Explicit graduated interval recall","Voice Coach provides real-time pronunciation feedback","None in core","Deep audio-first conversational courses across levels","Recall prompts, roleplay and Voice Coach","Hands-free and car support; formal accessibility conformance not located","General privacy terms; child-specific product not central","7-day trial then paid subscription/purchase","Strong offline, CarPlay and Android Auto support","Method, SRS, Voice Coach and offline operation confirmed","Independent course-specific outcome evidence varies","Best benchmark for eyes-free daily audio learning and timed recall"
"LingQ","Content immersion benchmark","https://www.lingq.com/en/ios-app/ | https://www.lingq.com/en/schools/","Learner chooses level/content","Machine-learning guidance and interest-based content","Proprietary vocabulary SRS","TTS/listening and live conversations; no automatic phoneme diagnosis confirmed","Tutors, corrections and teacher portal","Thousands of hours of audio/text; user imports expand depth","Word status, reading/listening time and school dashboards","Text/audio flexibility; formal accessibility statement not found","User-import and community privacy require care; child-specific controls not prominent","Free limits plus Premium","Downloads audio/text and syncs offline activity","SRS, offline, teacher dashboard and content import confirmed","Imported-content quality and licensing are learner/provider responsibilities","Benchmark source-to-lesson pipeline, but Muslingo must approve every Islamic source before use"
"Quizlet","Retrieval-practice benchmark","https://help.quizlet.com/hc/articles/360029923632/ | https://help.quizlet.com/hc/en-au/articles/360030640912-Student-activity-data","No curriculum placement","Adaptive Learn/Test modes vary by plan","Scheduled review exists in study modes; exact current model not fully public","Text-to-speech, not pronunciation grading","Teacher class progress, not expert correction","User-created set depth is unbounded but quality varies","Officially says it is self-study, not secure assessment","Broad device support; formal conformance depends on surface","Under-13 parent email/consent and strong creation/sharing restrictions","Free plus paid plans","Some mobile study/offline availability varies by plan","Child restrictions and non-assessment boundary confirmed","Content quality and SRS specifics vary","Child-account restrictions are a concrete model for Muslingo; never treat exposed-answer quizzes as certification"
"Anki","Memory-system benchmark","https://docs.ankiweb.net/background.html | https://docs.ankiweb.net/deck-options.html","None","Scheduler adapts per card response","FSRS/SM-2-style scheduling with configurable retention","Audio attachments only; no speech scoring","None","Any deck; quality depends on author","Self-rated recall buttons and card history","Desktop/mobile clients; accessibility varies by add-on/platform","Local-first deck data with optional sync; child policy not central","Desktop/AnkiWeb free; iOS paid","Strong offline use and media attachments","Scheduler architecture and local-first operation confirmed","No curriculum quality control or objective grading","Best technical benchmark for item-level memory state; Muslingo needs stricter content and outcome models"
"Mango Languages","Language-learning benchmark","https://mangolanguages.com/","Placement/level selection varies by language","Personalized review claims; details not transparent","Critical-thinking and review loops; exact SRS model not public","Voice comparison/pronunciation tools","Educator/library dashboards; no routine expert correction","Conversation and culture-focused courses including Arabic variants","Lesson checks and progress tracking","Institution/library access and family use; formal current accessibility statement requires validation","Privacy/education agreements available; child terms vary by institution","Often free through libraries; consumer subscription","Mobile offline lessons/audio supported","Conversation, culture and library-access model confirmed","Adaptive algorithm, Arabic level depth and accessibility details are weakly public","Benchmark culturally grounded dialogue and equitable library distribution"
"Khan Academy","Mastery-learning benchmark","https://support.khanacademy.org/hc/en-us/articles/115002552631-How-does-Khan-Academy-s-Mastery-system-work","Course challenge can establish skill state","Mastery system updates skill levels from performance","Practice recurs by skill state, though not classic vocabulary SRS","None","Teacher dashboards and assignments","Deep standards-aligned subjects; no Arabic/Quran curriculum","Unit/course mastery and challenge assessments","Extensive education accessibility work; feature-level support varies","Khan Academy Kids has separate child-safe model; main privacy policy covers learners/schools","Free nonprofit","Video downloads/mobile support vary; not designed as audio-first","Mastery-state and teacher-dashboard model confirmed","Not evidence for religious/language content design","Benchmark authoritative skill-state transitions and evidence thresholds"
