"source_id","organization","source_title","url","language","direction","audience","format","learning_structure","author_reviewers","quality_risks","reuse_status","potential_muslingo_module","verified_2026_09_11"
"KK11","Нұр-Мүбарак университеті","7M02201 Исламтану магистратурасына арналған араб тілі бағдарламасы","https://www.nmu.edu.kz/wp-content/uploads/2025/05/%D0%BC%D0%B0%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0-%D0%98%D1%81%D0%BB%D0%B0%D0%BC%D1%82%D0%B0%D0%BD%D1%83-%D0%91%D0%91%D0%91.pdf","қазақша; арабша","араб тілі; тыңдалым; оқылым; жазылым; сөйлеу","магистратура талапкерлері; advanced learners","ресми PDF емтихан бағдарламасы","4 кезең: оқылым -> тыңдалым-аудио -> жазылым -> ауызша талдау; кәсіби және коммуникативтік құзыреттер","Нұр-Мүбарак университеті; мемлекеттік аттестаттау комиссиясы","Бастаушы learner content емес; жоғары деңгейге арналған; нақты тапсырмалар мен бағалау шкаласын қолдануға рұқсат қажет","REFERENCE_ONLY_PERMISSION_REQUIRED","Advanced Arabic placement; төрт дағдыға бөлек mastery; oral assessment rubric benchmark","HTTP 200; 2025 PDF, төрт кезең және бағалау мақсаты тікелей тексерілді"
"KK12","ҚМДБ Астана өкілдігі / Muslim.kz","Әйел жамағатына арналған онлайн сауат ашу курсы","https://muslim.kz/kz/news/ayiel-zhamagatyna-arnalgan-onlayin-sauat-ashu-kursy-bastaldy-keste","қазақша; орысша","Құран; тәжуид; иман; ақида","әйелдер; бастаушылар","Zoom/әлеуметтік желі арқылы тірі сабақтар","бекітілген кесте; төрт пән; мешіт ұстазын таңдау; кейін офлайн топқа өту","ҚМДБ өкілдігі бекіткен әйел ұстаздар","Нақты мұғалімдік қолдау бар, бірақ 2020 жылғы уақытша формат; жазбалар мен бағалау рубрикасы ашық емес","PARTNERSHIP_ONLY: курсқа қатысу/сілтеме; материалға рұқсат қажет","Әйелдерге арналған mentor lane; live teacher escalation; bilingual onboarding","HTTP 200; пәндер, тілдер және ұйымдастырушы ресми беттен расталды"
"KK13","ҚМДБ Астана өкілдігі / Muslim.kz","Уроки таджуида: введение и понятие","https://www.muslim.kz/ru/videos/view/2204","орысша; арабша","тәжуид; арабша оқу","орыс тілді бастаушылар","ресми видео сабақ","кіріспе сабақ; серия ішіндегі тақырыптық кезең","Муртаза Балахмет; Muslim.kz","Автор көрсетілген; серияның толық syllabus-ы және рецензенттері бетте көрінбейді; бейне сапасын lesson-by-lesson бағалау керек","LINK_OR_EMBED_ONLY_PERMISSION_REQUIRED: YouTube/сайт ойнатқышы; жүктеп қайта таратпау","Russian Tajwid glossary; listen-then-practice lesson references","HTTP 200; атауы, авторы және жариялануы тексерілді"
"KK14","ҚМДБ Астана өкілдігі / Әзірет Сұлтан мешіті","Құран ұстаздарына арналған оқу-әдістемелік семинар","https://muslim.kz/news/elordada-quran-ustazdaryna-bir-kundik-seminar-otti-foto","қазақша","Құран; тәжуид; педагогика","Құран ұстаздары; балалар және ересектермен жұмыс істейтін мұғалімдер","бір күндік практикалық семинар","оқыту тәсілдері; тәжуидті түсіндіру; балалар/ересектер айырмашылығы; бірізді бағдарлама","Абдулахад Сманов; Махмұд Қасым; ҚМДБ өкілдігі","Күшті педагогикалық сигнал, бірақ толық материал/рубрика жарияланбаған; жаңалық беті курс орнына жүрмейді","METADATA_ONLY_PARTNERSHIP_CANDIDATE","Teacher guide; жасқа қарай scaffolding; контент рецензенттерімен серіктестік","HTTP 200; бағдарлама мен ұстаздар ресми беттен расталды"
"KK15","Azan.kz","Құран оқып үйрену, 11-дәріс: Тәнуин әріптер","https://azan.kz/kz/video/print/1820","қазақша; арабша","арабша оқу; тәжуид","қазақ тілді бастаушылар","видео және қысқа баспа көрінісі","нөмірленген сабақтар сериясы; бір ереже/сабақ","Бауыржан Көптілеуов","Жергілікті тілдегі сирек жүйелі серия; осы баспа бетінде мысал, үй тапсырмасы және рецензия метадерегі аз","LINK_OR_REFERENCE_ONLY: авторлық құқық пен платформа шарттарын сақтау; рұқсатсыз қайта орамау","KK micro-lessons: tanwin; listen discrimination; guided speaking","HTTP 200; сабақ нөмірі, тақырыбы және авторы тексерілді"
"KK16","Azan.kz","Таджвид, 20-урок: Идгам","https://azan.kz/durus/print-lesson/3299","орысша; арабша","тәжуид","орыс тілді бастаушылар/жалғастырушылар","9 беттік PDF; аудио фрагменттер; сурет; үй тапсырмасы","ереже анықтамасы -> мысал -> әріптер бойынша аудио -> үй тапсырмасы","Азамат Абу Баязид аль Ханафи","Күшті multimodal сабақ және нақты homework; авторлық құқық Azan.kz-ке тиесілі; мазхаб/терминологияны эксперттік review-мен біріздендіру қажет","ATTRIBUTED_COPYING_POLICY_NOT_COMMERCIAL_LICENSE: сайт белсенді сілтемемен көшіруді сұрайды, бірақ коммерциялық туынды құқық анық емес; жазбаша рұқсат алу","Russian Tajwid advanced rule lesson; idgham ear training; homework templates","HTTP 200; PDF мазмұны және copyright ескертуі тексерілді"
"KK17","Azan.kz","Рамазандағы дәрістер","https://azan.kz/kz/durus/video/2468","қазақша","Құран; этика; ислам негіздері","ересектер; маусымдық оқушылар","26 сабақтық видео/аудио цикл","Рамазан, Құран, сабыр, әдеп, ниет, ғибадат және қорытынды рефлексия бойынша күндік серия","Бауыржан Әлиұлы және циклде аталған ұстаздар","Мықты маусымдық құрылым, бірақ assessment/prerequisite жоқ; кей сабақтар уағыз жанрында","LINK_OR_EMBED_ONLY_PERMISSION_REQUIRED","Ramadan Academy 26-day path; daily reflection; Quran habit","HTTP 200; сабақтар тізімі мен автор метадерегі тексерілді"
"KK18","Azan.kz","Истории аятов: 15-сабақтық цикл","https://azan.kz/kz/durus/video/2918","орысша","Құран мағынасы; сира; этика","жасөспірімдер; ересектер","мәтін; аудио; видео серия","әр сабақ: нақты аят -> түсу/оқиға контексті -> моральдық қорытынды","Нурмухаммад Иминов және цикл авторлары","Story-based engagement жоғары; тафсир дереккөздері әр бетте біркелкі ашылмайды; AI жауабына енгізерде дерек деңгейінде тексеру керек","LINK_OR_EMBED_ONLY_PERMISSION_REQUIRED","Stories Behind Ayahs; context-before-memorization; ethics scenarios","HTTP 200; 15 сабақ атауы және форматтары тексерілді"
"KK19","Azan.kz","Духовное воспитание: любовь к Корану және 13 тақырып","https://azan.kz/durus/video/3006","орысша","этика; рухани тәрбие; Құран","ересектер; жалғастырушылар","мәтін; аудио; видео серия","ықылас -> ниет -> Алланы/Құранды/Пайғамбарды сүю -> мейірім -> сабыр -> шүкір","Azan.kz; циклдегі ұстаздар","Жүйелі virtue progression бар; сопылық терминологиясы мен атрибуцияны редакциялық саясатта анық көрсету қажет","LINK_OR_EMBED_ONLY_PERMISSION_REQUIRED","Character Path; weekly virtue practice; reflection journal","HTTP 200; 13 тақырыптық progression тексерілді"
"KK20","Azan.kz / Алматы мешіттерінің қарилары","Онлайн Құран хатым: 30 пара","https://azan.kz/durus/video/1941","қазақша интерфейс; арабша аудио","Құран тыңдау; қырағат","барлық деңгей; жаттаушылар","30 бөлімдік аудио/видео цикл","күн сайын бір пара; әр бөлімге аты көрсетілген қари","Асқар қари Дарханбаев және тізімдегі Қазақстан қарилары","Жергілікті кари пулы құнды; айат-level таймкод, қырағат нұсқасы және жазба лицензиясы анық емес","STREAM_ONLY_PERMISSION_REQUIRED: жазбаларды қайта орналастыруға жеке келісім қажет","KK reciter selection; full-Quran listening; Hafiz reference audio partnership","HTTP 200; 30 пара тізімі мен қарилар тексерілді"
"KK21","ҚМДБ / Muftiyat баспасы","2025 жылы шыққан 37 жаңа кітап туралы ресми есеп","https://www.muftyat.kz/kk/articles/qmdb/2026-01-13/47646-zhyildyi-esep---2025-muftiyat-baspasyinan-37-zhaa-ktap-zharyi-krd/","қазақша","ислам негіздері; Құран; отбасы; сира; этика","редакторлар; content acquisition командасы","баспа портфелі туралы ресми есеп","санаттар бойынша баспа бағдарламасы; діни сауат курстарына арналған кітаптар аталған","ҚМДБ баспасөз қызметі; Muftiyat баспасы","Бұл тек портфель картасы; жеке кітаптардың авторы, рецензиясы және құқықтары бөлек сұралады","METADATA_ONLY_PARTNERSHIP_CANDIDATE","Content licensing backlog; жаңа KK кітаптарды CMS каталогына енгізу","HTTP 200; 37 кітап және атаулы оқу еңбектері расталды"
"KK22","Quran Ayati / Қазақстан қарилары","Қазақша Құран тыңдау және жаттау арнасы","https://www.youtube.com/watch?v=IF953GVMxG8","қазақша; арабша","Құран аудио; жаттау; дұға","жалпы аудитория; балалар; жаттаушылар","YouTube бейне/аудио","сүрелер мен дұғаларды тыңдау; кей роликтер жаттауға бағытталған; толық syllabus жоқ","арнада Серік қари Ахметов, Ыхлас Салих, Қасымжан Бектаев және басқа қарилар аталады; ұйымдық рецензия анық емес","Verified creator және үлкен қамту, бірақ духовное управление мәртебесі/әр жазба құқығы дәлелденбеген; емдік/мистикалық нәтиже уәделерін Muslingo қабылдамауы тиіс","BENCHMARK_OR_EMBED_ONLY: YouTube шарттары; құқық иесінен және әр қаридан рұқсатсыз аудионы импорттамау","KK reciter discovery; балаларға арналған тыңдау UX; claim-safety negative examples","YouTube беті қолжетімді; арна мен аталған қарилар тексерілді; authority risk белгіленді"
"RU01","Духовное управление мусульман Республики Татарстан (ДУМ РТ) / ИД Хузур","Русскоязычное онлайн-медресе","https://dumrt.ru/ru/news/news_28875.html","русский","основы ислама; Коран/тафсир; арабский; таджвид; сира; этика; история","начинающие 25-44; женщины; удаленные ученики СНГ","web+iOS+Android; 200+ видео; текст; аудио","7 дисциплин; 48+ часов; личный кабинет; тесты; достижения; программа примечетских курсов","преподаватели Мухаммадии, РИИ, КФУ и имамы Казани; утверждено ДУМ РТ","Самый полный RU benchmark; конфессиональная рамка явно ханафитская/матуридитская; публичного lesson-level syllabus и лицензии нет","PARTNERSHIP_ONLY: программа и контент собственные; использовать как benchmark, запрашивать лицензию/рецензирование","Russian Foundations 100+; Seerah; Ethics; integrated assessment; progress model","HTTP 200; 7 дисциплин, 200+ уроков, 48 часов, преподаватели и аудитория подтверждены"
"RU02","ДУМ РТ / ИД Хузур","Medrese.tatar: программа и порядок обучения","https://medrese.tatar/about","русский; татарский","основы ислама; Коран; арабский; сира; этика","начинающие; самостоятельное обучение","видео; аудио; текст; мобильное приложение","регистрация -> уроки -> тест после каждой темы; 7 дисциплин","ДУМ РТ; преподаватели проекта; имена на доступной странице не загрузились","Хорошая multi-format модель; сайт отмечен как реконструируемый; часть UI/списка предметов зависит от JS","REFERENCE_ONLY_PARTNERSHIP_REQUIRED","Course shell; after-topic mastery checks; cross-device progress","HTTP 200; русский переключатель, course claims және reconstruction notice тексерілді"
"RU03","ДУМ РТ","Онлайн-медресе для Android","https://play.google.com/store/apps/details?hl=ru&id=huzur.app.ru","русский","основы ислама; Коран; арабский; таджвид; сира; этика","широкая аудитория; mobile-first","Android приложение","7 базовых дисциплин; мобильный доступ к программе","ДУМ РТ; ИД Хузур","Store listing подтверждает продукт, но не раскрывает lesson-level качество; privacy/data statements нужно перепроверять по версиям","BENCHMARK_ONLY: приложение и assets proprietary","Mobile onboarding; downloadable course shell; accessibility/privacy benchmark","HTTP 200; developer/organization, scope and 10k+ installs listed"
"RU04","ИД Хузур / Хузур ТВ","Образовательные передачи и Алифба","https://huzurtv.ru/","русский; татарский","арабское чтение; основы; этика; детский контент","семьи; дети; взрослые","потоковое ТВ; эпизоды; приложения","серийные передачи, включая Алифба и Адабы Ислама; формального mastery path нет","редакция Хузур ТВ; учредитель ИД Хузур; главный редактор указан на сайте","Официальная редакция и тематическая широта; телевидение пассивно, без практики и оценки; все права заявлены Хузуром","LINK_OR_EMBED_ONLY: сайт прямо заявляет все права за ИД Хузур","Audio/Video Library; Aliфба episode companion quizzes; family mode later","HTTP 200; ownership notice and current educational categories verified"
"RU05","ИД Хузур ДУМ РТ","Основы Ислама (2024)","https://huzurshop.ru/catalog/akyda/osnovy_islama/","русский","акыда; фикх; ахляк; сира; история","12+; начинающие; семьи","688-страничная печатная книга","пять базовых разделов в одном справочно-учебном издании","автор на карточке не указан; издатель ИД Хузур; институциональная экспертиза заявлена издательством","Широкое покрытие и понятный язык; автор/рецензенты не раскрыты на карточке; слишком объемно для прямой адаптации","PURCHASE_OR_PARTNERSHIP_ONLY: copyrighted book; no reuse grant","Russian Foundations curriculum spine; family study plan; source bibliography after license","HTTP 200; ISBN, год, объем, язык, аудитория и разделы проверены"
"RU06","ИД Хузур ДУМ РТ","Основы Ислама: руководство для начинающих (2023)","https://huzurshop.ru/catalog/akyda/osnovy_islama_rukovodstvo_dlya_nachinayushchikh/","русский","основы ислама; поклонение","12+; первые недели обучения","184-страничное учебное пособие","ключевые понятия -> фарды -> намаз/пост/хадж и порядок выполнения","автор на карточке не указан; ИД Хузур","Лучше подходит для MVP, чем 688-страничная версия; нет публичной assessment map и reviewer credits","PURCHASE_OR_PARTNERSHIP_ONLY","First 30 Days in Islam; worship prerequisites; practical checklists","HTTP 200; ISBN, год, объем и назначение подтверждены"
"RU07","ИД Хузур","Каталог книг по сире","https://huzurshop.ru/catalog/sira/filter/clear/apply/?display=list","русский; татарский","сира; истории пророков и сподвижников","дети 6+; взрослые","книжный каталог","от кратких путеводителей до хронологических жизнеописаний; единый курс отсутствует","разные авторы; для части карточек указаны источники, например Ибн Хишам и Ибн аль-Асир","Хороший acquisition map, но неоднородные авторы/языки/жанры; каждое издание требует отдельного theological және rights review","METADATA_ONLY_PARTNERSHIP_CANDIDATE","Seerah source shortlist; age-banded reading list; story cards","HTTP 200; категории, языки және бірнеше сипаттама тексерілді"
"RU08","ИД Хузур","Каталог учебной и богословской литературы","https://huzurshop.ru/catalog/","русский; татарский; арабский","Құран; сира; ахляк; фикх; ақида; хадис","студенты; семьи; широкая аудитория","книги; учебные пособия","категорийная библиотека; нет единого learning path","ИД Хузур; авторы на карточках; учредитель ЦРО ДУМ РТ","Надежный institutional publisher, но каталог не равен лицензированной базе; редакторы/рецензенты не всегда видны","METADATA_ONLY_PARTNERSHIP_CANDIDATE","Rights outreach list; bibliography service; expert-reviewed lesson sources","HTTP 200; publisher ownership and categories verified"
"RU09","Российский исламский институт","Аннотации дисциплин: Рецитация Корана","https://old.kazanriu.ru/Dokumenti/Annotacii/Annotacii%2045.03.02%20Lingvistika%20b%20FGOS%203%2B%2B.pdf","русский; арабский","Құран оқу; тәжуид; қысқа сүрелер","студенты-лингвисты/теологи","официальный PDF силлабус","нормы чтения -> Фатиха -> короткие суры; дисциплина встроена в ОПОП","РИИ; автор рабочей программы в доступном фрагменте не установлен","Есть learning outcomes и академическая рамка; документ относится к конкретной ОПОП и может быть устаревшим","REFERENCE_ONLY_PERMISSION_REQUIRED","Russian Quran Reading syllabus; surah mastery rubric; prerequisite graph","HTTP 200; предмет и перечень сур подтверждены PDF"
"RU10","Российский исламский институт","Официальный реестр образовательных программ и оценочных материалов","https://kazanriu.ru/sveden/obrazovanie/","русский","теология; лингвистика; арабский язык; исламские науки","студенты; абитуриенты; curriculum researchers","веб-реестр; ОПОП; учебные планы; аннотации; фонды оценочных средств","бакалавриат/магистратура -> учебный план -> дисциплины -> методические документы -> оценочные средства","РИИ; программы согласуются образовательной организацией и работодателями","Сильная доказательная база curriculum, но таблица сложна и отдельные вложения меняют URL; learner assets не открытая лицензия","REFERENCE_ONLY_PERMISSION_REQUIRED","Advanced curriculum map; assessment blueprint; course governance benchmark","HTTP 200; актуальный реестр, формы обучения и links to programs/methods verified"
"RU11","Российский исламский институт","Научно-методические мероприятия по исламским дисциплинам и арабскому","https://kazanriu.ru/nauchnaya-deyatelnost/nauchnye-meropriyatiya/","русский; татарский","педагогика; арабский; коранические науки","преподаватели; исследователи","семинары; конференции; программы","методика преподавания -> обмен практиками -> научные конференции по кораническим наукам","РИИ и приглашенные специалисты; состав зависит от мероприятия","Не learner content; актуальность и доступность материалов различаются","METADATA_ONLY_PARTNERSHIP_CANDIDATE","Teacher Academy; expert recruitment; assessment/research advisory board","HTTP 200; мероприятия по методике и кораническим наукам перечислены"
"RU12","РИИ / Университет аль-Азхар / Центр шейха Аль-Хусари","Стажировка по арабскому языку и таджвиду","https://kazanriu.ru/novosti/mezhdunarodnaya-stazhirovka-po-arabskomu-yazyku-i-tadzhvidu-v-egipte/03/2025/07/","русский","арабский язык; тәжуид","продолжающие; преподаватели","очная стажировка","погружение в MSA + рецитация под руководством специалистов; практическая программа","специалисты аль-Азхара и Центра Аль-Хусари; координатор РИИ","Высокий экспертный потенциал; коммерческая поездка, syllabus и assessment публично не раскрыты","PARTNERSHIP_OR_REFERRAL_ONLY","Expert exchange; advanced Tajwid certification; human review escalation","HTTP 200; партнеры, направления и формат подтверждены"
"RU13","Московский исламский институт","ЭИОС МИИ: каталог дисциплин 8 семестра","https://eos.miu.su/course/index.php?categoryid=15","русский; арабский","тафсир; хадис; арабский; чтение Корана; педагогика","студенты высшего образования","Moodle/ЭИОС","семестровые дисциплины с доступом по учетной записи; Quran Reading, Tafsir, Practical Arabic и Sacred Text Language разделены","МИИ; преподаватели скрыты за доступом","Академическая детализация сильна, но содержимое закрыто; публично видны только названия, без лицензии/результатов","METADATA_ONLY_PARTNERSHIP_REQUIRED","Advanced studies map; tafsir vs translation separation; sacred-language track","HTTP 200; course titles independently verified"
"RU14","Московский исламский институт / ДУМ РФ","Исламская теология — образовательные программы","https://miu.su/","русский; арабский","исламская теология; арабский; исламские науки","абитуриенты; студенты","высшее образование; очное/заочное","официальные программы, поступление, семестровая учеба и аттестация","ректор Дамир Мухетдинов; МИИ; преподавательский состав на сайте","Авторитетная институциональная база; consumer microlearning и lesson assets не открыты","REFERENCE_ONLY_PARTNERSHIP_CANDIDATE","Islamic Review Council; academic bibliography; advanced learner pathway","HTTP 200; institution, program and leadership verified"
"RU15","Болгарская исламская академия","Исламоведение и исламская теология: методика преподавания","https://bolgar.academy/uploads/files/2020/11/18/sbornik-mezhdnprakt-konfteologiya_1605707312.pdf","русский","исламская педагогика; Құран; хадис; теология","преподаватели; магистранты; исследователи","сборник научно-практической конференции PDF","теоретические статьи о принципах, методах, этике, преподавании Құрана/хадиса и цифровых технологиях","Болгарская исламская академия; авторы и библиографии по статьям","Peer/редакционная рамка выше обычного портала, но материалы разнородны и не являются готовым курсом; год отдельных статей нужно учитывать","REFERENCE_ONLY_PERMISSION_REQUIRED","Instructional design policy; teacher ethics; evidence-backed pedagogy","HTTP 200; PDF text and conference provenance verified"
"RU16","Муфтият Республики Дагестан / отдел науки и образования","Рецитация священного Корана: Махрадж и Таджвид","https://islamdag.ru/news/2021-06-15/v-dagestane-podgotovili-k-izdaniyu-vtoruyu-chast-uchebnika-recitaciya-svyashchennogo","русский; арабский","арабское чтение; махрадж; тәжуид","школьники; студенты; неарабоязычные взрослые","2-частный учебник; методичка учителя; рабочие тетради","часть 1 Махрадж -> часть 2 Таджвид -> teacher guide/workbook practice","отдел науки и образования Муфтията Дагестана; основано на Нур аль-баян","Редкий полный комплект learner+teacher; купить/скачать и проверить финальное издание, авторов, рецензентов и школу чтения до адаптации","PARTNERSHIP_OR_PURCHASE_ONLY","Pronunciation curriculum; teacher handbook; printable practice model","HTTP 200; состав комплекта, аудитория и происхождение подтверждены"
