"id","publisher_authority","collection","url","source_type","authority_verification","languages","topics","format","level","quality_signals","date_actuality","access","license_reuse","embedding_restrictions","muslingo_applicability","priority","accessed"
"YT16","IQRA Network","Official channel","https://www.youtube.com/@iqranetwork","YouTube official channel","Linked from iqranetwork.com; canonical channel UCouHT5nyIXZzDsu1-5e61Yg","English; Arabic","Quran reading; tajwid; Arabic literacy; Islamic education","Video; Shorts; live content","Children and beginners","Long-running education publisher; direct course/platform connection","Active; latest feed item observed 2026-09-10","Public samples; school/platform products vary","YouTube Standard License; no blanket reuse license found","Official player only; verify child-safety and embed setting per video","Useful children's visual pedagogy benchmark; partnership/review candidate","Medium-high","2026-09-11"
"YT17","Free Quran Education","Official channel","https://www.youtube.com/@FreeQuranEducation","YouTube official channel","Canonical channel UCNdUFOtzSx3FS71pHkQLxhQ; channel links to its named education project","English; Urdu; Indonesian and other tracks","Quran explanation; Arabic; tajwid; stories; reminders","Animated video; playlists; Shorts","Children to adults","Large multilingual animation catalogue and curated teachers; high visual clarity","Active; latest feed item observed 2026-09-09","Public","YouTube Standard License unless individual item states CC BY; no blanket commercial reuse confirmed","Official player only; do not download animations or separate audio","Strong visual/narrative benchmark; each theological claim still needs Muslingo source review","Medium-high","2026-09-11"
"YT18","Free Quran Education","Asan Quran Course playlist","https://www.youtube.com/playlist?list=PLwNeHLk_z0aRONF0cp4pg4seLhD-Ogwr1","YouTube official playlist","Playlist oEmbed identifies FreeQuranEducation as publisher","Primarily Urdu; Arabic","Quran reading; basic recitation","Animated/video lesson playlist","Beginner","Explicit course playlist rather than mixed channel feed","Playlist verified 2026-09-11","Public","YouTube Standard License unless per-video metadata states otherwise","Official player only; no local copy or extracted audio","Useful Urdu beginner benchmark; limited direct fit for Russian UI without licensed localization","Medium","2026-09-11"
"YT19","Wisam Sharieff","Official teacher channel","https://www.youtube.com/@WisamSharieff","YouTube teacher channel","Canonical channel UCQe8lLmvcR6WhI5YiFHwG_Q; teacher is publicly associated with Quran Revolution methodology","English; Arabic","Tajwid; recitation; pronunciation; Quran study","Video; archived series","Beginner to advanced","Specialist recitation teacher and applied oral instruction","Latest feed item observed 2020-08-30; archive is dormant","Public archive","YouTube Standard License by default; no open reuse grant found","Official player only; verify availability before linking because archive is stale","Pedagogy archive for mouth-position, rhythm and recitation coaching; not a current integration dependency","Medium","2026-09-11"
"YT20","SeekersGuidance","Official channel","https://www.youtube.com/@seekersguidanceorg","YouTube official channel","Linked from seekersguidance.org; canonical channel UCbPVEsJhn5My75IfMWXv1_Q","English; Arabic","Quranic studies; Arabic; tajwid; classical Islamic sciences","Video; livestreams; course excerpts","Beginner to advanced","Named classically trained faculty and structured academy tracks","Active; latest feed item observed 2026-09-04","Public videos; academy courses free","YouTube Standard License; academy footer is all rights reserved","Official player only; no republication/adaptation without permission","Teacher-authority benchmark and possible referral source; label school/madhhab context where relevant","Medium-high","2026-09-11"
"YT21","AlHuda International","AlHudaInstitute official channel","https://www.youtube.com/@AlHudaInstitute","YouTube official channel","Canonical channel UCvJ3mUmxHAvLBbAzc7rS5Vw and brand matches AlHuda Institute","English; Urdu; Arabic","Tajwid; hifz; word analysis; tafsir","Video; course samples","Beginner to advanced","Connected to structured certificates, assignments, oral/live learning and named instructors","No current RSS item returned on 2026-09-11; verify activity per playlist","Public samples","YouTube Standard License; no open adaptation license found","Official player only; no course-media extraction","Use selected public samples only after freshness and instructor review; platform itself is stronger source","Medium","2026-09-11"
"YT22","Quranic","Official channel","https://www.youtube.com/@quranicapp","YouTube official product channel","Canonical channel UCXXf9fJld1UcvGI1Z9yeSAA; branding matches getquranic.com","English; Arabic","Quranic vocabulary; stories; comprehension; app guidance","Video; product demos","Beginner to intermediate","Frequency-first vocabulary and Quran-context learning product","No current RSS item returned on 2026-09-11; channel archive appears inactive","Public","YouTube Standard License; Quranic service/content proprietary","Official player only; no extraction or rehosting","Benchmark contextual vocabulary and quiz design; use web course as current authority","Medium","2026-09-11"
"YT23","Quran.Foundation / Quran.com","Official Quran.com channel","https://www.youtube.com/@Quran.com.official","YouTube official channel","Channel description states it is official for Quran.com; canonical channel UCt_D4ji4M85ardRNh6Hoj-w","Arabic; English captions/titles","Recitation; ayah clips; learning-plan promotion","Video; Shorts","All levels","Nonprofit Quran.Foundation provenance and named reciters","Active; latest feed item observed 2026-09-09","Public","YouTube Standard License unless item states otherwise; Quran.com developer terms separately govern API content","Official player only; no media extraction; per-item embed status applies","Trusted recitation/link source; API partnership route preferable for product integration","High","2026-09-11"
"YT24","Quran Central / Muslim Central","Official channel","https://www.youtube.com/@Qurancentral-islam","YouTube official channel","Official channel returned as canonical Quran Central channel UCjaAGigLkTLMvWQIlo4QOwA and brand matches qurancentral.com","Arabic; English metadata","Quran recitation; memorization; selected video playlists","Video; recitation","All levels","Connected to a 600+ reciter catalogue and ad-free audio platform","Latest feed item observed 2026-06-05","Public","YouTube Standard License; underlying reciter rights may vary","Official player only; do not assume rights to extract a recitation from YouTube","Discovery and benchmark source; recording-level rights check required before any native audio use","Medium","2026-09-11"
"YT25","MP3Quran.net","Official channel","https://www.youtube.com/channel/UCd321Kctv53F5c9lpxgOywg/videos","YouTube official channel","Linked from mp3quran.net; canonical channel UCd321Kctv53F5c9lpxgOywg","Arabic; multilingual metadata","Quran recitation; reciter clips","Video; Shorts","All levels","Connected to a specialist recitation library and public API","Latest feed item observed 2023-09-22; channel less current than API","Public","YouTube Standard License for YouTube items; mp3quran.net separately publishes broad site-material permission","Use official player for YouTube; use MP3Quran's own URLs/API only under its stated terms","Prefer direct MP3Quran API for integration; channel is discovery/marketing only","Medium","2026-09-11"
"YT26","maqraa.org","Official channel","https://www.youtube.com/@maqraa","YouTube official channel","Linked from maqraa.org; canonical channel UCy91kbZQjhbg2N6bfA7SZGA","Arabic","Live halaqah tools; recitation; memorization; tajwid","Video; archived platform content","Teachers and learners","Open-source Quran teaching platform linked to live circles","Latest feed item observed 2020-07-31; channel dormant","Public archive","YouTube Standard License for videos; platform code/content licenses must be checked separately","Official player only; no video extraction","Use platform mechanics, not stale videos, as collaboration benchmark","Low-medium","2026-09-11"
"YT27","Furqan Association for Quran Memorization in Taif","Official association channel","https://www.youtube.com/user/qurantaif","YouTube official channel","Linked from comqt.sa Quran platform; canonical channel UCvgX_1k2rw9_lfcU1HLXe7A","Arabic","Hifz circles; tajwid; teacher/community programs","Video; reports; educational clips","Beginner to advanced","Registered association context and direct link to live Quran circles","Active; latest feed item observed 2026-08-19","Public","YouTube Standard License; association site gives no open audiovisual reuse grant","Official player only; no copying/rehosting","Arabic institutional benchmark and potential partnership lead; limited direct Russian content fit","Medium","2026-09-11"
"YT28","Hafizon Academy","Official channel","https://www.youtube.com/@hafizonacademy","YouTube official channel","Linked from hafizon.com; canonical channel UCsFaPaPhzoQA1MWQohP5cyA","English; Arabic","Hifz; tajwid; Quran education","Video; educational/marketing content","Beginner to advanced","Academy claims ijazah/sanad teachers and structured one-to-one hifz","Latest feed item observed 2024-12-06; moderate freshness","Public samples; tuition paid","YouTube Standard License; academy content proprietary","Official player only; no reuse without permission","Potential tutor benchmark; claims should be independently vetted before partnership","Medium","2026-09-11"
"YT29","Zayenha Hub","Official channel","https://www.youtube.com/@zayenhah","YouTube official channel","Linked from quran.zayenha.com; canonical channel UCAvdWU8kbhD86PjjaUYMTgg","Arabic","Tajwid; hifz; Quran reflection; product tutorials","Video; Shorts","All levels","Connected to a free structured Quran web product with 1,076 cards and 42 tools claimed on its primary page","Active; latest feed item observed 2026-08-10","Public","YouTube Standard License; site content has no blanket open reuse statement located","Official player only; no media extraction","Arabic UX/content benchmark; scholarly provenance must be sampled before content adoption","Medium","2026-09-11"
"PL01","Arabic 101 Academy","Quran Mastery Track","https://academy.arabic101.org/course-2-quran-mastery/","Teacher platform / structured audiovisual course","Official Arabic101 academy page; certified-teacher feedback and level outcomes are published","English; Arabic examples; teacher languages vary","Literacy; recitation; tajwid; waqf; itqan; ijazah; hifz","Live or guided lessons; audio practice; digital materials; quizzes","Zero literacy to ijazah","Five published levels; 52/60/70/50/70 lesson blocks; prerequisites, outcomes and teacher correction","Current page crawled and verified 2026-09-11","Free trial; paid guided/live plans","Copyrighted proprietary material; permission required for reproduction, translation or adaptation","No native reuse of lessons/audio; linking or partnership only unless licensed","Top partnership and curriculum benchmark; especially strong for placement and mastery gates","High","2026-09-11"
"PL02","Arabic 101 Academy","Understand the Quran in Arabic Track","https://academy.arabic101.org/course-3-how-to-understand-the-quran-in-arabic/","Structured audiovisual course","Official academy page from Arabic101","English; Arabic","High-frequency Quran vocabulary; context; grammar; pre-hifz comprehension","Teacher-guided lessons; workbook; contextual exercises","Beginner to intermediate","Three stages targeting 50%, 65% and 85% frequency coverage; 25 lessons/13 hours in stage 1","Current page verified 2026-09-11","Free trial; paid support tiers","Proprietary; workbook and course adaptation require written permission","Link/partnership only; no copying video, audio, workbook or questions","Best benchmark for vocabulary-before-hifz and cumulative coverage metrics","High","2026-09-11"
"PL03","Understand Al-Quran Academy","Learn Tajweed - the Easy Way English","https://understandquran.com/learn-tajweed-the-easy-way-english/","Public multimedia course","Official academy course page; named lesson structure and companion files","English; Arabic; Urdu version also available","Makharij; letter pairs; tajwid rules; recitation","Video; audio; PDF; worksheets; quizzes; exams","Beginner","Each lesson links watch/read/write/test; concrete assessment sequence and short media","Current page verified 2026-09-11; some assets updated in 2026","Public course page and media","Academy terms do not grant commercial adaptation; written permission required","Link to official page/player; do not copy media or worksheets into Muslingo","Excellent benchmark for multimodal micro-lessons and contrastive phoneme practice","High","2026-09-11"
"PL04","Bayyinah TV","Learn to Read Quran","https://explore.bayyinahtv.com/learn-to-read-quran/","Structured audiovisual course","Official Bayyinah TV course page","English; Arabic","Arabic script; Quran reading; pronunciation","Video with audio; self-paced course","Absolute beginner / returning learner","Clear single-outcome course from an established Quranic-Arabic publisher","Published/updated page observed within 2025-2026 and verified 2026-09-11","Subscription/trial conditions apply","Bayyinah terms prohibit reproduction, distribution or modification without consent","No rehosting or adaptation; deep-link only unless partnership secured","Benchmark beginner confidence, pacing and polished video production","High","2026-09-11"
"PL05","Bayyinah TV","Dream Arabic","https://explore.bayyinahtv.com/arabic/","Structured video/audio curriculum","Official Bayyinah TV Arabic curriculum page","English; Arabic","Nahw; sarf; Quranic Arabic; balaghah; classical reading","Video with audio mode; workbooks; quizzes","Beginner to advanced","One of the deepest public sequences reviewed; separate nahw, sarf, reader and advanced analysis","Current page verified 2026-09-11","Beginner content partly free; full library subscription","Proprietary; Bayyinah terms prohibit reproduction/distribution/modification","Link only; no copied clips, transcripts, workbooks or derived lessons without license","Gold-standard depth benchmark for Muslingo Quranic Arabic beyond vocabulary","High","2026-09-11"
"PL06","Tarteel AI","Tarteel recitation and memorization platform","https://tarteel.ai/","Voice-learning platform","Official product site; links to official support and channel","Multiple UI languages; Quran Arabic","Voice follow-along; mistake detection; memorization testing; goals; tracking","Interactive audio/voice; app tutorials","Reader to hafiz","Production voice workflow, word-level follow-along, test mode and progress tracking","Active product verified 2026-09-11","Free core; premium features","Proprietary; no public Tarteel API; QUL is the separate data route","No reverse engineering or content extraction; benchmark only; use QUL according to dataset licenses","Primary competitor benchmark for speech UX and Hafiz Mode; do not overstate tajwid scoring","High","2026-09-11"
"PL07","Quranic","Quranic app and learner courses","https://www.getquranic.com/learners/","Interactive audiovisual course platform","Official Quranic learner page","English; Quran Arabic","Quran vocabulary; stories; grammar; comprehension; reading","App audio; lessons; quizzes; worksheets; teacher courses","Beginner to intermediate","Frequency-first vocabulary, contextual ayah/story teaching and customizable quizzes","Current page verified 2026-09-11","Free app tier; premium/course membership","Proprietary; terms bar copying, resale and exploitation","No media extraction or lesson copying; link/partnership only","Strong benchmark for context-first vocabulary and short-session retention","High","2026-09-11"
"PL08","Arabic Unlocked","Arabic Unlocked app and Academy","https://arabicunlocked.com/app/","Interactive audiovisual Arabic platform","Official product page and official channel cross-link","English; Arabic","Alphabet; pronunciation; Quranic vocabulary; grammar; sentences","App audio; games; lessons; live Academy classes","Absolute beginner to intermediate","Progression from letters to sentence/grammar; pronunciation and gamified Word Builder","Product page verified 2026-09-11; public channel less active","Paid app/Academy; limited public samples","Proprietary; personal-use terms; no copying, distribution or resale","No native content reuse; referral or licensed partnership only","Benchmark gamified Arabic practice; validate Quran-specific scholarly review before adoption","Medium-high","2026-09-11"
"PL09","Madinah Arabic","Free Arabic reading course","https://madinaharabic.com/free-content/reading","Public multimedia course","Official Madinah Arabic course page","English; Arabic","Alphabet; letter forms; vowels; reading mechanics","Text; audio examples; video links; exercises","Absolute beginner","23-part cumulative reading course with free access and connected grammar track","Current site/channel activity observed 2026-09-10","Public/free","Free access is not an open commercial reuse license; treat media as proprietary","Deep-link or official player only; do not copy audio/video","Useful literacy sequence benchmark; update visual pedagogy for Muslingo mobile","Medium-high","2026-09-11"
"PL10","LQToronto","Madinah Books video course archive","https://www.lqtoronto.com/videos.html","Public video course archive","Official LQToronto site built around Dr V Abdur Rahim's Madinah Arabic materials","English; Arabic","Classical/Quranic Arabic; grammar; morphology; reading","Long-form video lectures; downloadable companion materials","Beginner to advanced","Extensive book-by-book sequence, answer keys and advanced Quranic grammar archive","Archive is mature rather than frequently updated; verified 2026-09-11","Public; some physical media sold at cost","Site states no copyrights reserved for personal use and no commercial use; not suitable for commercial adaptation without permission","External viewing/personal study only; no commercial embedding/repackaging without clarification","Deep curriculum benchmark and teacher reference, not direct in-app content","Medium-high","2026-09-11"
"PL11","Studio Arabiya","Online Tajweed courses","https://studioarabiya.com/lp/tajweed-courses/","Live teacher audiovisual platform","Official Studio Arabiya page; site states structured courses and licensed teachers","English; Arabic; teacher support","Tajwid; pronunciation; recitation; hifz","Live video; audio recitation; activities; flashcards","All levels","Placement, live correction, games, practice center and structured lesson plans","Page verified 2026-09-11; organization operating since 2011","Paid; money-back policy advertised","All rights reserved; no open reuse","No media/curriculum reuse; referral or negotiated partner integration only","Potential teacher escalation partner and human-correction benchmark","High","2026-09-11"
"PL12","Riwaq Al Quran","Quran Recitation with Tajweed","https://riwaqalquran.com/courses/recitation-with-tajweed/","Live teacher audiovisual course","Official course and instructor pages list Azhari/ijazah credentials","Arabic; English; some tutors list Russian, Indonesian and other languages","Makharij; sifaat; nun/meem rules; madd; waqf; qiraat; ijazah","One-to-one live audio/video; teacher feedback","Letters to advanced ijazah","Ten published levels, talaqqi model, named teachers and explicit mastery-before-advance principle","Current page verified 2026-09-11","Paid trial/tuition","No open reuse license found; treat curriculum and recordings as proprietary","No recording or content reuse without permission; referral/partnership only","Very strong human-review partner candidate, including at least one Russian-speaking tutor listing","High","2026-09-11"
"PL13","Firdaws Academy","Quran Recitation and Tajweed course","https://firdawsacademy.com/learn-tajweed-online/","Live teacher audiovisual course","Official course page plus named tutor profiles with Al-Azhar/ijazah claims","English; Arabic","Tajwid; makharij; sifaat; qiraat; hifz; ijazah","One-to-one video/audio; downloadable study books; tests","Beginner to advanced","Published topics, foundation prerequisite, teacher-first recite/repeat/correct method and tutor profiles","Current page verified 2026-09-11","Free trial; paid tuition; some books public downloads","Public downloads do not imply commercial adaptation; no blanket open audiovisual license","No reuse of live recordings/media; study links or partnership only","Secondary human-teaching benchmark; perform credential and editorial due diligence before partnership","Medium-high","2026-09-11"
"PL14","Mishkah Academy","Qualified Quran tutor directory","https://mishkahacademy.com/tutors/","Teacher marketplace / live learning","Official academy tutor page publishes individual Al-Azhar, ijazah, qiraat and teaching-experience claims","Arabic; English; tutor dependent","Quran reading; tajwid; hifz; qiraat; Arabic; Islamic studies","One-to-one live audio/video","Beginner to advanced","Named tutor profiles, specialisms and years of experience; male/female teachers","Current page verified 2026-09-11","Trial/paid tuition","No open reuse license found; tutor and academy material proprietary","No class recording/republishing without explicit consent; referral only","Candidate for human escalation or expert marketplace; credentials need documentary verification","Medium-high","2026-09-11"
"PL15","Hafizon Academy","Online Hifz program","https://hafizon.com/learn-quran-memorization-online/","Live teacher audiovisual course","Official academy page claims authenticated ijazah with sanad for dedicated teachers","English; Arabic","Full hifz; tajwid; revision; memorization planning","One-to-one Zoom audio/video","Beginner hifz to completion","Dedicated teacher, systematic pace, revision and sanad/ijazah positioning","Current page verified 2026-09-11; channel latest observed 2024-12-06","Free consultation/trial; paid tuition","No open reuse license found; proprietary service","No recording or reuse; referral/partnership only","Benchmark mentor continuity and retention planning; verify credentials before partnership","Medium","2026-09-11"
"PL16","Al-Quran Academy","Online Quran and Arabic classes","https://al-quranacademy.com/","Live teacher audiovisual platform","Official site lists nine courses, teacher categories and claimed certificates","English; Arabic; tutor dependent","Reading; tajwid; hifz; tafsir; Arabic; ten qiraat","One-to-one live audio/video","Kids and adults; beginner to advanced","Broad course map, male/female teachers and claimed multi-country learner base","Current page verified 2026-09-11","Trial/paid tuition","No open reuse license found; proprietary service","No content/class recording reuse; referral only","Market coverage benchmark; lower partnership priority until authority and curriculum review are independently verified","Medium","2026-09-11"
"PL17","AlHuda Online","Quran, Tajweed and Tahfeedh course catalogue","https://alhudaonline.org/online-courses/","Structured live/recorded course platform","Official AlHuda Online catalogue and student portal","English; Urdu; Arabic source text","Tajwid; hifz; word analysis; translation; tafsir; grammar","Live audio/video; recordings; group study; assignments; quizzes","Beginner to advanced","Current 2026 catalogue, explicit course categories, certificates and named instructors/course leads","Active 2026 catalogue verified 2026-09-11","Free and paid courses vary","No open adaptation license found; course content proprietary","No recording, copying or rehosting; link/enrollment or licensed partnership only","Rich benchmark for cohorts, assignments and combining hifz with meaning; review doctrinal/editorial positioning per course","High","2026-09-11"
"PL18","SeekersGuidance Academy","Quranic Studies curriculum","https://academy.seekersguidance.org/?redirect=0&track=odc","Structured audiovisual academy","Official academy; named classically trained faculty and stated mainstream Sunni approach","English; Arabic source texts","Quran recitation; tajwid; tafsir; Arabic; classical sciences","Self-paced video; live Q&A; forums; assessment","Beginner to advanced","Staged curriculum, prerequisites, office hours, certificates and teacher access","Current academy verified 2026-09-11","Free","All rights reserved; free access does not permit commercial adaptation","Link to official course only; no video/audio copying","Authority and assessment benchmark; disclose school/madhhab framing in any referral","Medium-high","2026-09-11"
"PL19","AMAU Academy","Arabic with AMAU","https://helpdesk.amauacademy.com/articles/programs-and-study-paths/arabic-with-amau-explained/","Structured audiovisual course","Official academy help page describing the study path","English; Arabic","Arabic literacy; grammar; sentence structure; Quran and Islamic text reading","Recorded audiovisual lessons; flashcards; tests; live/open sessions","Absolute beginner to advanced","Long structured path, tracking, tests and optional mentorship","Official page verified 2026-09-11","Paid membership","Terms provide personal non-commercial access; no open reuse","No copying, extraction, translation or embedding of course media without permission","Benchmark rigorous long-horizon Arabic path; doctrinal context and content rights require explicit treatment","Medium-high","2026-09-11"
