ID,Publisher / authority,Page / artifact,Direct URL,Primary-source role,Claims used,Accessed,Reuse note
S24,Tarteel / QUL,Recitation tutorial,https://qul.tarteel.ai/docs/tutorial-recitation-end-to-end,Official docs,Gapped/gapless audio and word/ayah timing; no hotlinking,2026-09-10,Self-host licensed data
S25,Tarteel,QUL source repository,https://github.com/TarteelAI/quranic-universal-library,Official GitHub repository,MIT application code and active project,2026-09-10,MIT does not cover every dataset
S26,University of Leeds,Quranic Arabic Corpus download,https://corpus.quran.com/download/,Official dataset page,Morphology/syntax corpus and v0.4 download,2026-09-10,GPL plus text integrity condition
S27,University of Leeds,Corpus license,https://corpus.quran.com/license.jsp,Official license,"GPL, attribution and Quran text no-modification condition",2026-09-10,Core legal evidence
S28,University of Leeds,Dependency treebank,https://corpus.quran.com/treebank.jsp,Official project page,Syntax and annotation scope,2026-09-10,Reference/data use
S29,Maqraa Al-Harmain,Official learning platform,https://maqraa.prh.gov.sa/en,Official government platform,"Live teachers, Tajwid, hifz, plans, evaluation and certificates",2026-09-10,All rights reserved
S30,Saudi Press Agency,Maqraa language/service announcement,https://www.spa.gov.sa/en/N2087650,Official government news,Service languages and official positioning,2026-09-10,Reference only
S31,UAE Awqaf,Official portal,https://www.awqaf.gov.ae/?lang=en,Official government portal,Quran education service and centers,2026-09-10,No reuse grant located
S32,UAE Awqaf,Services guide,https://www.awqaf.gov.ae/assets/servicesguide/ServicesGuide-EN.pdf,Official government PDF,"Semesters, memorization, Tajwid and certification",2026-09-10,Reference only
S33,UAE Awqaf,Student portal,https://studentportal.awqaf.gov.ae/,Official service portal,Enrollment/delivery access,2026-09-10,Service use only
S34,Tarteel AI,Product site,https://tarteel.ai/,Official product page,"Voice follow-along, mistake detection, goals and tracking",2026-09-10,Proprietary
S35,Tarteel AI,Free vs premium,https://support.tarteel.ai/en/articles/12267535-can-i-use-tarteel-for-free,Official help,Feature/access split,2026-09-10,Benchmark only
S36,Tarteel AI,Testing mode,https://support.tarteel.ai/en/articles/16557456-getting-started-with-testing,Official help,Flashcard-style testing parameters,2026-09-10,Benchmark only
S37,Tarteel AI,API availability,https://support.tarteel.ai/en/articles/12414464-do-you-have-an-api-i-can-use,Official help,No public Tarteel API; directs to QUL,2026-09-10,Do not integrate private service
S38,Understand Al-Quran Academy,Tajweed the Easy Way,https://understandquran.com/learn-tajweed-the-easy-way-english/,Official course page,"Course topics, videos, PDFs, quizzes and exams",2026-09-10,Permission required for adaptation
S39,Understand Al-Quran Academy,School teacher resources,https://understandquran.com/teacher-resource-center-english/class-first/,Official course page,Grade structure and teaching assets,2026-09-10,Permission required
S40,Understand Al-Quran Academy,Teacher training,https://understandquran.com/teacher-training-course-english/,Official course page,"Pedagogy, planning and assessment training",2026-09-10,Permission required
S41,Understand Al-Quran Academy,Terms and conditions,https://understandquran.com/term-conditions/,Official legal terms,Prohibition on reproduction/copy/exploitation without written permission,2026-09-10,Core legal evidence
S42,AlHuda Online,Quran course catalogue,https://alhudaonline.org/online-courses/,Official course catalogue,"Tahfeedh, Tajweed, translation and learner segments",2026-09-10,No reuse grant
S43,AlHuda Online,Program requirements,https://alhudaonline.org/welcome-to-al-huda-international/,Official program page,"Attendance, assignments, oral exams and pass thresholds",2026-09-10,Reference only
S44,AlHuda Online,About,https://alhudaonline.org/about/,Official organization page,Nonprofit mission and structured courses,2026-09-10,Reference only
S45,SeekersGuidance,Quranic Studies curriculum,https://academy.seekersguidance.org/?redirect=0&track=odc,Official academy,"Staged free curriculum, scholars, assessment and certificates",2026-09-10,No republication grant
S46,Quran Flow,Program page,https://quranflow.org/,Official program page,"Placement, four skill levels, coaching, circles and pricing",2026-09-10,Commercial benchmark
S47,Quran Flow,Privacy/content-use terms,https://quranflow.org/privacy-policies/,Official legal/policy page,Limited personal-use license; no derivatives or redistribution,2026-09-10,Core legal evidence
S48,Quranly,Product site,https://www.quranly.app/,Official product page,"Habits, goals, progress and social accountability",2026-09-10,Proprietary
S49,HIFZ,Support and methodology,https://gethifz.com/support,Official product docs,Listen/read/repeat/recall and Sabaq/Sabqi/Manzil,2026-09-10,Proprietary benchmark
S50,Arabic 101,Official YouTube channel,https://www.youtube.com/@Arabic101,Creator channel,Arabic/Quran/Tajwid video catalogue,2026-09-10,Official player only
S51,Understand Al-Quran,Official YouTube channel,https://www.youtube.com/@understandquran,Publisher channel,Tajwid/Quran lessons,2026-09-10,Official player + academy terms
S52,Tarteel AI,Official tutorials playlist,https://youtube.com/playlist?list=PLjMqEsi-8yLmZRhOZWwVYCOnvV57dHmYU,Publisher playlist,Listening feature tutorials,2026-09-10,Official player only
S53,Quran Flow,Official YouTube channel,https://www.youtube.com/@QuranRevolution,Publisher channel,Recitation and Tajwid-oriented videos,2026-09-10,Official player + product terms
S54,YouTube,Terms of Service,https://www.youtube.com/t/terms,Platform legal terms,Embedded-player/personal-viewing scope and restrictions,2026-09-10,No copying/downloading absent permission
S55,Google / YouTube,API Developer Policies,https://developers.google.com/youtube/terms/developer-policies,Official platform policy,No audiovisual download/import/cache/offline playback without approval,2026-09-10,Core platform-use evidence
S56,Muslingo local inventory,Lesson/content inventory snapshot,Local read-only inventory: docs/research/muslingo-content-inventory-2026-09-10.json,Current product evidence,246 lessons; 2664 steps; source coverage and unique ayah counts,2026-09-10,Internal evidence; not a reuse source
