source_id,provider,program_title,provider_type,country_or_region,target_age_or_stage,format,languages,sequence_and_scope,learning_objectives,assessment,safeguarding,scholarly_governance,declared_scope,license_and_reuse,primary_url,policy_or_license_url,verified_on,evidence_quality,muslingo_relevance
S11,Everest Academy,KG Islamic Studies and Quran Scope and Sequence,Islamic school,USA,Kindergarten,"Weekly school curriculum map",English and Arabic,"Quarter-by-quarter sequence combining beliefs salah manners duas tafsir memorization and letter reading","Coordinate religious concepts Quran memorization meaning and Arabic decoding",Weekly classroom checks and revision are visible; rubric not public,"School-supervised KG design; public safeguarding policy not attached to map","School curriculum leadership; uses multiple named resources","Sunni school context; madhhab not stated","Public curriculum map; no reuse licence stated",https://everest-academy.com/wp-content/uploads/2022/10/2022_KG-Quran_Islamic_Studies_curriculum_fn.docx.pdf,https://everest-academy.com/,2026-09-11,High,"Shows how to synchronize Quran duas tafsir and Foundations weekly"
S12,IACC Sunday School,Comprehensive Islamic Studies Curriculum,Community school,USA,Pre-K through grade 10,"Weekend classes and grade curriculum",English,"Quran hadith prophets aqidah fiqh seerah history companions ethics and application","Build familiarity then understanding and application across grades",Teacher assessment; public instruments not provided,"Child classes; public page does not state safeguarding controls","IACC education committee and teachers; reviewer names not public","Sunni community-school context","No open licence found",https://planomasjid.org/sundayschool/curriculum/,https://planomasjid.org/,2026-09-11,Medium,"Community implementation benchmark but metadata transparency is limited"
S13,Aisha Mosque and Islamic Centre,Madrassah Islamic Studies Curriculum,Community school,Canada,Ten progressive levels,"In-person madrassah syllabus",English and Arabic,"Quran hadith prophets aqidah fiqh seerah and meanings of worship phrases","Understand what is said in salah and build coherent religious foundations",Class progression; assessment details not public,"Child program; safeguarding policy not linked from curriculum page","Mosque education team; scholarly governance not disclosed","Sunni; exact madhhab scope not stated","No open licence found",https://www.aishamosque.org/madrassah/curriculum/,https://www.aishamosque.org/,2026-09-11,Medium,"Useful emphasis on meaning inside worship; weak public assessment metadata"
S14,Arrayyan Foundation,Islamic Studies Programme,Academy,UK,"5+ with advanced continuation","Classroom pathways plus Quran reading or hifdh",English and Arabic,"Eight subjects with staged aqeedah fiqh hadith seerah tajwid and advanced classical study","Build age-appropriate foundations then progress to texts and deeper sciences",Stage progression; public assessment instruments not detailed,"Age staging; public safeguarding policy not visible on pathway page","Foundation teaching team; scholar details should be verified","Sunni; exact legal school not explicit","Commercial educational service; no open licence found",https://arrayyanfoundation.org/learning-pathways/islamic-studies/,https://arrayyanfoundation.org/,2026-09-11,Medium,"Parallel Islamic Studies plus Quran-pathway architecture"
S15,Jamiyah Academy Singapore,Madrasah at Jamiyah,Academy and community institution,Singapore,7-16,"Physical classes from primary 1 to secondary 4",English Malay and Arabic elements,"Aqidah fiqh sirah hadith akhlaq Quran Arabic salah and dua memorization","Develop knowledge Quran literacy character and daily practice through structured progression",Level progression; public assessment format not specified,"On-site child program; public program page lacks detailed safeguarding controls","Curriculum stated as developed by respected scholars; names and review workflow not on page","Sunni Singapore context","No open licence found",https://jamiyahacademy.sg/program-page/madrasah-jamiyah-2026/,https://jamiyahacademy.sg/,2026-09-11,High,"Strong 7-16 integrated subject list and practical-worship orientation"
S16,MCC NextGen,Youth Curriculum,Community education program,USA,Youth in three levels,"Classes across four disciplines and three levels",English,"Faith worldview contemporary challenges dawah Quran Sunnah character leadership critical thinking civic life justice family and identity","Progress from basic literacy to confident understanding communication and service",Level assignments and course completion; public rubric not stated,"Youth program; safeguarding specifics not public on curriculum page","Designed by MCC Education Committee","Sunni community context; exact madhhab not stated","No open licence found",https://mccnextgen.com/curriculum/,https://mccnextgen.com/,2026-09-11,High,"One of the clearest youth leadership contemporary-life architectures"
S17,Yaqeen Institute,Yaqeen Curriculum,Research institute,USA,Middle school 11-13 and high school 14-18,"Downloadable units with lesson plans slides worksheets and assessments",English,"Supplementary units across faith worship and everyday ethics; each unit has 3-5 lessons of about 50 minutes","Critical engagement with revelation on belief ethics identity suffering environment and relationships",Unit assessments worksheets discussions and applied activities,"Age and gender targeting where relevant; facilitator judgment expected; public curriculum-level safeguarding protocol limited","Teacher-developed scholar-approved; institutional scholarly rigor and correction policy","Sunni research-institute framing; not a full fiqh curriculum","Free access does not establish open commercial adaptation rights; permission required",https://yaqeeninstitute.org/curriculum,https://yaqeeninstitute.org/about-us/our-commitment-to-scholarly-rigor,2026-09-11,High,"Best teen supplement for difficult questions and discussion pedagogy"
S18,Yaqeen Institute,Decoding Media Unit 3.9,Research institute,USA,High school,"Three-chapter unit with lesson plans slides worksheets and student companion",English,"Media ecosystem framing bias fallacies misinformation verification and ethical communication","Recognize bias and manipulation verify claims resist misinformation and communicate truthfully",Classification tasks case studies exit tickets and headline-analysis activities,"Deals with online harm at information-literacy level; does not replace child online-safety training","Teacher-developed and scholar-backed within Yaqeen Curriculum","Islamic epistemology and ethics","Free download; no clear commercial derivative licence",https://yaqeeninstitute.org/curriculum/the-everyday-ethics-of-life/decoding-media,not_publicly_found,2026-09-11,High,"Direct template for Muslingo media-literacy sequence"
S19,Association of Muslim Schools UK,Islamic RSE Curriculum,School association,UK,Primary and secondary,"Schemes of work lesson samples webinars policies and training",English,"Age-appropriate relationships health identity boundaries internet safety friendship and conflict resolution in Islamic and statutory context","Help pupils navigate bodies relationships law respect and personal safety without shame",School-led assessment and governor audit tools,"Strongest explicit safeguarding context in the sample; parent consultation statutory duties and reporting structures","AMS curriculum director and school leaders; used by more than 100 Muslim schools","Islamic framing with UK statutory protected-characteristic requirements","Commercial curriculum with some free policy resources; permission required for full content",https://ams-uk.org/rse-hub/,not_publicly_found,2026-09-11,High,"Essential benchmark for puberty boundaries consent family dialogue and safeguarding"
S20,Association of Muslim Schools UK,Section 48 Religious Education Inspection Framework,Inspection and governance body,UK,Maintained Muslim schools,"Inspection framework and public reports",English,"Evaluates religious education spiritual development leadership curriculum quality and impact","Ensure coherent RE outcomes inclusion respect contemporary readiness and accountable leadership",Independent inspection evidence triangulation and recommendations,"Explicit safeguarding governance Prevent training staff checks reporting and pupil welfare","Only DfE-accredited body for Section 48 inspection of Muslim schools","Broad Muslim-school framework rather than one doctrinal syllabus","Public reports; framework copyright applies; use governance concepts not text",https://ams-uk.org/section-48-inspections/,https://ams-uk.org/,2026-09-11,High,"Governance and safeguarding benchmark missing from current Muslingo content workflow"
S21,SeekersGuidance,Youth Islamic Studies Curriculum,Online academy,Global,Youth,"Structured online pathway with trained teachers",English,"Creed law spirituality and essential practice in a youth path","Build sound belief practice certainty and love of Islam",Course quizzes and finals vary; academy supports teacher interaction,"Youth-specific pathway but public page does not detail safeguarding or parental controls","Curriculum designed through consultation with experienced scholars; qualified teachers","Traditional Sunni; school-specific positions should be shown per course","Free to study; site content remains copyrighted and not open for republishing",https://academy.seekersguidance.org/,not_publicly_found,2026-09-11,High,"Strong scholar-supported youth path; inspect course-level age and school metadata before borrowing structure"
S22,SeekersGuidance,Five-Level Islamic Studies Curriculum,Online academy,Global,Older teens and adults,"Self-paced courses classical texts mentoring forums and live Q&A",English and Arabic,"Five levels from belief and practice essentials to reasoning teaching and specialization; Hanafi and Shafii routes","Develop reliable practice understanding reasoning and ability to guide others",Lesson quizzes course finals written level exams and oral tests where needed,"Adult-oriented; not a child safeguarding model","Classically trained faculty with mentorship and direct assessment","Traditional Sunni; Ashari and Maturidi theology; Hanafi and Shafii fiqh tracks","Free access only; copyrighted; permission required for reuse",https://academy.seekersguidance.org/,not_publicly_found,2026-09-11,High,"Best model for declared madhhab tracks and verified oral assessment"
S23,SeekersGuidance,Quranic Studies Curriculum,Online academy,Global,Older teens and adults,"Three-level self-paced pathway",English and Arabic,"Complete tafsir trajectory plus Quran themes from revelation to divine law","Understand the Quran message themes and interpretive disciplines",Course quizzes and finals within academy; oral testing where competency requires,"Adult-oriented; safeguarding not specified","Classically trained scholars and academy assessment","Traditional Sunni tafsir pathway","Free to study; no republication or adaptation right",https://academy.seekersguidance.org/,not_publicly_found,2026-09-11,High,"Model for separating translation tafsir themes and source method"
S24,Zad Academy,Zad Academy Program,Online academy,Global,15+ recommended,"Two-year four-semester online program with books video audio forums and exams",Multiple including English,"Seven parallel subjects each semester: aqeedah seerah fiqh tafsir hadith tarbiyah and Arabic","Acquire essential Islamic knowledge progressively and apply it to belief worship rights and conduct",Nine weekly two monthly and one final exam per subject; 60 percent pass; two attempts,"Not designed for children; public safeguarding model limited","Named faculty and academy governance","Explicit Quran and Sunnah according to understanding of the pious predecessors; Athari or Salafi orientation","Free to study; books and content not openly licensed for commercial reuse",https://zad-academy.com/en/curriculum,not_publicly_found,2026-09-11,High,"Excellent scale and assessment cadence but doctrinal scope must be visibly labelled"
S25,AMAU Academy,AMAU Junior,Online academy,Global,7-17,"Self-paced video programs notes quizzes live sessions and moderated community",English,"Junior Student of Knowledge Arabic and self-development programs","Age-tailored Islamic knowledge Arabic and personal development",Quizzes notes and live sessions; public progression rubric limited,"Moderated community is stated; parental consent reporting and moderation policy not transparent on program page","Named instructors and claim of authentic content; formal scholar-review chain not public","Athari or Salafi orientation inferred from institution and should be confirmed not assumed in product metadata","Subscription content; terms prohibit unauthorized use",https://www.amauacademy.com/pages/amau-junior987654321,https://www.amauacademy.com/pages/terms,2026-09-11,Medium,"Relevant teen video benchmark; transparency and safeguarding require diligence"
S26,AlMaghrib Institute,Faith Essentials,Online education provider,Global,Older teens and adults,"33+ bite-sized video courses with live Q&A",English,"Basics of Islam delivered as a broad on-demand library","Give everyday Muslims accessible minimum practical knowledge",Course completion and portal activities; public common mastery model limited,"Not child-specific; no youth safeguarding model on product page","Experienced named instructors; review governance not fully described","Sunni; course-level theological and fiqh scope varies and should be tagged","Limited personal viewing licence; redistribution and derivatives prohibited",https://www.almaghrib.org/allaccess/,https://www.almaghrib.org/policies/,2026-09-11,High,"Video format benchmark; weaker than a prerequisite-driven curriculum"
S27,AlMaghrib Institute,Associate and Bachelor Degree Pathways,Education provider,Global,Adults,"Credit-based online and in-person courses plus mentorship",English,"Aqidah fiqh humanities Quran hadith history usul tarbiyah and research","Establish a minimum comprehensive knowledge level then deeper scholarship and mentorship",Credits certificates research paper recitation proficiency and mentorship requirements,"Adult program; no child safeguarding role","Institutional faculty and mentorship scheme","Sunni; course-specific scope must be read","Copyrighted portal content under limited-use terms",https://www.almaghrib.org/associate-degree/,https://www.almaghrib.org/policies/,2026-09-11,High,"Useful competency and mentorship model for advanced Muslingo pathways"
S28,Qalam Institute,Qalam Seminary Curriculum,Seminary,USA,Advanced older teens and adults,"Full-time instructor-led program and public syllabus PDFs",English and Arabic texts,"Quranic Prophetic legal and creed studies plus Arabic and contemporary issues","Read classical texts understand Quran and Sunnah apply seerah and worship and analyze modern questions",Research presentations assignments and instructor assessment; full rubric not public,"Adult seminary; not a child safeguarding benchmark","Named instructors and specialist presentations across four madhhabs","Hanafi legal core with comparative overview; Ahl al-Sunnah creed","Copyrighted syllabus and instruction; permission required",https://www.qalaminstitute.org/wp-content/uploads/Syllabus-1.pdf,https://www.qalam.institute/terms-conditions,2026-09-11,High,"Strong source-discipline map and explicit Hanafi plus comparative labelling"
S29,Qalam Institute,Full-Time Hifdh Program,Academy,USA,School-age and youth,"Supervised memorization with integrated tarbiyah Islamic Studies and Quran vocabulary",English and Arabic,"Memorization is integrated with character foundational studies and meaning","Memorize accurately while developing vocabulary character and spiritual habits",Teacher listening progress review and memorization milestones,"In-person youth environment; detailed public safeguarding policy not linked","Qalam instructors and institutional oversight","Sunni Qalam context","Program materials copyrighted; no open reuse licence",https://www.qalam.institute/hifdh,https://www.qalam.institute/terms-conditions,2026-09-11,Medium,"Shows Quran memorization should not be isolated from meaning and character"
S30,Qalam Institute,Seerah Podcast and Course,Institute,USA,Teens and adults,"Long-form free audio series and study intensives",English,"Chronological prophetic biography based on classical sources","Understand major events character decisions and lessons from the Prophets life",Mostly self-study listening; intensives may assess informally; no public formal rubric,"General audience; not a child safeguarding program","Named scholars and institute","Traditional Sunni","Sharing recordings is encouraged but derivative or commercial reuse requires permission",https://www.qalaminstitute.org/seerah/,https://www.qalam.institute/terms-conditions,2026-09-11,High,"Best audio chronology benchmark; Muslingo still needs source-confidence tags"
S31,Ribaat Academic Institute,Ribaat Islamic Studies Program,Academic institute,Global,Women 17+,"Live online courses recordings forums assignments and certification",English plus Arabic and Quran,"Thirteen tracks and four levels: aqida fiqh hadith sira tafsir history purification education communication social sciences Arabic and tajwid","Build scholarship practical application teaching and community service",Homework reflections essays projects midterms finals oral assessments thesis and retreats,"Adult women only; camera-on live sessions and conduct rules; not a minor curriculum","Named women scholars and structured certification","Traditional Sunni; course-specific school scope","Materials are intellectual property and cannot be repurposed without written consent",https://academy.rabata.org/,https://rabata.org/wp-content/uploads/2022/01/Student-Handbook-2022.pdf,2026-09-11,High,"Best mixed-assessment and applied-certification benchmark"
S32,iSyllabus,iSyllabus Islamic Studies Pathway,Curriculum institute,UK,Adults and mature learners,"Diploma intermediate and advanced courses",English with Arabic terminology,"Ground-up sequence integrating core Islamic sciences with ethics society philosophy and contemporary life","Develop religious literacy competency critical reasoning and real-life application rather than rote recall","Competency and scenario application are emphasized; public assessment mechanics limited","Not a youth program; safeguarding not described","Educational director-led synthesis of Dars Nizami Kurdish verification and Syrian teaching models","Balanced Sunni orthodoxy and orthopraxy framing","Copyrighted; no open adaptation licence found",https://www.isyllabus.org/about-2/,https://www.isyllabus.org/,2026-09-11,High,"Strongest explicit competency-over-memorization philosophy"
S33,Cambridge Muslim College,Online Learning Courses,Higher education institution,UK,Adults and older teens,"Self-paced lecture series and courses",English,"Specialist courses on epistemology prayer seerah Quran spirituality and Nawawi hadith","Deepen conceptual understanding through named scholarly courses",Course-specific; public common assessment framework not stated,"Adult online learning; no child safeguarding role","Named academic and traditional scholars; institutional policies","Traditional Sunni with course-specific scholarly positions","Paid copyrighted courses; permission required",https://www.cambridgemuslimcollege.ac.uk/onlinelearning/,not_publicly_found,2026-09-11,High,"High-quality specialist enrichment not a full beginner sequence"
S34,Cambridge Muslim College,BA Honours in Islamic Studies,Validated higher education program,UK,Undergraduate,"Three-year full-time degree",English and Arabic texts,"Traditional Islamic disciplines combined with contemporary knowledge","Understand Islamic tradition and relevance in modern society with intellectual and spiritual development",University assessment under Open University validation,"Formal student policies; child safeguarding not applicable","Degree awarded and validated by The Open University; named faculty","Traditional Sunni academic program","Curriculum copyrighted; not reusable without permission",https://www.cambridgemuslimcollege.ac.uk/programmes/isba/,not_publicly_found,2026-09-11,High,"Governance and validation benchmark for advanced content review"
S35,International Open University,Diploma in Islamic Studies,Online university,Global,Post-secondary beginners,"Four-semester 240-credit online diploma",English and several localized streams,"Aqidah fiqh madhhabs worship tafsir seerah hadith Arabic etiquette computers and digital literacy","Provide systematic core knowledge plus academic linguistic and digital literacy",Assignments exams and graduation credit requirements; proctoring varies,"Adult university; no child safeguarding role","University program leadership and accreditation disclosures","Explicit Athari or Salafi institutional orientation should be labelled","Tuition-based copyrighted courses; no open reuse licence",https://iou.edu.gm/stream/ais/,not_publicly_found,2026-09-11,High,"Useful example of digital literacy embedded beside Islamic sciences"
S36,Mishkah University,BA in Islamic Studies in English,Online university,USA and global,Undergraduate,"48-course 128-credit online degree",English and Arabic,"Arabic Quran tajwid tafsir hadith manners spirituality theology comparative religion fiqh history thought pedagogy and dawah","Develop broad disciplinary knowledge and analytical capacity",Credit-bearing assignments exams and degree requirements,"Adult higher education; child safeguarding not applicable","University faculty and student handbook governance","Sunni; predominantly Athari orientation should be contractually confirmed","Copyrighted degree content; no open licence",https://mishkahu.com/academics/undergraduate-studies/bachelors-degree/,https://mishkahu.com/wp-content/uploads/2022/11/Student-Handbook-2022_2023.pdf,2026-09-11,High,"Comprehensive discipline checklist and course-code granularity"
S37,Al Balagh Academy,Diploma in Islamic Studies,Online academy,UK and global,16+ and adults,"Two-year four-semester live and recorded program with mobile app",English and classical texts,"Aqidah Quran hadith fiqh contemporary fiqh tazkiyah tajwid hifdh seerah and history","Build foundational classical-text literacy research analysis application communication and leadership",Two LMS assessments and a live proctored final per semester with 15 25 and 60 percent weighting,"16+ threshold; camera-on proctoring disclosed; public youth safeguarding process limited","Named Sharia scholars and multidisciplinary experts; institutional examination team","Traditional Sunni with Hanafi-oriented core texts; course-level scope stated","Paid copyrighted course; permission required",https://www.albalaghacademy.org/course/diploma-in-islamic-studies-programme/,https://www.albalaghacademy.org/terms-and-conditions/,2026-09-11,High,"Strong assessment design and contemporary-sciences integration"
S38,Higher Education Commission Pakistan,Islamic Studies Curriculum 2025,Government higher-education framework,Pakistan,Higher education levels 5-7,"Official curriculum booklet PDF",English and Urdu context,"Common core includes Quran tajwid understanding Quran hadith seerah fiqh Arabic and contemporary application","Analyze Quran context categorize hadith understand fiqh schools connect seerah to ethics and society",Program learning outcomes course outcomes credit and degree requirements,"Higher education framework; safeguarding not a curriculum strand","National Curriculum Review Committee of professors scholars accreditation and industry representatives","Plural academic treatment of Islamic disciplines in Pakistan context","Government document; no explicit open derivative licence visible",https://www.hec.gov.pk/english/services/universities/RevisedCurricula/Documents/2024-2025/Islamic-Studies.pdf,not_publicly_found,2026-09-11,High,"Authoritative learning-outcome language for source literacy and contemporary application"
S39,Malaysian Qualifications Agency,Programme Standards Islamic Studies,Government quality-assurance body,Malaysia,Certificate through bachelors,"Official programme-standards PDF",English and Malay context,"Required body of knowledge: aqidah Quran and tafsir hadith Arabic fiqh akhlaq and tasawwuf recitation memorization seerah and dawah","Standardize knowledge skills curriculum delivery assessment staffing and quality assurance",Qualification-level outcomes assessment and program QA requirements,"Higher education; safeguarding not a subject strand","National qualifications regulator and expert standards process","Inclusive Islamic Studies framework; institution defines detailed approach","Official PDF; no explicit open commercial adaptation licence",https://www2.mqa.gov.my/QAD/garispanduan/2019/PS%20Islamic%20Studies/17.%20PS%20-%20Islamic%20Studies_BI%20-%20%5BFB%5D.pdf,not_publicly_found,2026-09-11,High,"Strong quality-assurance and minimum-body-of-knowledge benchmark"
S40,Cambridge International,IGCSE Islamiyat 0493,International examination board,Global,Secondary 14-16,"Two-paper examination syllabus and teacher support",English with Arabic passages,"Quran themes revelation and compilation Prophetic life early community hadith and beliefs practices","Explain significance evaluate meaning and apply understanding to Muslim life",Two externally assessed written papers with published objectives weighting and grade descriptions,"Requires age culture context and school-policy appropriate resources; accessibility statements included","Cambridge syllabus governance and examiner standardization","Broad Islamiyat examination syllabus; not a madhhab-training course","Copyrighted syllabus; classroom use under Cambridge terms; no app adaptation right",https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-islamiyat-0493/,not_publicly_found,2026-09-11,High,"Best external benchmark for non-obvious written reasoning and source analysis"
S41,Cambridge International,O Level Islamiyat 2058,International examination board,Global,Secondary 14-16,"Two-paper examination syllabus",English with Arabic passages,"Major Quran themes Quran history Prophetic biography early community hadith beliefs and practices","Demonstrate knowledge explain importance and reason about present-day significance",Externally assessed essays and source questions with objective weighting and grade descriptors,"Resources must fit age culture school policy and local law","Cambridge assessment governance","Broad Islamiyat; no single fiqh school prescribed","Copyrighted; no commercial adaptation right",https://www.cambridgeinternational.org/programmes-and-qualifications/view/cambridge-o-level-islamiyat-2058/,not_publicly_found,2026-09-11,High,"Assessment benchmark for evidence-based reasoning beyond multiple choice"
S42,National Curriculum Council Pakistan,Islamiyat Grades 1-10 Curriculum Guidelines,Government curriculum body,Pakistan,Grades 1-10,"Official introduction standards SLOs progression grid and guidelines",English and Urdu,"Grade-by-grade standards and student learning outcomes with progression","Define knowledge practice ethics and progression in Islamiyat",National assessment guidance linked from NCC,"School curriculum context; separate safeguarding policy not embedded on landing page","Federal ministry and national curriculum process","Pakistan national Sunni-majority context; local denominational implications require review","All rights reserved government site; benchmark use only",https://ncc.gov.pk/Detail/ZmFmNTZhMDEtNjBjYy00ZmIyLThhYTctMTg5YmMzNWRkNjkz,https://ncc.gov.pk/,2026-09-11,High,"Authoritative example of SLO and progression-grid architecture"
S43,JAKIM,KAFA Curriculum 2.0,Government Islamic affairs department,Malaysia,Primary supplementary Islamic education,"Official curriculum book PDF",Malay and Arabic,"Integrated Quran aqidah ibadah seerah adab Jawi and practical religious skills sequence","Standardize foundational knowledge worship practice character and Quran literacy",School and KAFA assessment structures; details in official syllabus,"Child institutional delivery; public landing page does not summarize safeguarding","Malaysian federal Islamic development department","Malaysian Sunni Shafii institutional context","Government publication; copyright applies and commercial reuse must be cleared",https://www.islam.gov.my/ms/e-penerbitan/2164-buku-sukatan-pelajaran-kafa-jakim-2-0,https://www.islam.gov.my/ms/dasar-privasi,2026-09-11,High,"Strong integrated primary supplementary-school model"
