id,category,source,artifact,publisher_or_authority,primary_url,license_or_terms,license_url,versioning,attribution,commercial_use,offline_use,api_or_access_limits,source_grounded_ai_fit,recommendation,verified_on
QUR-011,Quran text/translation/tafsir,LPMQ Quran Kemenag API,Indonesian Standard Mushaf and 2019 translation/tafsir/transliteration,"Lajnah Pentashihan Mushaf Al-Quran, Ministry of Religious Affairs Indonesia",https://quran-api.lpmqkemenag.id/,"Access requires registration, formal request letter to LPMQ, activation and token; no blanket open license is presented",https://quran-api.lpmqkemenag.id/,"Translation edition 2019; API site copyright 2023",Use official edition and LPMQ attribution specified in approval,Only with approved terms,Only if approval permits caching,Token issued after institutional application and survey,Excellent Indonesian authority; AI indexing depends on written grant,Priority A for Indonesian localization through formal institutional agreement,2026-09-11
QUR-012,Quran platform,Quran Foundation Content API,Chapters/verses/Quran text resources,"Quran Foundation",https://api-docs.quran.com/docs/api-reference/,"Revocable non-transferable API license for beneficial Quran experiences; text cannot be modified; no scraping; normal cache max 1 week; no ML models without written consent",https://api-docs.quran.com/legal/developer-terms/,"Content API v4.0.0; developer terms updated 2026-08-26; breaking changes typically 30-day notice",Show "Quran data provided by Quran Foundation" plus edition-level credits,Yes inside a paid/freemium app if raw content is not sold/redistributed and source terms are met,Only Content Sync groups or written permission allow longer than one week; regular text variants may remain one-week limited,Credentials required; endpoint pagination/limits apply; no public global quota stated,Strong live grounding; embeddings/training require written consent and AI content has extra review requirements,Priority A live API; keep Tanzil immutable local text as separately licensed fallback,2026-09-11
QUR-013,Quran layout,Quran Foundation Content Sync,Mushaf metadata/page mappings/positioned words,"Quran Foundation",https://api-docs.quran.com/docs/tutorials/content-sync/getting-started/,"Developer terms apply; offline exception only for Content Sync data; next sync at least every 7 days; fonts/images excluded",https://api-docs.quran.com/legal/developer-terms/,Sync sequence/token and full snapshots; current docs accessed 2026-09-11,Quran Foundation attribution plus source edition,Yes in app subject to terms,Yes with mandatory sync at least weekly; no font/image rights,Authenticated API; paginated changes/snapshots,Good deterministic rendering metadata; not ML training without consent,Priority A for offline layout after production credentials and sync worker,2026-09-11
QUR-014,Quran translations,Quran Foundation Content Sync,Translation rows and footnotes,"Quran Foundation and named translation owners",https://api-docs.quran.com/docs/tutorials/content-sync/getting-started/,"QF terms plus source-specific translation license; weekly sync mandatory for offline exception; raw redistribution prohibited",https://api-docs.quran.com/legal/developer-terms/,Resource IDs and sync sequence; examples include translation 19,QF attribution and named translation/edition credit,Yes only as in-app experience and subject to source-specific terms,Yes for eligible resources with weekly sync,Authenticated Content Sync; resource eligibility varies,Good RAG display only after source rights and written consent for embeddings/ML,Priority A after selecting exact Russian/Kazakh/English resources and clearing each license,2026-09-11
QUR-015,Tafsir,Quran Foundation Content Sync,Tafsir rows,"Quran Foundation and named tafsir owners",https://api-docs.quran.com/docs/tutorials/content-sync/getting-started/,"QF terms plus tafsir-specific rights; raw redistribution prohibited; weekly sync; no ML model use without written consent",https://api-docs.quran.com/legal/developer-terms/,Resource IDs/snapshots; example tafsir 151,QF attribution and full tafsir edition/source,Conditional on source rights,Yes for eligible sync resource with weekly updates,Authenticated API; eligibility per resource,Excellent retrieval source with citation granularity; generated summaries require governance and permission,Priority A after exact tafsir license matrix and Quran Foundation AI review,2026-09-11
QUR-016,Quranic lexicon,Quran Foundation Content Sync,Word-by-word translations,"Quran Foundation and named resource owners",https://api-docs.quran.com/docs/tutorials/content-sync/getting-started/,"QF terms and source-specific license; eligible one-word resources only; weekly sync; no ML training without written consent",https://api-docs.quran.com/legal/developer-terms/,Resource IDs and sync snapshots,QF plus named word-translation source,Conditional,Yes for approved resources with weekly sync,Authenticated Content Sync,High value for tap-to-define and retrieval; embedding rights are not automatic,Integrate only selected licensed resource after permission review,2026-09-11
QUR-017,Quran transliteration,Quran Foundation Content Sync,Word-by-word transliterations,"Quran Foundation and named resource owners",https://api-docs.quran.com/docs/tutorials/content-sync/getting-started/,"QF terms and source-specific license; only approved shareable resources; weekly sync",https://api-docs.quran.com/legal/developer-terms/,Separate resource group; example production resource 60,QF plus named transliteration source,Conditional,Yes with weekly sync,Authenticated Content Sync,Useful learner aid but not a substitute for Arabic; safe for retrieval after source clearance,Priority B; retain script/audio primacy and scholar review transliteration conventions,2026-09-11
QUR-018,Quran data hub,Quranic Universal Library,Quran script datasets,"Tarteel AI / upstream publishers",https://qul.tarteel.ai/resources/quran-script,"QUL CMS code is MIT; downloaded datasets keep resource-specific upstream licenses. QUL FAQ explicitly tells users to inspect each resource license; no catalogue-wide data license",https://qul.tarteel.ai/docs/faq,Resource-level downloads and CMS content versioning; no universal release version,Credit every upstream resource and QUL where specified,Per resource only,Downloadable JSON/SQLite/etc but only per-resource rights permit redistribution,Downloads available; REST API is documented as coming soon,Potentially excellent but license metadata must be captured at resource ID/version level,Use QUL as discovery/version hub; ingest only rows with verified upstream rights,2026-09-11
QUR-019,Quran translations,Quranic Universal Library,Translation datasets,"Tarteel AI / named translators and publishers",https://qul.tarteel.ai/resources/translation,"No blanket license; QUL software MIT does not relicense translations",https://qul.tarteel.ai/docs/faq,Resource-specific revisions/exports,Per-resource translator/publisher plus QUL provenance,Per resource; assume no until verified,Technically downloadable; legal offline use varies,Direct downloads; API forthcoming,High utility after license filtering; unsafe as an undifferentiated training corpus,Build an allowlist by resource ID/license before any use,2026-09-11
QUR-020,Tafsir,Quranic Universal Library,Tafsir datasets,"Tarteel AI / named tafsir owners",https://qul.tarteel.ai/resources/tafsir,"No blanket data license; resource-specific rights apply",https://qul.tarteel.ai/docs/faq,Resource-level content versioning,Full work/edition/publisher plus QUL provenance,Per resource,Per resource,Downloads; API forthcoming,Strong discovery and review interface but no automatic AI rights,Reference catalogue now; contract/license each selected tafsir,2026-09-11
QUR-021,Quranic morphology,Quranic Universal Library,Roots/lemmas/stems/POS exports,"Tarteel AI / upstream datasets",https://qul.tarteel.ai/resources/morphology,"QUL lists six downloadable morphology resources; catalogue does not expose one blanket license; upstream licenses must be retained",https://qul.tarteel.ai/docs/faq,Resource-level exports; CMS version history,Attribute upstream morphology corpus and QUL,Per resource,Per resource,Direct downloads; API forthcoming,Good join layer if provenance and reciprocal-license obligations are preserved,Inspect each download notice before selecting; Leeds/Birzeit originals remain preferred,2026-09-11
QUR-022,Quran metadata,Quranic Universal Library,Structural metadata/surah information/topics,"Tarteel AI / upstream contributors",https://qul.tarteel.ai/docs/datasets,"No blanket dataset license; CMS repository MIT covers code only",https://github.com/TarteelAI/quranic-universal-library/blob/main/LICENSE,Content versioning in CMS and resource exports,Per resource/upstream,Per resource,Downloadable per resource,Direct download; API forthcoming,Useful enrichment but topic/surah summaries require scholarly and rights review,Use only licensed factual metadata first; quarantine interpretive summaries,2026-09-11
LEX-001,Quranic morphology,Quranic Arabic Corpus,Morphological annotation,"Kais Dukes; University of Leeds Language Research Group; maintained by Quran.com",https://corpus.quran.com/download/,"GNU General Public License plus corpus terms: verbatim copies; changing file prohibited; source/link and notice required",https://corpus.quran.com/download/,Version 0.4 (2011); site maintained but no later downloadable version shown,Name Quranic Arabic Corpus/Kais Dukes and link corpus.quran.com; retain notice,Yes under GPL/terms; legal review needed for database distribution,Yes as verbatim file with notices,Email entered for download verification; no API quota,Excellent morphology grounding; derived database/service must respect GPL and no-change wording,Priority A linguistic layer with isolated provenance and compliance review,2026-09-11
LEX-002,Quranic syntax,Quranic Arabic Corpus,Quranic Arabic Dependency Treebank,"Kais Dukes; University of Leeds",https://corpus.quran.com/treebank.jsp,"Corpus states open source under GNU public license; downloadable artifact terms should be treated as the same QAC GPL/no-change/attribution terms",https://corpus.quran.com/download/,QAC version 0.4 era; public site maintained,Name QAC/University of Leeds and link source,Conditional under GPL,Offline only from authorized download/package,Interactive web; bulk route not separately documented,Excellent for grammar explanations and retrieval; never present generated i'rab as authoritative without source trace,Priority B; license and scholar validation of transformed pedagogy required,2026-09-11
LEX-003,Quran ontology,Quranic Arabic Corpus,Ontology of Quranic concepts,"Kais Dukes; University of Leeds",https://corpus.quran.com/ontology.jsp,"Site states QAC is under GNU public license; exact ontology export/version terms are not separately stated",https://corpus.quran.com/download/,Project copyright 2009-2017; no explicit ontology release number on page,Attribute QAC and every concept mapping to source,Conditional,Unclear until export terms confirmed,Web browsing; no documented public bulk API,Useful candidate-retrieval taxonomy but interpretive classifications require scholarly review,Reference first; do not treat ontology labels as exhaustive or uncontested,2026-09-11
LEX-004,Quran developer library,JQuranTree,Java Quran analysis API,"Kais Dukes / QAC; public fork dsog",https://corpus.quran.com/java/,"Open source under GNU public license; bundled Tanzil Uthmani text remains unmodified and keeps Tanzil terms",https://github.com/dsog/jqurantree/blob/master/license.txt,Version 1.0 source/fork; repository has no current packaged release,Retain QAC/JQuranTree and Tanzil notices,Yes under GPL obligations,Yes as local Java library,No hosted API limit; source download,Useful deterministic search/orthography library but stale Java integration,Reference implementation; prefer modern service around original datasets,2026-09-11
LEX-005,Quranic morphology,QuranMorph,Lemmatization and POS-tagged Quran corpus,"SinaLab, Birzeit University",https://sina.birzeit.edu/quran/,"Official page calls it downloadable/open-source in the paper but the landing page does not display the exact license text; a third-party preserved copy reports CC BY 4.0, which is not sufficient production proof",https://sina.birzeit.edu/quran/,Technical report 2025; no machine-readable release/version shown on landing page,Cite Akra/Hammouda/Jarrar and Birzeit; retain release file notice,Potentially yes but exact official license must be obtained,Download form available; offline rights depend on included license,Download link via Google form/document,Very strong second morphology source for cross-checking QAC; AI use awaits official license file,Priority A validation source after obtaining original package and license directly,2026-09-11
LEX-006,Arabic lexicon,Qabas,Arabic lexicographic database,"SinaLab, Birzeit University",https://sina.birzeit.edu/qabas/,"Described in peer-reviewed publication as open source; exact dataset license was not reliably surfaced on the official page during verification",https://aclanthology.org/2024.lrec-main.1170/,2024 LREC paper; about 58K lemmas linked to many resources,Cite Qabas paper/authors/Birzeit and exact dataset build,Unconfirmed until license file obtained,Potentially downloadable; terms must be inspected,Official site availability was intermittent,Excellent lemma authority/linking layer after rights and Classical-Arabic coverage validation,Priority B; use to validate lemmas rather than replace Quran-specific morphology,2026-09-11
HAD-001,Hadith database,Sunnah.com,Verified hadith website corpus,"Sunnah.com",https://sunnah.com/about,"Scraping and mass reproduction of books/collections prohibited; individual selections allowed for teaching; use API for snapshots",https://sunnah.com/about,Continuous manual verification; bold numbers indicate checked references; grades coverage evolves,Name collection/translator/grader and link exact Sunnah.com record,No mass commercial reproduction right,No bulk offline dump currently available; may request one,Web search plus API request process,Excellent citation authority for lookup; cannot be scraped/indexed wholesale or trained on,Priority A live citation link and API partnership; no crawler,2026-09-11
HAD-002,Hadith API,Sunnah.com API,Manually checked portion of hadith data,"Sunnah.com",https://sunnah.com/developers,"API key required; API page grants access but publishes no broad redistribution/commercial/ML license; offline dump may be requested but is not yet available",https://sunnah.com/developers/,Continuously expanded after manual checks; no public semantic version,Collection/title/number/translator/grader plus Sunnah.com URL,Permission required for production scope,Not generally; request negotiated dump,API key by GitHub issue; published quota not found,Strong retrieval source with reliable locators; embedding/indexing requires explicit agreement,Apply for key and written commercial/RAG/offline terms,2026-09-11
HAD-003,Hadith database,HadeethEnc,Downloadable translated authentic hadiths and explanations,"Encyclopedia of Translated Prophetic Hadiths / IslamHouse ecosystem",https://hadeethenc.com/en/home,"Download/republication allowed unmodified; cite publisher and HadeethEnc; state version; keep transcript info; report notes; update to latest; no inappropriate advertising",https://hadeethenc.com/en/home,Per-language downloadable versions; API/check endpoint exposes version changes (example current/new version notices),HadeethEnc plus named source/transcript/version,Commercial status not explicit; obtain confirmation,Yes if exact terms and update duty are met,Excel/PDF downloads; public API,Excellent multilingual source-grounded explanations; derived summaries/embeddings not expressly authorized,Priority A after written commercial and RAG clarification; preserve grader/source fields,2026-09-11
HAD-004,Hadith API,HadeethEnc API,Hadith records/categories/translations,"HadeethEnc",https://hadeethenc.com/api-docs/,"Same unmodified republication/version/attribution/update terms shown on official site; no explicit request quota or AI license found",https://hadeethenc.com/en/home,Version-aware endpoints and download checks,Publisher/source/version required,Conditional,Conditional on exact caching/update implementation,Public documented GET endpoints; no published rate limit,Strong live grounding; avoid embedding or paraphrasing until permitted,Priority A API candidate with explicit provenance fields and sync job,2026-09-11
HAD-005,Hadith grading,Dorar Hadith Encyclopedia,Searchable hadith corpus with scholar gradings,"Dorar al-Sunniah Foundation and scientific supervisory committee",https://dorar.net/hadith,"All rights reserved footer; no bulk/open corpus license found",https://dorar.net/article/389,Continuously maintained; no public corpus version,Link each result and preserve narrator/scholar/source/grade,No bulk commercial reuse permission,No offline corpus permission,Web search available; official search API exists,Excellent validation/reference authority; use links/API responses rather than local corpus,Priority A external verifier; seek institutional data agreement,2026-09-11
HAD-006,Hadith API,Dorar Hadith Encyclopedia API,JSON/JSONP search results,"Dorar al-Sunniah Foundation",https://dorar.net/article/389,"Official page explicitly permits site/forum owners to display search results via JSON examples; all rights reserved; no bulk caching, commercial redistribution, quota or ML grant stated",https://dorar.net/article/389/,No semantic API version; current endpoint dorar_api.json,Attribute and link Dorar with displayed source/grader metadata,Display use supported; wider commercial reuse unclear,No bulk offline grant,Query/search endpoint; no documented rate limit,Good second-source verifier for user queries; not a training corpus,Use server-side search with caching minimized and written production clarification,2026-09-11
HAD-007,Hadith references,Quran Foundation Content API,Hadith References API,"Quran Foundation",https://api-docs.quran.com/docs/category/content-apis/,"QF developer terms apply; data cannot be scraped/redistributed; one-week cache default; no ML without written consent",https://api-docs.quran.com/legal/developer-terms/,Content API v4.0.0,Quran Foundation plus original hadith collection/locator,Yes within app under terms,Default max one week unless expressly eligible/approved,Authenticated API,Useful cross-reference layer but not a complete hadith corpus or independent grading authority,Use for Quran-to-hadith links; validate against HadeethEnc/Dorar/Sunnah metadata,2026-09-11
HAD-008,Hadith knowledge graph,Al-Jami Hadith KG,425-book relational corpus/isnad/narrator graph,"Emad Jumaah / qataruts",https://github.com/qataruts/hadith,"Code MIT; separately distributed hadith-kg databases declared CC BY 4.0. Underlying 2017 source dump is not distributed and upstream text/provenance must still be audited",https://github.com/qataruts/hadith/blob/main/LICENSE,2026 repository; dataset card/files should be pinned by commit/revision,Attribute author/dataset plus original book/edition and grading source,License says yes; upstream text rights/provenance remain a due-diligence risk,Yes; SQLite datasets around 1.6GB and 2.9GB,Direct dataset download; local API code,High technical RAG fit with citation graph; religious and provenance audit is mandatory,Research sandbox only until upstream edition/rights and sample accuracy are independently verified,2026-09-11
HAD-009,Hadith dataset,Open Hadith Data,Structured 17/18-collection dataset and Hisn al-Muslim,"Jaguar16 community project",https://github.com/Jaguar16/open-hadith-data,"Schema/organization CC0 1.0; Arabic classical text claimed public domain; English translations are from Sunnah.com and explicitly may be copyrighted; automated extraction not guaranteed complete/correct",https://github.com/Jaguar16/open-hadith-data/blob/main/DATA_LICENSE.md,Repository snapshot; pin commit/release,Attribute project appreciated; original book/edition/grader required,Only structural data/Arabic layer is plausibly reusable; English translations are not cleared,Yes for cleared layers,Files/release; no hosted quota,Useful prototyping and cross-check layer; not canonical enough for unsupervised answers,Do not ship English; validate Arabic/grades against primary editions and scholar review,2026-09-11
HAD-010,Hadith API,Hadith API by fawazahmed0,Multilingual editions and multiple grades,"Community project; mixed upstreams",https://github.com/fawazahmed0/hadith-api,"Repository is Unlicense, but that cannot relicense upstream translations/editions; references file must be checked per edition",https://github.com/fawazahmed0/hadith-api/blob/1/LICENSE,API major path/version 1; jsDelivr can pin commit/tag,Attribute original collection/translator/grader and project despite Unlicense,Code/own structure yes; corpus rights mixed,Yes technically; rights mixed,Claims no rate limits; CDN fallback recommended,Convenient but provenance is weaker than HadeethEnc/Sunnah/Dorar,Prototype/fallback only; never treat repository license as clearing upstream content,2026-09-11
SIR-001,Seerah chronology,Dorar Historical Encyclopedia,Chronological Islamic history including seerah events,"Dorar al-Sunniah Foundation; named university historians",https://dorar.net/history,"All rights reserved; no open dataset or bulk API license found; methodological and reviewer pages are published",https://dorar.net/history,Continuously maintained; no public corpus version,Link exact event and preserve cited source/reviewer metadata,No bulk reuse without agreement,No offline grant,Website search/browse; no documented history API,Excellent canonical reference/verification source but not an ingest corpus,Priority A editorial chronology backbone via citations and a partnership request,2026-09-11
SIR-002,Seerah chronology,Seera Events Dataset,142 multilingual timeline events derived from Dorar,"Must Know Islam community dataset; upstream Dorar",https://huggingface.co/datasets/mustknowislam/seera_events,"Dataset declares CC BY 4.0, but underlying Dorar content is all-rights-reserved and no derivative permission is evidenced; downstream CC license cannot cure upstream rights",https://huggingface.co/datasets/mustknowislam/seera_events,Dataset card says 2024; pin Hugging Face revision,Dataset author plus every original Dorar event/source URL,Not safe until upstream permission is shown,Technically yes but legally blocked by provenance conflict,Hugging Face download,Useful only as a lead/QA comparison; unsuitable as production RAG corpus,Do not ingest; recreate chronology from licensed primary references with scholar review,2026-09-11
SIR-003,Seerah reference,GTAF Seerah app,Ar-Raheeq al-Makhtum and Prophetic Timeline presentation,"Greentech Apps Foundation and named book publishers",https://gtaf.org/apps/seerah/,"App states it contains licensed/prominent books but publishes no content redistribution or API license",https://gtaf.org/apps/seerah/,App catalogue evolves; no public dataset version,Name each book/author/publisher and GTAF,No reuse grant,App offers offline user experience; no corpus redistribution right,No public content API,Good product/reference benchmark; not a source corpus,Use for comparison and partnership outreach only,2026-09-11
SIR-004,Seerah chronology,The Life of the Prophet Muhammad timeline,Citation-rich 61-event timeline,"Independent seerah.page project",https://seerah.page/,"Site exposes 396 citations and disagreement markers but no explicit reuse/API/commercial license was found",https://seerah.page/,Live website; no dataset version,Link exact event and cited edition,No reuse grant,No offline dataset advertised,Interactive website only,Excellent evidence-navigation benchmark; cannot be ingested without permission,Use as QA/reference design inspiration and verify every claim at cited primary edition,2026-09-11
DUA-001,Dua/adhkar,IslamHouse API,Reviewed multilingual books/audio/articles including dua collections,"IslamHouse",https://developers.islamhouse.com/,"Registration/API key; attribute IslamHouse API; preserve original material URL. FAQ says site materials may be shared unmodified with source; commercial use allowed only for materials produced by the Rabwah office, while third-party material requires owner discussion",https://d1.islamhouse.com/html/faq.htm,Continuous catalogue; item-level publisher/source matters,IslamHouse plus original author/publisher/material URL,Per item; own Rabwah-office materials may be commercial unmodified,Possible per item; no blanket third-party right,"Legacy guide stated 5000 requests/hour per key; current limit must be reconfirmed",Good source discovery and retrieval if every item's owner/license is retained; AI derivatives not covered,Priority B ingestion only for explicitly owned/cleared records; use API links for the rest,2026-09-11
DUA-002,Dua/adhkar,HadeethEnc,Authentic hadiths under worship/virtues categories usable as dua evidence,"HadeethEnc",https://hadeethenc.com/en/home,"Unmodified republication with publisher/source/version/transcript/update conditions",https://hadeethenc.com/en/home,Per-language versioning,Collection/source/version and HadeethEnc,Commercial unclear,Yes under published conditions,Downloads/API,Strong evidence layer for individually sourced duas; not a pre-segmented full adhkar schedule,Use as citation authority and build original reviewed taxonomy,2026-09-11
DUA-003,Dua/adhkar,Fortress of the Muslim,Published Hisn al-Muslim edition,"Sa'id ibn Ali ibn Wahf al-Qahtani / Darussalam",https://darussalam.in/products/fortress-of-the-muslim-black-1,"Commercial book listing; no open digital redistribution/adaptation license",https://darussalam.in/products/fortress-of-the-muslim-black-1,Edition/SKU-specific; 267 supplications and 132 chapters in listed edition,Author/publisher/edition and original hadith references,No without publisher/translator agreement,No corpus redistribution right,Purchase/reference only,Canonical editorial bibliography but not ingestible,License an exact multilingual digital edition or author an original source-based collection,2026-09-11
DUA-004,Dua/adhkar,Open Hadith Data,Hisn al-Muslim structured table,"Jaguar16; extracted from Sunnah.com",https://github.com/Jaguar16/open-hadith-data,"Structure CC0; translations/source text rights remain upstream; extraction disclaimer warns accuracy/completeness",https://github.com/Jaguar16/open-hadith-data/blob/main/DATA_LICENSE.md,Repository snapshot; no stable scholarly edition identifier,Original Hisn reference plus upstream translation/publisher,Only cleared structural fields,Technically yes; translation rights unresolved,Download files,Good schema prototype; not canonical content authority,Use schema only; populate from licensed Hisn or separately verified hadith/Quran sources,2026-09-11
AUD-001,Recitation audio,Quran Foundation Audio API,Ayah-by-ayah recitation and optional segments,"Quran Foundation and named reciters/publishers",https://api-docs.quran.com/docs/sdk/javascript/audio/,"QF developer terms; in-app commercial display allowed subject to source rights; no redistribution; cache max one week unless Content Sync; no ML/biometrics without written consent",https://api-docs.quran.com/legal/developer-terms/,Content API v4.0.0; resource IDs distinct from chapter reciters,QF plus reciter/riwayah/source edition,Yes in app subject to source-specific license,Eligible recitations can use Content Sync with weekly sync,Authenticated API; endpoint maximums/pagination,Excellent playback/alignment grounding; explicitly unsuitable for model training without consent,Priority A streaming/offline sync after reciter-specific rights confirmation,2026-09-11
AUD-002,Recitation audio,Quran Foundation Audio API,Chapter recitations,"Quran Foundation and named reciters/publishers",https://api-docs.quran.com/docs/sdk/javascript/audio/,"Same QF/source-specific terms; chapter resource IDs differ from ayah recitation IDs",https://api-docs.quran.com/legal/developer-terms/,Content API v4; chapter_recitations sync group,QF plus reciter/riwayah/source,Conditional,Yes for eligible sync resource with weekly updates,Authenticated API,Strong gapless playback source; no voice cloning/training,Priority A user playback; keep rights and resource identity per recording,2026-09-11
