id,domain,evidence_tier,citation,url_or_doi,year,population_language,method,finding,causal_interpretation,limitation,license_data_availability,concrete_implication_for_muslingo
AR11,Arabic metalinguistic skills,Scoping review,"Bin Sawad, N., Law, J. M., Tibi, S., & Boese, K. Arabic metalinguistic knowledge predicts reading comprehension: A scoping review. Frontiers in Communication, 7, 984340.",https://doi.org/10.3389/fcomm.2022.984340,2022,"Arabic-speaking school-age learners across included studies","Scoping review of phonological awareness, morphological awareness, orthographic knowledge and reading comprehension","Phonological and morphological awareness repeatedly related to Arabic comprehension; the evidence base is uneven and intervention research is limited.","The review maps associations and gaps; it does not establish that every proposed metalinguistic activity causes comprehension gains.","Heterogeneous measures, ages and designs; limited causal studies.","Open access, CC BY 4.0; no pooled participant dataset.","Represent phonology, morphology and orthography as separate mastery dimensions and validate each with unseen-word and passage tasks."
AR12,Arabic visual fluency,School intervention,"Wilson, E., Jeon, S., Cook, H., & Abadzi, H. Perceptual Enhancement for Arabic Reading: An Intervention to Support Fluency and Automaticity in Grade One. Gulf Education and Social Policy Review, 1(1), 1-21.",https://doi.org/10.18502/gespr.v1i1.7472,2020,"345 grade-1 Arabic readers; intervention n=174 and comparison n=171","School-based intervention using perceptual enhancement of Arabic print","Enhanced visual cues were associated with gains in early fluency/automaticity measures.","Quasi-experimental allocation limits causal certainty; effects should be replicated before product-wide adoption.","Implementation and assignment may be confounded; short-term school outcome; not Quran-specific.","Open access under a Creative Commons Attribution licence; no open learner data found.","Pilot optional temporary highlighting for letter shape/dot and joining contrasts, then fade cues and test transfer to ordinary Uthmani text."
AR13,Arabic dyslexia,Clinical intervention,"Aboras, Y. A., Elbanna, M. M., Abdou, R. M., & Salama, H. M. Development of a remediation program for Egyptian dyslexic children. Alexandria Journal of Medicine, 48(1), 51-59.",https://doi.org/10.1016/j.ajme.2011.11.002,2012,"Egyptian Arabic-speaking children with dyslexia","Clinical pre/post phonological-awareness remediation program with age and outcome analyses","Phonological-awareness remediation improved measured reading-related outcomes; younger intervention was associated with better response.","Program evidence is supportive, but design details and pre/post structure limit strong causal/general claims.","Clinical sample; culturally specific materials; no evidence for automated diagnosis or Quranic fluency.","Open access under CC BY-NC-ND 4.0; materials/data not released for adaptation.","Offer slower phoneme segmentation, repeatable audio and non-timed paths; provide a referral/support statement rather than medical labels."
AR14,Children and mobile literacy,Systematic review,"Booton, S. A., Hodgkiss, A., & Murphy, V. A. The impact of mobile application features on children's language and literacy learning: a systematic review. Computer Assisted Language Learning, 36(3), 400-429.",https://doi.org/10.1080/09588221.2021.1930057,2023,"Children aged 3-11; 11 experimental or quasi-experimental studies","Systematic review of narration, conversational prompts, augmented reality and hotspots in touchscreen apps","Inbuilt narration helped versus child reading alone but not versus adult shared reading; prompts improved adult-child talk; decorative/interactivity effects were context-dependent.","Included experiments support feature-level effects in their tasks, not a blanket benefit of more animation or screen time.","Only 11 eligible studies; languages/tasks varied; not Arabic/Quran-specific.","Open access, CC BY-NC-ND 4.0; review extraction data not clearly released.","Use narration and parent prompts as scaffolds; keep animation instruction-relevant, disable decorative motion during decoding, and never claim the app replaces shared reading/teacher correction."
MEM01,Spaced practice,Meta-analysis,"Cepeda, N. J., Pashler, H., Vul, E., Wixted, J. T., & Rohrer, D. Distributed practice in verbal recall tasks: A review and quantitative synthesis. Psychological Bulletin, 132(3), 354-380.",https://doi.org/10.1037/0033-2909.132.3.354,2006,"Human learners across 317 experiments in 184 articles; mainly verbal materials","Meta-analysis of distributed versus massed practice and timing moderators","Distributed practice outperformed massed practice in most comparisons; optimal spacing depends on desired retention interval.","Broad convergence supports a causal spacing effect, but not a single universal interval algorithm.","Predominantly laboratory/verbal tasks; publication and design heterogeneity; no Quran-specific studies.","APA copyright; article may be author-archived; synthesis data not packaged as a product-ready scheduler.","Schedule ayah/word/rule reviews by target retention horizon and performance; validate intervals prospectively instead of copying fixed SM-2 defaults."
MEM02,Spacing schedule,Large randomized experiment,"Cepeda, N. J., Vul, E., Rohrer, D., Wixted, J. T., & Pashler, H. Spacing Effects in Learning: A Temporal Ridgeline of Optimal Retention. Psychological Science, 19(11), 1095-1102.",https://doi.org/10.1111/j.1467-9280.2008.02209.x,2008,"More than 1,350 online adult participants; fact learning in English","Experimental manipulation of study gap up to 3.5 months and test delay up to one year","Best interstudy gap increased with final retention delay; overlong gaps eventually reduced performance.","Randomized timing manipulation supports causality for fact learning.","Facts and adults are not sequential oral Quran passages; one-review design differs from continuing hifz.","Publisher copyright; author manuscript publicly available; no production licence for content.","Let users choose retention goal and adapt intervals; prevent review backlogs from silently expanding past demonstrated recall."
MEM03,Retrieval practice,Randomized laboratory experiments,"Roediger, H. L., & Karpicke, J. D. Test-Enhanced Learning: Taking Memory Tests Improves Long-Term Retention. Psychological Science, 17(3), 249-255.",https://doi.org/10.1111/j.1467-9280.2006.01693.x,2006,"University students learning prose passages in English","Two experiments comparing repeated study with one or repeated free-recall tests at 5-minute, 2-day and 1-week delays","Restudy helped immediate performance, while retrieval produced better retention after 2 days and 1 week despite lower confidence.","Randomized condition and delayed tests support a causal retrieval-practice benefit for prose.","University/lab setting; no feedback in key conditions; Quran recitation has sequencing and phonetic constraints.","Publisher copyright; author copies available; no open participant data stated.","Include closed-text recitation and meaning recall after study; do not infer mastery from immediate recognition or learner confidence."
MEM04,Retrieval practice,Randomized experiment,"Karpicke, J. D., & Roediger, H. L. The Critical Importance of Retrieval for Learning. Science, 319(5865), 966-968.",https://doi.org/10.1126/science.1152408,2008,"University students learning foreign-language vocabulary","Experimental study-test schedules that dropped learned items from study and/or testing","Repeated testing after initial success greatly improved one-week retention; repeated studying after success did not.","Experimental manipulation supports a causal role for continued retrieval in this vocabulary paradigm.","Paired vocabulary is simpler than connected ayat and oral accuracy; one-week horizon.","AAAS copyright; no open dataset or reuse licence stated.","A first correct recitation must not remove an ayah from review; require spaced successful retrievals at increasing delays."
MEM05,Retrieval practice,Meta-analysis,"Rowland, C. A. The effect of testing versus restudy on retention: a meta-analytic review of the testing effect. Psychological Bulletin, 140(6), 1432-1463.",https://doi.org/10.1037/a0037559,2014,"159 effect sizes from laboratory learning studies","Random-effects meta-analysis of testing versus restudy moderators","Testing improved delayed retention overall; effortful recall tended to outperform recognition, and feedback moderated outcomes.","Synthesis supports retrieval over restudy on average, with substantial moderator dependence.","Laboratory-heavy corpus and heterogeneous materials; not Quran/hifz-specific.","APA copyright; no openly licensed source materials; extraction availability not clear.","Prefer free recitation, continuation and meaning production over multiple choice; give corrective feedback and log cue level."
MEM06,Retrieval in classrooms,Systematic review,"Agarwal, P. K., Nunes, L. D., & Blunt, J. R. Retrieval Practice Consistently Benefits Student Learning: a Systematic Review of Applied Research in Schools and Classrooms. Educational Psychology Review, 33, 1409-1453.",https://doi.org/10.1007/s10648-021-09595-9,2021,"5,374 learners across 50 classroom experiments, school through higher education","Systematic review with 49 coded effect sizes under a narrow classroom definition","Most effects favored retrieval practice; 57% were medium or large, across ages and classroom settings.","Experimental classroom evidence supports causality within included comparisons, but effect size varies.","Few Quran/Arabic tasks; implementation and controls differ; publication corpus may underrepresent null results.","Publisher copyright with accessible author versions; coding resources should be checked before reuse.","Use low-stakes daily retrieval and delayed checks in real lessons; run an A/B or cluster trial on Quran retention rather than relying only on lab transfer."
MEM07,Retrieval in classrooms,Critical review,"Moreira, B. F. T., Pinto, T. S. S., Starling, D. S. V., & Jaeger, A. Retrieval Practice in Classroom Settings: A Review of Applied Research. Frontiers in Education, 4, 5.",https://doi.org/10.3389/feduc.2019.00005,2019,"Elementary through medical-school classroom studies","Review restricted to educationally relevant classroom experiments","Classroom retrieval usually helped against restudy or no activity, but comparisons with strong alternative learning activities were less conclusive.","Evidence does not justify calling retrieval uniquely superior to every active alternative.","Review predates later trials; study descriptions and controls varied; not language-specific.","Open access, CC BY 4.0.","Compare retrieval against a credible active control such as guided recitation with feedback; report null results and not only engagement."
MEM08,Quran memorization,Systematic review,"Al Arifi, N., Zurqoni, & Robingatin. Challenges in Qur'anic Memorization Learning at Elementary Schools: Systematic Literature Review. Tafkir, 7(1).",https://doi.org/10.31538/tijie.v7i1.2481,2025,"Elementary Quran-memorization settings; 14 Scopus-indexed studies from 2015-2025","PRISMA-guided systematic literature review","Recurring barriers include time, motivation, teacher support, method consistency and weak home/school coordination.","The synthesis diagnoses implementation problems; it does not establish which digital method causes better retention.","Only 14 studies, substantial regional and methodological heterogeneity, limited experimental work.","Open access, CC BY-SA 4.0; no pooled learner data.","Add teacher/parent handoff, manageable review load and adherence diagnostics; do not present streaks alone as a memorization intervention."
MEM09,Quran memorization,Scoping review,"Al-Razi, M. F., & Kusumasari, F. Beyond rote learning: a scoping review of the education-related effects of Quran memorisation. British Journal of Religious Education.",https://doi.org/10.1080/01416200.2026.2688399,2026,"36 empirical hifz studies; evidence dominated by Indo-Malay settings","PRISMA-ScR scoping review of cognitive, academic and psychospiritual outcomes","The literature reports multiple positive associations, but observational designs dominate and domain-specific retention is often not separated from broader claims.","The review explicitly does not justify causal claims that hifz raises general intelligence or academic achievement.","Regional concentration; broad outcomes; varied quality; limited randomized or long-term retention trials.","Publisher copyright; no open extraction dataset or commercial reuse licence stated.","Measure ayah retention directly at 1, 7, 30 and 90 days; avoid marketing claims about general cognition, grades or wellbeing without trials."
MEM10,Quran memorization app,Single-group pre/post study,"Ikhsan, I., Hayati, Z., & Iswantir, M. Pengaruh Penggunaan Aplikasi Hafalan Al-Qur'an pada Android terhadap Kemampuan Menghafal Al-Qur'an Siswa. FENOMENA, 16(2).",https://doi.org/10.21093/fj.v16i2.7529,2024,"Indonesian school students using an Android Quran memorization app","Pre/post analysis using paired tests and N-gain","Scores increased after app use; reported N-gain was 0.3656 (medium category).","Without a randomized concurrent control, improvement cannot be attributed solely to the app.","Practice, maturation and testing effects are uncontrolled; local rubric; no long-term delayed outcome.","Open access, CC BY-NC-SA 4.0; app/content reuse rights not established.","Treat app efficacy as unproven until a controlled delayed-retention pilot is run; instrument dose, prior hifz and teacher contact."
FA01,Formative assessment,Meta-analysis,"Fuchs, L. S., & Fuchs, D. Effects of Systematic Formative Evaluation: A Meta-Analysis. Exceptional Children, 53(3), 199-208.",https://doi.org/10.1177/001440298605300301,1986,"21 controlled special-education studies; 96 effect sizes","Meta-analysis of systematic formative evaluation procedures","Average weighted effect was reported as 0.70, with effects varying by data display, evaluation rules and behavior-management components.","Controlled evidence supports formative evaluation in the included contexts; the historical pooled estimate should not be treated as universal.","Old, special-education-heavy evidence; methods and publication practices predate current standards.","SAGE copyright; no open extraction dataset.","Show teachers/learners a trend of specific errors and use explicit rules to alter the next lesson, rather than collecting scores without adaptation."
FA02,Formative assessment,Meta-analysis,"Kingston, N., & Nash, B. Formative Assessment: A Meta-Analysis and a Call for Research. Educational Measurement: Issues and Practice, 30(4), 28-37.",https://doi.org/10.1111/j.1745-3992.2011.00220.x,2011,"K-12; over 300 studies screened, 13 usable studies and 42 independent effects","Random-effects meta-analysis with design-quality screening","Weighted mean effect was 0.20, far below commonly repeated 0.70 claims; computer-based and professional-development implementations were somewhat larger.","Supports modest average benefits while directly cautioning against inflated causal claims.","Only 13 studies met calculation criteria; wide implementation variation and possible selection bias.","Publisher copyright; no open dataset stated.","Set conservative impact expectations and pre-register Muslingo trials; never cite a generic 0.70 formative-assessment effect in marketing."
FA03,Feedback,Meta-analysis,"Wisniewski, B., Zierer, K., & Hattie, J. The Power of Feedback Revisited: A Meta-Analysis of Educational Feedback Research. Frontiers in Psychology, 10, 3087.",https://doi.org/10.3389/fpsyg.2019.03087,2020,"More than 61,000 learners; 435 studies, 994 effects","Random-effects meta-analysis with moderator analyses","Average feedback effect was medium (d=0.48) but highly heterogeneous; information content mattered, and cognitive/motor outcomes benefited more than motivation/behavior.","Feedback is not one treatment; causality and magnitude depend on intervention design.","Mixed study quality, outcomes and settings; aggregate effect does not specify Quran feedback wording.","Open access, CC BY 4.0; article/figures openly available.","Return task-level information: what was omitted/substituted, an example and next attempt; avoid praise-only or unexplained percentage scores."
FA04,Formative assessment,Systematic review of causal studies,"Morris, R., Perry, T., & Wardle, L. Formative assessment and feedback for learning in higher education: A systematic review. Review of Education, 9(3), e3292.",https://doi.org/10.1002/rev3.3292,2021,"Higher-education learners; 28 studies judged to provide satisfactory causal evidence","Systematic review of performance outcomes and feedback approaches","Evidence supports formative assessment overall, but does not identify a single consistently superior type or mode.","Causal evidence exists in included studies, but generalization to children and Quran learning is indirect.","Higher-education focus; many strategies are advocated more often than rigorously tested.","Open access, CC BY 4.0; published PDF available.","Pilot feedback variants by learner level; do not hard-code one explanation style for children, adult beginners and advanced hifz learners."
FA05,Formative assessment,Meta-analysis,"Karaman, P. The Effect of Formative Assessment Practices on Student Learning: A Meta-Analysis Study. International Journal of Assessment Tools in Education, 8(4), 801-817.",https://doi.org/10.21449/ijate.870300,2021,"Turkish educational studies; 32 studies and 47 effects","Meta-analysis of experimental and quasi-experimental formative-assessment interventions","Overall mean effect was 0.72; student-initiated and mixed feedback were larger than computer-only feedback (reported d=0.42).","Effects support the included interventions, but national corpus and subgroup confounding prevent a universal ranking.","Single-country publication corpus; mixed designs; moderator groups may differ on more than feedback source.","Open journal access; article licence should be checked before reuse; no learner dataset stated.","Allow self-rating and replay/dispute alongside automated feedback; reserve teacher review for uncertainty and high-stakes checkpoints."
FA06,Feedback design,Narrative evidence review,"Shute, V. J. Focus on Formative Feedback. Review of Educational Research, 78(1), 153-189.",https://doi.org/10.3102/0034654307313795,2008,"Education and training studies across ages and domains","Structured review of formative-feedback findings and moderators","Feedback is most useful when specific, supportive, task-focused and manageable; verification alone is often insufficient for complex learning.","The review synthesizes mechanisms and design guidance, not a pooled Quran-specific causal estimate.","Older and heterogeneous literature; recommendations interact with task and learner characteristics.","SAGE/AERA copyright; no open dataset.","After a wrong response, provide one actionable correction and a focused retry; chunk multi-error recitations instead of presenting an overwhelming error list."
FA07,Self-assessment,Four meta-analyses,"Panadero, E., Jönsson, A., & Botella, J. Effects of self-assessment on self-regulated learning and self-efficacy: Four meta-analyses. Educational Research Review, 22, 74-98.",https://doi.org/10.1016/j.edurev.2017.08.004,2017,"Learners across school and higher-education studies","Four meta-analyses of self-assessment effects on self-regulated learning and self-efficacy","Self-assessment was positively related to/self-reported as improving self-regulation and self-efficacy, with reported self-efficacy effect around 0.73.","Designs vary; self-report and intervention effects must not be conflated with objective skill mastery.","Heterogeneous instruments and interventions; publication bias and weak controls in parts of the corpus.","Publisher copyright; author manuscript publicly available; no open item bank.","Ask learners to rate confidence before revealing correctness, but keep confidence separate from mastery and speech-model confidence."
PR01,L2 pronunciation,Research synthesis,"Saito, K. Effects of Instruction on L2 Pronunciation Development: A Synthesis of 15 Quasi-Experimental Intervention Studies. TESOL Quarterly, 46(4), 842-854.",https://doi.org/10.1002/tesq.67,2012,"Second-language learners across 15 quasi-experimental studies; mostly non-Arabic target languages","Quantitative/narrative synthesis of pronunciation instruction","Instruction improved controlled pronunciation outcomes more consistently than spontaneous-speech outcomes; explicit phonetic focus mattered.","Quasi-experimental synthesis supports instruction but not direct transfer to Quranic tajwid.","Small literature, diverse measures, target languages and short interventions; many researcher-made tests.","Publisher copyright; no open pooled dataset.","Teach and practice target sounds in isolation, words and connected ayat; separately measure controlled imitation and uncued recitation."
PR02,L2 pronunciation,Meta-analysis,"Lee, J., Jang, J., & Plonsky, L. The Effectiveness of Second Language Pronunciation Instruction: A Meta-Analysis. Applied Linguistics, 36(3), 345-366.",https://doi.org/10.1093/applin/amu040,2015,"L2 learners across 86 study reports/effects; multiple target languages","Meta-analysis of pronunciation instruction and moderators","Pronunciation instruction had a large positive average effect, with outcomes affected by instructional and measurement choices.","Supports causal benefits where included comparisons are controlled, but the average is not a tajwid effect.","Heterogeneity, small samples and controlled-task measures; Arabic/Quran representation is limited.","Oxford University Press copyright; no open pooled speech data.","Combine perception and production training and evaluate on unseen ayat with blinded human raters, not only app-internal scores."
PR03,Computer-assisted pronunciation,Meta-analysis,"Mahdi, H. S., & Al Khateeb, A. A. The effectiveness of computer-assisted pronunciation training: A meta-analysis. Review of Education, 7(3), 733-753.",https://doi.org/10.1002/rev3.3165,2019,"1,014 participants across 20 CAPT studies; young and adult L2 learners","Meta-analysis of computer-assisted pronunciation interventions","CAPT showed a positive mean effect (reported d=0.68); effects appeared stronger for beginner/intermediate learners, but study quality was very low.","Evidence is indicative, not conclusive, because most studies were small and locally assessed.","Few studies, mostly under 100 participants, single institutions and intervention-aligned tests.","Publisher copyright; no shared evaluation corpus.","Use CAPT as guided practice, label uncertainty, and require independent teacher-rated validation before claiming pronunciation efficacy."
PR04,Computer-assisted pronunciation,Meta-analysis,"Almusharraf, A., Mahdi, H. S., Al-Nofaie, H., & Aljasser, A. The effect of settings, educational level and tools on computer-assisted pronunciation training: A meta-analysis. Journal of Computer Assisted Learning, 40(4), 1601-1620.",https://doi.org/10.1111/jcal.12974,2024,"31 experimental-versus-control studies; 42 effects across schools, institutes and universities","Meta-analysis with setting, educational-level and tool moderators","CAPT had a medium overall effect; larger effects were reported in formal settings and for video-supported interventions.","Supports CAPT in aggregate, but subgroup findings may be confounded and do not validate Quranic ASR scoring.","Multiple languages/tools; variable study quality and outcome measures; publication bias possible.","Publisher copyright; no open combined dataset stated.","Pair model audio/video articulation demonstrations with structured practice; validate in self-study and teacher-supported settings separately."
PR05,ASR pronunciation feedback,Controlled educational study,"Wang, Y.-H., & Young, S. S.-C. Effectiveness of feedback for enhancing English pronunciation in an ASR-based CALL system. Journal of Computer Assisted Learning, 31(6), 493-504.",https://doi.org/10.1111/jcal.12079,2015,"Young and adult EFL learners; English target pronunciation","Study of ASR-CALL with formative/summative and implicit/explicit feedback conditions","Richer formative and explicit feedback improved targeted English-pronunciation learning more than score-only interaction in the reported setting.","Controlled condition effects are causal for the implementation, not evidence that any ASR transcript accurately diagnoses tajwid.","English target; local system and measures; likely limited speaker/device diversity.","Publisher copyright; software, speech corpus and scoring model not openly released.","Display the recognized segment, correction type and replay/retry; never conceal the transcript behind boxes or stop retries after success."
PR06,Child pronunciation technology,Controlled school study,"Neri, A., Mich, O., Gerosa, M., & Giuliani, D. The effectiveness of computer assisted pronunciation training for foreign language learning by children. Computer Assisted Language Learning, 21(5), 393-408.",https://doi.org/10.1080/09588220802447651,2008,"Children learning a foreign language; non-Arabic target context","Controlled evaluation of ASR-based CAPT for child learners","Children could benefit from structured CAPT, but recognition and feedback design for child speech were central constraints.","Study supports the tested child-CAPT package, not unrestricted use of adult-trained ASR with children.","Older ASR; small/local sample; target language differs; child speech variability remains substantial.","Publisher copyright; system/data not openly licensed.","Create a child-specific speech gate: separate calibration, higher abstention, no punitive life loss, and easy human/parent retry."
PR07,Pronunciation pedagogy,Meta-analysis,"Lee, B., Plonsky, L., & Saito, K. The effects of perception- vs. production-based pronunciation instruction. System, 88, 102185.",https://doi.org/10.1016/j.system.2019.102185,2020,"L2 learners across pronunciation-intervention studies; multiple languages","Meta-analysis contrasting perception-focused and production-focused instruction","Both perception and production practice contributed, with outcomes depending on matching between training and test modality.","Supports including both modalities; it does not show that listening alone ensures accurate production.","Language and outcome heterogeneity; limited Quranic/Arabic evidence.","Publisher copyright; no open pooled audio corpus.","Every speech task should require a reference listen first, but mastery must include independent production and a later transfer item."
PR08,ASR-supported speaking,Quasi-experimental mixed-methods study,"Sun, W. The impact of automatic speech recognition technology on second language pronunciation and speaking skills of EFL learners: a mixed methods investigation. Frontiers in Psychology, 14, 1210187.",https://doi.org/10.3389/fpsyg.2023.1210187,2023,"61 EFL learners: experimental class n=29 and control class n=32","Quasi-experimental class comparison plus qualitative data","ASR with peer correction improved measured English pronunciation/speaking outcomes in the experimental class.","Non-random class assignment means teacher, class and peer effects may contribute; ASR alone is not isolated.","English, small two-class sample, short intervention and local assessments.","Open access, CC BY 4.0; underlying learner audio/data availability not prominent.","Blend automated flags with peer/teacher review in pilots; avoid attributing a combined workflow's gains solely to the model."
