ID,Area,Current evidence / state,Risk to learner or launch,Concrete action,Acceptance evidence,Owner,Priority,Dependency,Target phase
G-11,Tajwid scope depth,"Current titles cover core makharij, nun/mim, madd, lam/ra and basic waqf, but no auditable mastery map exists.",Important applied skills may be shallow or absent even when topics are named.,"Publish a mastery map including lahn jali/khafi, connected reading/hamzat al-wasl, silent-letter conventions, waqf/ibtida decisions, applied full-surah capstones and any intentionally excluded advanced qira'at topics.","Signed scope matrix with prerequisites, examples, assessment type and level boundary for every objective.",Curriculum Lead + Scholar,P1,Governance board,MVP curriculum
G-12,Placement and branching,One generic Tajwid route is visible; no diagnostic placement or age/fluency route found.,Beginners are overwhelmed and fluent readers repeat material; children and adults need different pacing/safeguards.,"Create placement checks for script decoding, fluency, makharij and core rules; branch into beginner, fluent-correction and hifz-support routes.","Validated placement rubric, misplacement audit and age-appropriate learning variants.",Product + Curriculum,P1,Assessment rubrics,MVP
G-13,Russian/Kazakh localization,"Muslingo serves English/Russian/Kazakh, while the cited Tajwid source is English/Urdu and there is no documented bilingual scholarly review.",Literal translation can distort technical terms and examples.,Create a controlled Arabic–English–Russian–Kazakh glossary; require separate subject-matter review of ru and kk scripts and voice-over.,"Approved glossary, reviewer sign-off, back-translation sampling and zero unresolved terminology flags.",Localization Lead,P0,Qualified ru/kk reviewers,Before localized launch
G-14,YouTube use,"Official channels are useful, but public viewing is being considered alongside owned lessons.","Downloading, clipping, transcribing or repackaging videos can breach YouTube and creator terms.",Use optional outbound links or official embeds only; store channel/video URL and attribution; request written rights before any derivative use.,No downloaded media in build; embed/link QA; permission record for every adapted asset.,Content Ops + Legal,P0,Creator permission,Ongoing
G-15,Voice privacy,"Record-from-memory and speech evaluation process learner recitation; no content-level governance evidence covers consent, retention or minors.",Sensitive voice data may be retained or reused beyond learner expectations.,"Adopt explicit consent, shortest practical retention, deletion/export, no model training without opt-in, minor/guardian controls and regional data review.","Data map, retention schedule, delete test, consent copy, vendor DPA and minor flow QA.",Privacy + Engineering,P0,Vendor architecture,Before voice launch
G-16,Accessibility,"No audited specification for slow/mu'allim audio, color-independent Tajwid cues, keyboard/screen-reader paths or hearing/vision needs.",Learners with disabilities or low fluency may be excluded; color-only rules are inaccessible.,"Add adjustable speed where licensed, ayah/word loops, text labels alongside colors, scalable Quran font, transcripts/instructions and screen-reader testing.","WCAG-oriented QA, color-independent rule labels, audio controls and assistive-technology test record.",Design + QA,P1,Licensed timing/audio,MVP
G-17,Source freshness,External APIs and curricula can change; current materials lack a visible refresh cadence and correction intake.,"Licenses, versions and corrections can drift after launch.","Maintain a source register with owner, last checked, next review, checksum/version and correction/takedown SLA; sync Quran Foundation content at its required cadence when used.","Quarterly rights review, automated version alerts, weekly eligible content sync and correction log.",Content Operations,P0,Source registry,Operations
G-18,Outcome measurement,"Completion counts exist, but mastery definitions for recall, word accuracy, pronunciation and rule application are not separated.",Progress dashboards can reward activity without verified learning.,"Define mastery thresholds per objective, cumulative retention checks, calibration against human raters and confidence-aware reporting.","Metric dictionary, inter-rater agreement, holdout results and dashboard labels that match evidence.",Learning Science + Analytics,P1,Assessment model,Pilot
G-19,Teacher safeguarding,"Live/async human review is recommended, but no safeguarding workflow is documented for minors or gender preferences.","Partnership expansion can create safety, privacy and trust risks.","Require verified teachers, same-gender option, guardian consent, moderated communications, reporting/escalation and no off-platform contact.","Safeguarding policy, background/credential checks where lawful, audit logs and incident drill.",Trust & Safety,P1,Partner operations,Before teacher beta
G-20,Release integrity,"The app contains 246 lessons and 2664 steps, but source coverage differs sharply: Quran 11.0%, Arabic 83.2%, Tajwid 100%, Rules 9.1% in the local inventory.",A URL field alone may be mistaken for rights clearance or scholarly approval; gaps can remain hidden.,"Replace binary 'sourced' status with provenance states: canonical data, factual reference, licensed adaptation, internally authored/reviewed, and unresolved.","Every lesson/asset has author, sources, rights basis, reviewer, version and release status; unresolved items fail the release gate.",Content Platform,P0,Schema update,Foundation
