snapshot_date,product,segment,free_tier,monthly_price,annual_price,lifetime_or_one_time,family,trial,scholarship_or_gifting,institutional,renewal_and_cancel,price_scope,evidence_status,source_urls,notes
2026-09-11,Sajda,Islamic superapp and Academy,Core app free and ad-free; Sajda+ exists,Regional amount not found,Regional amount not found,not_found,not_found,not_found,not_found,not_found,Store-managed subscription,Official site; amount localized or in-app,confirmed_with_gaps,https://sajda.com/en | https://sajda.com/en/privacy,Packaging is clear at feature level but not comparable by one public global price.
2026-09-11,Quran Majeed,Quran reader and Islamic utility,Free with advertising and in-app purchases,USD 0.99-1.99 storefront variants,USD 29.99,Full Upgrade USD 49.99,not_found,not_found,not_found,not_found,Store-managed auto-renewal,US App Store snapshot,confirmed_with_regional_variation,https://apps.apple.com/us/app/quran-majeed-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id365557665,Many legacy SKUs and free audio packs make the offer harder to parse.
2026-09-11,Quran.com,"Quran reader, audio and study",Free,not_applicable,not_applicable,not_applicable,not_found,not applicable,Donations support the nonprofit ecosystem,Connected Apps supports partner integrations,not applicable,Official nonprofit product,confirmed,https://quran.com/ | https://quran.com/privacy | https://api-docs.quran.com/,Free trusted infrastructure raises the bar for charging for basic reader functionality.
2026-09-11,Athan by IslamicFinder,Prayer and Islamic superapp,Free with advertising,Numeric price not reliably exposed,Numeric price not reliably exposed,not_found,not_found,not_found,not_found,not_found,Store-managed if purchased,Official App Store/help surface,confirmed_with_gaps,https://apps.apple.com/us/app/athan-prayer-times-al-quran/id505858403 | https://www.islamicfinder.org/,Ad removal and premium utility bundle are visible; one stable public price was not found.
2026-09-11,Pillars,Privacy-first prayer utility,Free ad-free core; optional supporter subscriptions,USD 11.99,USD 49.99,not_applicable,USD 87.90 family offer shown in US App Store in-app purchases,not applicable,Donation support,not_found,App Store subscription terms apply,Official site plus US App Store,confirmed,https://www.thepillarsapp.com/ | https://www.thepillarsapp.com/faqs | https://apps.apple.com/us/app/pillars-prayer-times-qibla/id1559086853,Shows that essential Muslim utilities can win trust without ads or account pressure.
2026-09-11,Miraj Stories,Islamic kids stories and learning,Limited discovery before subscription,Price localized and not publicly stable,Price localized and not publicly stable,not_found,"One household subscription, up to 4 devices",7-day annual-plan trial,Gift access not found,Educator and bulk pricing by contact,Recurring plan; cancellation in platform/account,Official site and FAQ,confirmed_with_gaps,https://www.mirajstories.com/ | https://www.mirajstories.com/faq/,Family access is clear; universal numeric price is not.
2026-09-11,Muslim Kids TV,Islamic kids streaming and learning,Trial access,USD 9.99,USD 79.99,not_found,One subscription covers household viewing; profile count not found on reviewed page,"Free trial, duration not stated on pricing help page",not_found,School offering exists,Cancel anytime,"Official help center, USD; regional variation stated",confirmed,https://help.muslimkids.tv/hc/en-us/articles/35566460267668-Plans-and-Pricing | https://www.muslimkids.tv/,Simple two-plan packaging is easier to understand than multi-SKU app stores.
2026-09-11,Durioo+,Islamic kids streaming,Selected shows free without card,USD 17.99 on global pricing; regional campaigns show other amounts,USD 169.99 global; regional campaign amounts differ,not_found,"Family profiles included, generally up to 5",14-day trial appears on some campaign pages; global pricing page does not state it,not_found,not_found,Recurring billing; cancel anytime,"Official pages, strongly region/campaign dependent",confirmed_with_regional_variation,https://duriooplus.com/pricing | https://join.duriooplus.com/ | https://join.duriooplus.com/safescreentime/,"Simultaneous official offers vary materially, so checkout region is authoritative."
2026-09-11,Quran Era,Gamified Quran reading for children,Limited free access described,Numeric amount varies by plan and region,Numeric amount varies by plan and region,not_found,Family and school plans published,Trial or free sample exists; exact term not consistently found,not_found,School plan and live classes,Terms vary by selected plan,Official web,confirmed_with_gaps,https://quranera.com/pricing.html | https://quranera.com/FAQ.html | https://quranera.com/live-classes.html,The offer spans self-paced software and live teacher services.
2026-09-11,Noor Kids,Islamic character education for children,Free samples/content exist,Current amount not reliably exposed in reviewed help page,Current amount not reliably exposed in reviewed help page,not_found,Household subscription content,not_found,Gift products exist,School/educator resources exist,Plan terms on checkout/help center,Official site/help,confirmed_with_gaps,https://help.noorkids.com/support/solutions/articles/13000117713-subscription-plans-pricing | https://noorkids.com/,Physical/digital product mix makes direct app-only comparison misleading.
2026-09-11,AlifBee,Modern Standard Arabic learning,About 20% of lessons free; 20 lessons in first level,From AED 19 across weekly-to-annual store products; exact monthly SKU varies,Exact current annual amount requires selected offer/region,Gift codes; Kids includes lifetime variants,No general family plan confirmed; Kids supports multiple child profiles in separate product,Free lesson access rather than a single time-limited trial,Gift codes supported,School licenses from AED 560,Store/platform managed,"Official web/store, AED and regional variation",confirmed_with_regional_variation,https://www.alifbee.com/en/price-page | https://store.alifbee.com/collections/alifbee-premium-subscriptions,Premium includes smart review and one 30-minute tutoring session.
2026-09-11,Duolingo,General language and gamified learning,Broad free path with ads and Energy/Hearts limits,Super USD 9.99 or USD 12.99 storefront variants,Super USD 79.99-119.99 storefront variants,not_found,Family variants exist; price varies by storefront,14-day Super trial,Gift subscriptions vary by market; scholarship not found,Duolingo for Schools is free,Auto-renews; managed in App Store,US App Store snapshot with multiple SKUs,confirmed_with_regional_variation,https://apps.apple.com/us/app/duolingo-language-lessons/id570060128 | https://blog.duolingo.com/plus-family-plan/,"The free route remains usable, but friction and AI features drive conversion."
2026-09-11,Busuu,General language learning,Meaningful free lessons with ads; full features paid,USD 9.99-23.49 storefront variants,Premium USD 70-138.99; Premium Plus USD 89.99-139.99 variants,not_found,Consumer family plan not confirmed,14-day Premium Plus trial SKU,not_found,Business and education products,Auto-renews; managed in account/store,US App Store snapshot with legacy/promotional SKUs,confirmed_with_regional_variation,https://apps.apple.com/us/app/busuu-language-learning-app/id379968583 | https://www.busuu.com/en/terms/,Price ladder is hard to compare without seeing the exact checkout offer.
2026-09-11,Memrise,General language learning,"Limited vocabulary, videos and conversations with ads",USD 24.99,USD 61.99,Lifetime USD 329.99; offer USD 131.99,No current family plan found,not_found,not_found,not_found,Auto-renews; managed in App Store,US App Store snapshot,confirmed_with_regional_variation,https://apps.apple.com/us/app/memrise-language-learning-app/id635966718,Large lifetime discount variants can create anchoring and trust questions.
2026-09-11,Pimsleur,Audio-first language learning,Free lesson/sample,Current offer depends on course and market,Current offer depends on course and market,Lifetime course purchase exists in selected markets,All Access household sharing terms vary,7-day free trial commonly advertised; exact offer must be checked at checkout,Gift subscriptions/courses available in some markets,Enterprise/education contact,Recurring subscription; cancel through purchase channel,"Official pricing/checkout, market dependent",confirmed_with_gaps,https://www.pimsleur.com/ | https://www.pimsleur.com/learn-arabic-modern-standard,Do not compare one course purchase to an all-language subscription as if identical.
