canonical_product_id,product,segment,depth,evidence_status,defining_strength,main_gap,muslingo_move,official_sources
al-islam-islamic-pillars,Al-Islam: Islamic Pillars,Apple-native Islamic superapp,deep,confirmed,"confirmed: Quran planner, tafsir, search, Siri, offline ayah audio and multiple reciters; not found: structured Academy; learning guides and dua collections present",wide feature set executed as an Apple-native utility; no diagnostic pedagogy,"Strong benchmark for widgets, Siri and native performance.",https://apps.apple.com/us/app/al-islam-islamic-pillars/id6449729655
amau-academy,AMAU Academy,Arabic and Islamic studies,deep,confirmed_with_gaps,Program breadth and junior track confirmed,"No public SRS, adaptive or efficacy data",Benchmark separate adult and junior pathways with explicit prerequisites,https://www.amauacademy.com/ | https://helpdesk.amauacademy.com/articles/getting-started-with-amau/what-is-amau-academy/ | https://www.amauacademy.com/pages/plans | https://helpdesk.amauacademy.com/articles/gift-sharing-and-family-use/refer-and-win/
alifbee-kids,AlifBee Kids,Arabic learning for children,deep,confirmed,"multi-child controls, free gate and learning modalities are in official help center",teacher analytics; scholar governance; child-data deletion; exact regional price,"let users select AlifBee experience level, skip mastered alphabet items and enter Quran-specific transfer exercises",https://alifbeekids.com/ar|https://help.alifbee.com/hc/en-us/articles/10239530428573--What-is-AlifBee-Kids|https://help.alifbee.com/hc/en-us/articles/10213436606621--AlifBee-Kids-Sections|https://help.alifbee.com/hc/en-us/articles/10239728344477--Is-AlifBee-Kids-free
madinah-arabic,Madinah Arabic,Arabic reading and grammar,mapped,confirmed_with_gaps,Free structured Arabic reading and grammar materials,Not an adaptive mobile learning system,Use as a syllabus reference only where licensing permits,https://madinaharabic.com/free-content/reading
arabic101,Arabic101,"Arabic, Quranic Arabic and tajwid",deep,confirmed_with_gaps,"Teacher workflow, assessment and pricing confirmed",No published efficacy or automated speech validation,Strong benchmark for a Muslingo teacher escalation and periodic human review layer,https://arabic101.org/ | https://academy.arabic101.org/courses/ | https://academy.arabic101.org/tiersplans3/ | https://arabic101.org/aca/getting-started/ | https://arabic101.org/aca/faq-teaching/
pimsleur,Pimsleur,Audio language benchmark,deep,confirmed_with_gaps,"Method, SRS, Voice Coach and offline operation confirmed",Independent course-specific outcome evidence varies,Best benchmark for eyes-free daily audio learning and timed recall,https://www.pimsleur.com/ | https://www.pimsleur.com/pimsleur-faq/ | https://www.pimsleur.com/learn-french/subscription-audio/ | https://www.pimsleur.com/learn-arabic-modern-standard
hifz-jatra,Hifz Jatra,Bengali-first Quran memorization ecosystem,deep,confirmed Play listing claims; not found implementation/validation detail; inference on execution risk,very broad localized package and female-cycle-sensitive streak protection,feature breadth exceeds public proof; tiny install base; unclear moderation and teacher operations,Muslingo can localize equally deeply for Russian/Kazakh while proving each production feature and keeping learning focused,https://play.google.com/store/apps/details?id=com.ummahfirstlabs.hifzjatra | https://hifzjatra.top
irshad,Irshad,Bite-sized Islamic studies,deep,confirmed,"Short structured lessons, quizzes, missed-question review and spaced repetition; Daily streak",Very small public review base and no transparent source/reviewer workflow,Strong benchmark for low-friction adult foundations and compact lessons,https://apps.apple.com/us/app/irshad-islamic-learning/id6761447206
safar-publications,Safar Publications,Child Islamic studies and Quran curriculum,deep,confirmed_with_gaps,"Age progression, authorship and review model confirmed",No adaptive personalization or open reuse rights,Best benchmark for age-banded foundations; Muslingo's 10 foundations lessons are far too shallow,https://www.safaracademy.org/curriculum/ | https://safarpublications.org/islamic-studies-primary/ | https://docs.safarpublications.org/article/76-who-writes-the-textbooks
naml,Naml,Child Quran memorization,deep,confirmed_with_gaps,"Current versus future features, intervals, pricing and parent gate confirmed",No independent retention study or formal accessibility evidence,Best child-safety/product benchmark: parent approval must beat automatic promotion,https://naml-app.com/en | https://naml-app.com/en/pricing | https://naml-app.com/en/legal/privacy | https://naml-app.com/ar/pricing
learning-roots-kiitab,Learning Roots / Kiitab,children's Quran learning and family resources,deep,mixed,official site states an on-demand Quran app with recording and expert feedback and age-banded books,Kiitab availability date; teacher SLA; voice privacy; dashboard; family plan,"Muslingo can offer instant private practice plus optional human review, with explicit turnaround and recording deletion controls",https://www.learningroots.us/|https://www.learningroots.com/products/home-progress-kit-free-download
hifzai-by-nxgenz,HifzAI by NxGenZ,cloud AI Quran recitation and SRS,deep,confirmed first-party feature/pricing claims; not found validation; inference on risk and switch trigger,"clear per-ayah SRS, replay and transparent time quotas",high-confidence pronunciation/tajwid marketing without evidence; expensive at higher usage,"Muslingo can offer educationally honest scoring, stronger source governance and human escalation without pretending transcription equals tajwid",https://hifzai.org/ | https://hifzai.org/privacy
almaghrib-institute,AlMaghrib Institute,Cohort and on-demand Islamic education,deep,confirmed,"Seminars, recordings, study materials and exams; Community, instructor events and certificates rather than gamification",Course-based engagement is episodic and costly compared with daily app learning,"Benchmark for event energy, instructor brands and cohort community",https://www.almaghrib.org/online/ | https://www.almaghrib.org/allaccess/
lingq,LingQ,Content immersion benchmark,deep,confirmed_with_gaps,"SRS, offline, teacher dashboard and content import confirmed",Imported-content quality and licensing are learner/provider responsibilities,"Benchmark source-to-lesson pipeline, but Muslingo must approve every Islamic source before use",https://www.lingq.com/en/ios-app/ | https://www.lingq.com/en/schools/ | https://www.lingq.com/en/signup/ | https://www.lingq.com/ | https://www.lingq.com/en/accounts/new/
clozemaster,Clozemaster,contextual cloze practice,deep,confirmed + not found,Fast Track and review forecast guide practice; model details not public [confirmed/not found]; Custom review intervals and review forecast [confirmed]; Thousands of contextual sentences in frequency/grammar collections [confirmed],Machine-translated or unreviewed sentences must never be used as Quran or aqidah evidence,Cloze deletion for Quranic vocabulary in verified context; switch recognition to production,https://www.clozemaster.com/pro?source=signup | https://www.clozemaster.com/l/deu-eng/collections/fluency-fast-track-f3f781f5-b1a4-48e4-8c93-9c85355c9479
coursera-arabic,Coursera Arabic,Course marketplace benchmark,mapped,confirmed_with_gaps,Institutional course structure and certificates,Long sessions and low daily personalization,Use optional certificates only after defensible assessment,https://www.coursera.org/learn/arabic-for-beginners-1-arabic-alphabet-and-phonology
safar-journey2jannah,Safar Journey2Jannah,Curriculum-linked gamified learning,deep,confirmed,"Interactive lessons tied to textbooks, quizzes and teacher-led implementation; Gamified rewards and student experience",Less frictionless for an independent adult and tied to a larger curriculum ecosystem,"Best benchmark for governance, spiral learning, classroom implementation and teacher tooling",https://safarpublications.org/ | https://docs.safarpublications.org/
miyao,Miyao,Duolingo-style Islam and Quran for kids,deep,confirmed,"Three-to-five-minute lesson queue with info cards, choices, drag/drop, tracing and voice practice; errors loop back; XP; coins; badges; streak; friend quiz races",Pre-launch claims lack independent usage evidence and longitudinal mastery proof,Very close child-pedagogy benchmark; Muslingo can differentiate with measured memory and adult path,https://miyaokids.com/
sajda,Sajda,Faith learning and utilities,deep,confirmed_with_gaps,Regional language breadth and Academy positioning confirmed by official product material,Little public detail on assessment or reviewer workflow,"Primary regional localization benchmark, not a mastery-system benchmark",https://sajda.com/ | https://sajda.com/en | https://sajda.com/en/privacy
qalam,Qalam,Family Islamic content superapp,deep,confirmed with trust limitation,"confirmed: full Quran, recitation, translation, tafsir and offline access; confirmed: 40+ animated prophet stories and subject-based learning; formal curriculum depth not found","broad family/AI proposition, but trust evidence is weaker than feature claims",Privacy and AI-source governance require deeper diligence before treating as benchmark quality.,https://apps.apple.com/us/app/qalam-quran-deen-stories/id6744072027
beckah-games,Beckah Games,free family and classroom games,deep,confirmed,"free games, adaptive Quran questions and School Portal are official",child accounts; analytics; content review board; data retention,"use shareable, source-backed diagnostic challenges as top-of-funnel, then convert results into a private Muslingo plan",https://www.beckah.org/en/games
ameen,Ameen,Free Islamic superapp,deep,confirmed with gaps,confirmed: Quran recitation player and daily worship tools; not found,broad utility with limited evidence of structured learning,Newer product with limited evidence depth.,https://apps.apple.com/us/app/ameen-quran-athan-prayer/id6742055838
hafiz-quran-memorization,Hafiz - Quran Memorization,free offline hifz reader,deep,confirmed store claims; not found validation/privacy depth; inference on differentiation,"simple, free and offline with source attribution to Tanzil","no adaptive route, meaning curriculum, pricing support model or accuracy evidence",Muslingo can add a daily curriculum and transparent feedback while keeping a capable free offline core,https://play.google.com/store/apps/details?id=com.hafiz.app.hafiz_app
hifzease,HifzEase,FSRS hifz practice,deep,confirmed store mechanics; not found privacy/pricing; inference on granularity,clear active-recall and FSRS explanation,"page granularity can hide word/ayah weakness; no speech, teacher or meaning path",Muslingo can outperform with item-level mastery and generated repair tasks after errors,https://play.google.com/store/apps/details?id=com.zuapps.hifz_ease
tathbeet,Tathbeet,FSRS Quran memorization tracker,deep,confirmed store description; not found pricing/privacy depth; inference on self-rating weakness,explicit FSRS implementation and visual workflow; supports Warsh,manual self-rating can overestimate mastery; no speech or teacher review,Muslingo can add objective retrieval/recitation evidence to a similarly transparent review queue,https://play.google.com/store/apps/details?id=linahfad.quran.app | https://play.google.com/store/apps/details?id=linahfad.warshquran.app
nuri,Nuri,Game-like Islamic learning,deep,confirmed,"Five-minute story, quiz and badge lesson; World map; stars; unlocks; streaks; badges",Narrow launch content and pre-launch status; no spaced review evidence,Strong benchmark for character-led path and clear five-minute promise,https://learnwithnuri.com/
itqan-ayah,Itqan Ayah,gamified hifz quizzes and planner,deep,confirmed store features; not found algorithm validity/safeguarding; inference on UX tradeoffs,rich active-recall variety and strong motivational system,iPhone-only evidence; time pressure and public competition may conflict with calm religious learning; no recitation correction,Muslingo can use varied transfer tasks and weakness tracking while avoiding coins-first design and public piety competition,https://apps.apple.com/sa/app/itqan-ayah-quran-memorization/id6468956692
sabil-children-academy,SABIL Children Academy,Gamified Islamic curriculum for children,mapped,confirmed_with_gaps,"Twelve pillars spanning belief, Quran, salah, seerah, character and Arabic",Public assessment and product maturity detail are limited,Use a visible curriculum map with declared source scope,https://thesabilinstitute.org/masjid/academy/children
journey2jannah,Journey2Jannah,Gamified Islamic learning,mapped,confirmed_with_gaps,Explicit game-like learning structure,Source governance and outcome evidence require deeper review,Use journeys only when every activity maps to a learning objective,https://journey2jannah.com/
salam-learn,Salam Learn,Gamified Islamic learning,deep,not found,"Short lessons across Quran, dua, pillars, prophets, adab, Arabic and calendar plus games; XP; ranks; streak; quizzes; matching and sorting games",Strong breadth and mechanics but weak public authority/provenance evidence,"Direct UX benchmark for Muslingo foundations, especially path visibility",https://salamgames.com/learn/
learndeen,LearnDeen,Gamified Islamic quiz,deep,confirmed,Five-minute lessons and sourced quiz explanations across seven categories; Combo; XP; gems; badges; streak; six ranked leagues; timed lives,Quiz-heavy loop can reward recognition and speed more than transfer or application,Benchmark for energetic motivation; Muslingo should tie rewards to delayed mastery,https://play.google.com/store/apps/details?id=com.learndeen.learndeen
mondly,Mondly,gamified language learning,deep,confirmed + not found,"Daily lessons and progress tests; adaptive decision model not public [confirmed/not found]; Vocabulary builders and lesson review; SRS not confirmed [confirmed/not found]; Daily lessons, weekly quizzes and monthly challenges [confirmed]",Generic leaderboards and generic speech scores can distract from genuine recitation improvement,"Layer daily, weekly and monthly cadence; voice scenarios; RTL quality",https://www.mondly.com/ | https://apps.apple.com/us/app/mondly-learn-41-languages/id987873536 | https://www.pearson.com/languages/en-us/educators/mondly-by-pearson.html
sabinoor,Sabinoor,Gamified Quran and Hadith,deep,conflicting_official_disclosures,"Three-minute daily ladder: Essentials, Hadith, Quran, Quran; recitation practice; XP; gems; streaks; freezes; leagues; duels; companions; cosmetic skins","Speech claims include pitch, timing and madd, but public validation and teacher agreement data were not found; privacy marketing requires reconciliation with App Store data labels",Closest direct benchmark for Muslingo daily learning loop; validate rather than copy its AI claims,https://sabinoor.com/ | https://apps.apple.com/us/app/sabinoor/id6765837763 | https://www.sabinoor.com/
quran-era,Quran Era,Gamified Quran reading,deep,not found,"Video lessons, 100+ games, stories and activity books from letters to tajwid; Game progression and playful curriculum","Strong reading path but meaning, Islamic foundations and adaptive memory are not central","Major benchmark for polished Quran path, school sales and human-teacher upsell",https://quranera.com/FAQ.html | https://quranera.com/pricing.html | https://quranera.com/privacy-policy.html | https://quranera.com/live-classes.html
quran-for-kids-tarteel-noor,"Quran For Kids, Tarteel: NOOR",gamified Quran recitation and hifz,deep,confirmed,"this is the closest child-focused feature competitor: parent error dashboard, gamification and adaptive review are explicit",independent speech accuracy; precise pricing; teacher escalation; iOS status; retention periods,"Muslingo must win on honest pronunciation confidence, replay/retry, listen-first flow and a no-card diagnostic before any subscription wall",https://play.google.com/store/apps/details?hl=en_US&id=com.kaderisoft.islam
iman-app,iman.app,gentle one-ayah-a-day memorization,deep,confirmed official features/status; not found price/SRS; inference on transition value,"excellent emotional positioning, localization and simple habit","no diagnostic, current speech, teacher review or verified spaced schedule",Muslingo can keep the calm tone but immediately show a personalized diagnosis and repair plan rather than a uniform one-ayah cadence,https://iman.app/ | https://iman.app/pricing | https://apps.apple.com/us/app/iman-app-memorize-quran/id6736880861
lingodeer,LingoDeer,grammar-first language learning,deep,confirmed + not found,"Targets weak areas; exact adaptive model not public [confirmed/not found]; Built-in flashcards and review; support documents an SRS [confirmed]; Expert curriculum, grammar notes, native audio, stories and Fluent dialogues [confirmed]",Do not hide critical Quran meaning as a game; avoid uneven feature coverage without labels,Test-out; prerequisite guidance; slow/normal audio; explanations before harder practice,https://www.lingodeer.com/ | https://lingodeer.freshdesk.com/support/solutions/articles/61000194357-is-lingodeer-free-how-much-is-it- | https://lingodeer.freshdesk.com/support/solutions/articles/61000307428-where-is-fluent-and-what-is-it-
durioo,Durioo+,halal family streaming,deep,mixed,"parental controls, family profiles, offline use and cross-device model are official",independent scholar review; exact data collection; child profile deletion; teacher mode,use an intent-based switch: families selecting Quran mastery enter Muslingo diagnostic immediately; retain audio/video as optional background content only,https://duriooplus.com/pricing | https://join.duriooplus.com/ | https://apps.apple.com/us/app/durioo-by-omar-hana-makers/id1605538612 | https://play.google.com/store/apps/details?hl=en_US&id=ott.durioo1 | https://join.duriooplus.com/safescreentime/
maqraa,Maqraa,Institutional electronic Quran teaching,mapped,confirmed_with_gaps,Institutional teaching and recitation access,Regional access and integration terms require diligence,Use as a model for qualified escalation and certification boundaries,https://maqraa.prh.gov.sa/en
ayat-al-quran,Ayat: Al Quran,Institutional Quran reader,deep,confirmed,"confirmed: scanned Mushaf, tajwid/Warsh variants, 20+ translations, audio translation and synchronized highlighting; not found",focused reference reader; official listing shows limited recent product depth,"App Store reviews mention current audio/UI issues, but reviews were not used as confirmed product facts.",https://apps.apple.com/us/app/ayat-al-quran-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id634325420 | https://quran.ksu.edu.sa/
hakma-taleem,Hakma Taleem,Interactive Islamic learning,deep,confirmed,"Guided paths with short lessons, activities, questions and rewards; Rewards and dedicated quiz companion app",Broad ecosystem but limited public detail on mastery and curriculum depth,"Benchmark for combining stories, Quran, quizzes and path learning",https://hakmakids.com/
brilliant,Brilliant,interactive STEM learning,deep,confirmed + not found,Personalized recommendations and guided Learning Paths [confirmed]; Practice checkpoints; formal SRS not confirmed [confirmed/not found]; Explanations alternate with hands-on problems in progressive paths [confirmed],Public leagues and streak preservation should never imply religious merit or shame,Effort-based streak; no XP farming; learning path checkpoints; widget,https://brilliant.org/ | https://brilliant.org/help/features/what-are-learning-paths/ | https://brilliant.org/help/features/what-is-a-streak/ | https://brilliant.org/help/features/
journey2jannah-safar-ecosystem,Journey2Jannah / Safar ecosystem,Islamic curriculum and digital companion,deep,confirmed,"the ecosystem, role-specific help center, teacher resources and digital companion are official",current subscription amount; parent/teacher analytics fields; privacy retention; localization,"Muslingo should partner/license rather than copy, and can act as adaptive daily practice between Safar lessons",https://safarpublications.org/|https://docs.safarpublications.org/|https://safarpublications.org/help-center/islamic-studies/primary-islamic-studies-syllabus/are-safar-publications-available-as-ebooks-or-digital-downloads/|https://resources.safarpublications.org/
muslim-app,Muslim App,Islamic daily utility and widgets,mapped,confirmed_with_gaps,Verse-of-day and prayer widgets across device surfaces,Learning diagnostics and mastery are not core,"Use widgets to return users to assigned learning, not generic content alone",https://muslimapp.com/guide/on-your-device
salam-games,Salam Games,Islamic educational games,deep,mixed,topic breadth and lesson-path claim are on official site,operator identity; review governance; privacy; age bands; analytics; pricing,"offer a better free challenge with a diagnostic result and immediate personalized continuation, not a generic topic menu",https://salamgames.com/
learning-roots,Learning Roots,Islamic educational products for families,mapped,confirmed_with_gaps,Strong family brand and tangible learning materials,App-native adaptation and mastery signals vary by product,Create teacher and parent kits around the app path,https://www.learningroots.com/
muslim-guard,Muslim Guard,Islamic family edutainment,deep,not found,"Videos, stories, Quran, games and 1,000+ quizzes; 30+ games; timed/duel/parent-child quiz modes; rewards",Content volume is high but directed learning and source governance are unclear,Benchmark for family co-play; Muslingo should prioritize depth over catalog size,https://www.muslim-guard.com/en | https://www.muslim-guard.com/en/app/legal/politique-de-confidentialite | https://www.muslim-guard.com/en/quiz/creer
tawhid,Tawhid,Islamic habit superapp,deep,confirmed,"confirmed: Quran, tafsir and khatam planner; not found",broad tracker-led app; stronger habit analytics than instruction,Current storefront is the primary source.,https://apps.apple.com/us/app/tawhid-quran-prayer-times/id1668618911
al-noor-kids,Al Noor Kids,Islamic habits and learning for families,mapped,confirmed_with_gaps,"Family dashboard, age tiers, games and parent approval",Religious reward framing and AI answers need careful governance,"Adopt parent approval and family routines, avoid scoring piety",https://alnoorkids.com/
the-tarbiyah,The Tarbiyah,Islamic homeschool app,deep,confirmed,"age, child profile, progress and price are stated on the official page",additional-child pricing; moderation; data retention; curriculum reviewer identities,"Muslingo should import goals and self-reported level, then show evidence-based Quran mastery while avoiding scoring private religious behaviour",https://thetarbiyah.com/
islam360kids,Islam360Kids,Islamic kids learning app,deep,confirmed,"scope, July 2026 update and store data-safety declarations are official",learning progression; parent controls; content review board; iOS availability,"Muslingo should preserve a free guest route and differentiate through diagnosis, skill graph and review scheduling",https://play.google.com/store/apps/details?id=com.islam360kids
ali-huda,Ali Huda,Islamic kids streaming,deep,not found,an official App Store page remains accessible in Australia with product description,current operating website; current download availability; privacy terms; support status,"provide a transparent migration prompt for former Ali Huda users: choose known topics and surahs, receive a seven-day plan, never claim automated data import",https://alihuda.com/ | https://apps.apple.com/au/app/ali-huda/id1243697319 | https://apps.apple.com/us/developer/ali-huda-inc/id583712793
muslim-kids-tv,Muslim Kids TV,Islamic media and games,deep,inference,"Large library of videos, games, ebooks and Recitation Buddy; Games and entertainment catalog; streak/level system not found",Primarily content subscription; active learning and durable assessment are not central,"Benchmark for family distribution and breadth, not adaptive instruction",https://www.muslimkids.tv/ | https://help.muslimkids.tv/hc/en-us/articles/35566460267668-Plans-and-Pricing | https://help.muslimkids.tv/hc/en-us/articles/35566128101268-What-is-Muslim-Kids-TV | https://resources.muslimkids.tv/wp-content/uploads/2023/05/MuslimKidsTV-School-Background-2023.pdf
muslimkids-tv,MuslimKids.TV,Islamic media and games for children,mapped,confirmed_with_gaps,Large cross-device library and Recitation Buddy,Content volume is not evidence of a personalized curriculum,Do not compete on library size; connect every media item to the learning path,https://www.muslimkids.tv/
deenee,Deenee,Islamic microlearning for children,deep,not found,"Claims 5,000+ micro-lessons, quizzes, stories and audio; Quizzes and interactive content; exact rewards not found",Official page appears stale and current availability could not be confirmed,A cautionary benchmark: catalog-count claims age badly without current product evidence,https://deeneeapp.com/ | https://deeneeapp.com/privacy-policy/
noor-ul-huda,Noor Ul Huda,Islamic quiz and stories,deep,not found,"Daily quizzes, prophet stories, Quran lessons, duas and salah; Stars; badges; leaderboard",Feature breadth is clear but public governance and curriculum detail are thin,Benchmark for compact all-in-one interactive module design,https://www.hudalabs.app/
muslimquiz,muslimquiz,Islamic quiz game,deep,confirmed,"Category quizzes, timed challenge, guess-the-surah audio and daily question; Points; high scores; streak; challenges; physical-card scanning",Broad recall game without demonstrated explanation depth or transfer assessment,Good benchmark for multilingual quiz variety and hybrid physical/digital packs,https://play.google.com/store/apps/details?id=com.muslimquiz.muslim_quiz_v1
al-hafiz,Al-Hafiz,Islamic reader plus hifz SRS,deep,confirmed store claims; not found pedagogy depth; inference on focus advantage,privacy-first and free offline utility,"hifz is one feature inside super-app; no speech, curriculum or teacher feedback",Muslingo can turn passive utility into a focused adaptive learning loop while keeping core Quran access free,https://play.google.com/store/apps/details?id=com.alhafiz.quran.athan
qaf-school,Qaf School,Islamic school management,deep,confirmed,"role model, family visibility, institution isolation and free pricing are explicit",independent compliance audit; breach-liability posture is unusually broad; content curriculum ownership,"integrate Muslingo assignments and mastery receipts into teacher workflows through export/API later, without rebuilding a school SIS first",https://www.qaf.app/en|https://www.qaf.app/en/features/mobile-apps|https://www.qaf.app/legal/terms
niyyah-kids,Niyyah Kids,Islamic stories and activities,deep,inference,"Read/listen stories plus puzzles, mini-games and calligraphy; Playful activities; no streak/XP evidence","Gentle experience lacks visible curriculum, assessment and review model","Benchmark for calm, ad-free child experience and screen-time mindfulness",https://www.niyyahkids.com/
miraj-stories,Miraj Stories,Islamic stories and learning games,deep,confirmed,"Interactive stories, games, audiobooks and videos; Game-based exploration; explicit streak/XP system not found","High-quality edutainment, but no demonstrated adaptive path or spaced review",Benchmark for polished child media and school packaging,https://mirajstories.com/ | https://www.mirajstories.com/ | https://www.mirajstories.com/faq/ | https://www.mirajstories.com/children-privacy-policy/ | https://www.mirajstories.com/about-miraj/
noortrails,NoorTrails,Islamic story edutainment,deep,confirmed,Animated stories followed by quizzes and progression; XP; ranks; streaks; parent dashboard,Strong trust language but little public evidence on lesson mechanics and assessment validity,Benchmark for narrative immersion plus parent visibility,https://noorinitiative.com/ | https://noor-trails.com/
seekersguidance-academy,SeekersGuidance Academy,Islamic studies and Arabic,deep,confirmed_with_gaps,Free structured scholarly curriculum and declared approach confirmed,No adaptive engine or uniform assessment model,Benchmark doctrinal transparency and scholar escalation,https://academy.seekersguidance.org/ | https://seekersguidance.org/answers/general-counsel/what-is-the-belief-and-approach-of-seekersguidance-and-its-online-islamic-courses/ | https://seekersguidance.org/ | https://academy.seekersguidance.org/?redirect=0&track=odc | https://seekersguidance.org/islamic-scholars-fund/
cambridge-muslim-college-online,Cambridge Muslim College Online,Islamic studies online learning,mapped,confirmed_with_gaps,Institutional long-form Islamic learning,Not designed for short daily beginner practice,Create a clear handoff from foundations to advanced study partners,https://www.cambridgemuslimcollege.ac.uk/onlinelearning
athan-by-islamicfinder,Athan by IslamicFinder,Islamic superapp,deep,confirmed,"confirmed: Quran audio, 45+ translation languages, bookmarks, search and sharing; confirmed: Athan Stories and separate Athan Academy with interactive Quran/tajwid classes and teacher feedback",broad habit platform with learning adjacency; Quran mastery is not the single organizing loop,Athan Academy is a separate official app in the same ecosystem.,https://apps.apple.com/us/app/athan-prayer-times-dua-azkar/id505858403 | https://www.islamicfinder.org/privacypolicy/ | https://apps.apple.com/us/app/athan-prayer-times-al-quran/id505858403 | https://www.islamicfinder.org/ | https://apps.apple.com/us/app/athan-prayer-times-al-quran/id505858403?see-all=reviews
deen-islamic,Deen Islamic,Islamic superapp,deep,confirmed with gaps,confirmed: Quran recitation and tafsir; not found,broad utility with shallow public evidence,Not the same product as Deen Inc.,https://apps.apple.com/us/app/deen-quran-hadith-prayer-time/id6504724978
