product,category,primary_segment,availability,lesson_loop,lesson_loop_status,motivation,motivation_status,levels_and_path,levels_status,progress,progress_status,sources_and_reliability,sources_status,expert_review,review_status,languages,languages_status,price_snapshot,price_status,principal_gap,muslingo_relevance,source_urls,accessed_date
First Steps in Islam,New-Muslim learning,New Muslims; Islam-curious adults,iOS live,"Daily step-by-step fundamentals, Quran/tafsir, seerah, duas and mentor Q&A",confirmed,Daily guidance; no XP/streak evidenced,inference,Structured beginner journey and 75-chapter seerah,confirmed,Lesson progression implied; mastery analytics not found,inference,Claims trusted and scholarly citations in mentor answers,confirmed,Named expert review and correction process not found,not found,English,confirmed,Free with in-app purchases,confirmed,AI mentor safety and handling of differences of opinion are not publicly detailed,Benchmark for new-Muslim scope and offline essentials,https://apps.apple.com/us/app/first-steps-in-islam/id6760339053,2026-09-11
Qur'an for All,Structured lecture library,Adults; Al-Huda learners,iOS live,"Guided lecture series across Quran, tafsir, hadith, seerah, tajwid and duas",confirmed,Continuation through organized series; no game mechanics evidenced,inference,Structured topic series; adaptive route not found,inference,Playback and series progress implied; granular mastery not found,inference,Published by Al-Huda International and tied to named teaching vision,confirmed,Institutional authorship is clear; row-level review workflow not found,inference,English listing; wider content languages not verified,confirmed,Free,confirmed,Primarily passive audio/lecture consumption rather than active retrieval,"Benchmark for broad, organized trusted content; Muslingo can add active practice",https://apps.apple.com/us/app/quran-for-all/id840190258,2026-09-11
Salam Learn,Gamified Islamic learning,Children and families,Web product,"Short lessons across Quran, dua, pillars, prophets, adab, Arabic and calendar plus games",confirmed,XP; ranks; streak; quizzes; matching and sorting games,confirmed,Named paths with visible lesson counts and difficulty labels,confirmed,Per-path completion and XP displayed,confirmed,Source and authenticity metadata not found on reviewed page,not found,Scholar review not found,not found,English on reviewed page,confirmed,Free/ad-free claim; paid boundary not found,inference,Strong breadth and mechanics but weak public authority/provenance evidence,"Direct UX benchmark for Muslingo foundations, especially path visibility",https://salamgames.com/learn/,2026-09-11
Hakma Taleem,Interactive Islamic learning,Children; families,"Web, iOS and Android claimed","Guided paths with short lessons, activities, questions and rewards",confirmed,Rewards and dedicated quiz companion app,confirmed,Taleem topic paths; detailed level structure not found,inference,Child profiles personalize experience; dashboard depth not found,confirmed,Scholar-reviewed and ad-free claims appear on official site,confirmed,Named reviewers and review workflow not found,not found,Language coverage not found,not found,Free and Premium; exact current price not exposed on public landing page,confirmed,Broad ecosystem but limited public detail on mastery and curriculum depth,"Benchmark for combining stories, Quran, quizzes and path learning",https://hakmakids.com/,2026-09-11
Miyao,Duolingo-style Islam and Quran for kids,Children 7-12; parents,"Pre-launch; App Store launch announced, Android later","Three-to-five-minute lesson queue with info cards, choices, drag/drop, tracing and voice practice; errors loop back",confirmed,XP; coins; badges; streak; friend quiz races,confirmed,"Covers beliefs, pillars, prophets, seerah, duas, Arabic letters and 10 short surahs",confirmed,Mastery-gated lesson completion is claimed; parent reporting not detailed,confirmed,"Claims lesson, story and translation review",confirmed,Scholar identities and process not found,not found,"English launch; Arabic, Turkish and Bahasa on roadmap",confirmed,One-time purchase or subscription claimed; exact amount not found,confirmed,Pre-launch claims lack independent usage evidence and longitudinal mastery proof,Very close child-pedagogy benchmark; Muslingo can differentiate with measured memory and adult path,https://miyaokids.com/,2026-09-11
Nuri,Game-like Islamic learning,Children 5-12; Western Muslim families,Pre-launch/founding-family stage,"Five-minute story, quiz and badge lesson",confirmed,World map; stars; unlocks; streaks; badges,confirmed,"Four worlds: seerah, early Muslims, pillars and duas; 24 launch units claimed",confirmed,Separate child progress and streak profiles,confirmed,Scholar-reviewed claim,confirmed,Qualified reviewers are asserted but identities/workflow not found,confirmed,English,confirmed,First 3 units free; $49.99/year planned; $24.99 founding-family first year; up to 5 profiles,confirmed,Narrow launch content and pre-launch status; no spaced review evidence,Strong benchmark for character-led path and clear five-minute promise,https://learnwithnuri.com/,2026-09-11
NoorTrails,Islamic story edutainment,Children 4-14; parents,Web product claimed,Animated stories followed by quizzes and progression,confirmed,XP; ranks; streaks; parent dashboard,confirmed,"Prophets, Companions and Islamic heroes; exact level map not found",inference,Parent dashboard claimed,confirmed,Claims every story is reviewed by qualified scholars,confirmed,Reviewer identities and correction log not found,not found,Language coverage not found,not found,Price not found,not found,Strong trust language but little public evidence on lesson mechanics and assessment validity,Benchmark for narrative immersion plus parent visibility,https://noor-trails.com/,2026-09-11
Muslim Guard,Islamic family edutainment,Children; families,Android live; iOS announced,"Videos, stories, Quran, games and 1,000+ quizzes",confirmed,30+ games; timed/duel/parent-child quiz modes; rewards,confirmed,Wide topics; sequenced curriculum not found,not found,Scores/rewards implied; mastery tracking not found,inference,Public provenance for quiz items not found,not found,Expert review not found,not found,English and French pages; in-app languages not fully confirmed,inference,Free; no ads; paid boundary not found,confirmed,Content volume is high but directed learning and source governance are unclear,Benchmark for family co-play; Muslingo should prioritize depth over catalog size,https://www.muslim-guard.com/en,2026-09-11
Muslim Kids TV,Islamic media and games,Children; families; schools,"Web, iOS, Android, TV and Chromecast","Large library of videos, games, ebooks and Recitation Buddy",confirmed,Games and entertainment catalog; streak/level system not found,inference,Catalog navigation rather than a single learning path,confirmed,"Viewing/activity progress likely, but learning mastery not publicly detailed",inference,Teacher approval is claimed; item-level sources not found,inference,Teacher-reviewed workflow not publicly detailed,not found,Language coverage not found,not found,14-day trial; $9.99/month or $79.99/year; country variation noted,confirmed,Primarily content subscription; active learning and durable assessment are not central,"Benchmark for family distribution and breadth, not adaptive instruction",https://www.muslimkids.tv/ | https://help.muslimkids.tv/hc/en-us/articles/35566460267668-Plans-and-Pricing,2026-09-11
Miraj Stories,Islamic stories and learning games,Children 4+; families; educators,"Web, iOS and Android claimed","Interactive stories, games, audiobooks and videos",confirmed,Game-based exploration; explicit streak/XP system not found,inference,Library structure; curricular levels not found,not found,Progress features not found in reviewed public pages,not found,Content described as vetted and Islamically appropriate,confirmed,Teacher approval is claimed; named review process not found,inference,English; other languages not found,not found,7-day annual-plan trial; exact public price not found; educator/bulk options,confirmed,"High-quality edutainment, but no demonstrated adaptive path or spaced review",Benchmark for polished child media and school packaging,https://www.mirajstories.com/ | https://www.mirajstories.com/faq/,2026-09-11
Niyyah Kids,Islamic stories and activities,Children 3-10; families,iOS and Android claimed,"Read/listen stories plus puzzles, mini-games and calligraphy",confirmed,Playful activities; no streak/XP evidence,not found,Content library rather than level path,inference,Progress tracking not found,not found,Curated Islamic content claim; explicit source metadata not found,inference,Expert or scholar review not found,not found,English on reviewed site,inference,Free app with premium books by subscription; exact price not found,confirmed,"Gentle experience lacks visible curriculum, assessment and review model","Benchmark for calm, ad-free child experience and screen-time mindfulness",https://www.niyyahkids.com/,2026-09-11
Noor Ul Huda,Islamic quiz and stories,Children and adults,Web/app presence claimed,"Daily quizzes, prophet stories, Quran lessons, duas and salah",confirmed,Stars; badges; leaderboard,confirmed,Topic modules; explicit prerequisites and levels not found,not found,Daily challenge and leaderboard progress; mastery not found,inference,Source metadata not found,not found,Expert review not found,not found,Language coverage not found,not found,Price not found,not found,Feature breadth is clear but public governance and curriculum detail are thin,Benchmark for compact all-in-one interactive module design,https://www.hudalabs.app/,2026-09-11
Deenee,Islamic microlearning for children,Children; parents,Web/app status unclear from stale public page,"Claims 5,000+ micro-lessons, quizzes, stories and audio",confirmed,Quizzes and interactive content; exact rewards not found,inference,Broad catalog; current level map not found,not found,Parent visibility is claimed; detail not found,inference,Source model not found,not found,Expert review not found,not found,Language coverage not found,not found,Price not found,not found,Official page appears stale and current availability could not be confirmed,A cautionary benchmark: catalog-count claims age badly without current product evidence,https://deeneeapp.com/,2026-09-11
DeenDropz,AI-assisted Islamic learning for youth,Children 8-16; adult mode,iOS live,"Daily lessons and quizzes, Quran audio, Arabic tutor and source-citing AI Q&A",confirmed,Streak; XP levels; reminders; score sharing,confirmed,"Age-personalized tracks, Arabic levels and multiple content tracks",confirmed,"Parent reports, profiles and lesson progress",confirmed,Claims Quran and Hadith citations in AI responses,confirmed,Named scholar review not found,not found,English,confirmed,Free on reviewed listing,confirmed,Fast feature expansion and AI answers create governance and child-safety risk without visible review workflow,Benchmark for age modes and parent reports; Muslingo needs stronger safety controls,https://apps.apple.com/my/app/deendropz/id6759574013,2026-09-11
Deenyou,Scholar-reviewed Islamic learning for kids,Children 4-14; parents,Web product; native availability not confirmed,"Five-minute lessons, stories and Echo recitation mode",confirmed,Streak; XP; seasonal events,confirmed,Single guided path claimed; full curriculum map not found,inference,Parent audit trail and progress visibility claimed,confirmed,Claims sourced AI answers and scholar-reviewed lessons,confirmed,Board review is claimed; names/workflow not found,inference,Language coverage not found,not found,Starts free; exact paid pricing not found,confirmed,"Claims about 40,000 families and review rigor were not independently verified",Benchmark for parent-visible AI audit trail and gentle speech feedback,https://deenyou.com/,2026-09-11
Naml,Parent-led Quran memorization,Children; families; schools,Web product; mobile status not confirmed,"Listen, shadow, solo recite and parent-confirmed mastery per ayah",confirmed,Three mastery stars; jigsaw garden; short sessions,confirmed,38 surahs in phase one; parent assigns starting point,confirmed,"Per-child profiles, due review and parent-led exams",confirmed,Quran text and three reciters; edition/source metadata not detailed on landing page,inference,Parent confirms exams; AI oral review explicitly future,confirmed,11 interface languages and RTL,confirmed,"Free for one child and 38 surahs; family paid, exact amount not shown on reviewed English page",confirmed,Child-only phase-one scope and dependence on parent availability,Best benchmark for honest feature boundaries and family-led memory loop,https://naml-app.com/en,2026-09-11
Quran Era,Gamified Quran reading,English-speaking children; families; schools,"Web, iOS and Android","Video lessons, 100+ games, stories and activity books from letters to tajwid",confirmed,Game progression and playful curriculum,confirmed,Step-by-step levels from isolated letters to Mushaf reading,confirmed,Parent/student progression; live-teacher option,confirmed,Source metadata not visible in reviewed FAQ,not found,Live classes use qualified Quran teachers; self-paced content review workflow not detailed,confirmed,English-speaking target,confirmed,$9.99/month; $69.99/year promo; $199 lifetime promo for one child; 7-day trial requires payment details,confirmed,"Strong reading path but meaning, Islamic foundations and adaptive memory are not central","Major benchmark for polished Quran path, school sales and human-teacher upsell",https://quranera.com/FAQ.html | https://quranera.com/pricing.html,2026-09-11
Noor Kids,Story-led Islamic character curriculum,Children 4-9; parents,"Books, digital program and app surfaces",Relatable stories and guided character-building activities,confirmed,Narrative identification and monthly continuity; game economy not central,inference,"Age-adapted curriculum across character, beliefs and global citizenship",confirmed,Program progression implied; granular mastery not found,inference,Institutional curriculum with explicit topic map,confirmed,Educator/editorial involvement is clear; formal scholar review workflow not found,inference,English,confirmed,Membership/program pricing not captured on reviewed pages,not found,"Strong identity learning but limited Quran reading, speech and adaptive review",Benchmark for age-appropriate contemporary scenarios and identity confidence,https://help.noorkids.com/support/solutions/articles/13000116903-character-building-program-curriculum | https://noorkids.com/products/treehouse,2026-09-11
Safar Journey2Jannah,Curriculum-linked gamified learning,Children; parents; madrasahs; schools,Web digital platform plus print ecosystem,"Interactive lessons tied to textbooks, quizzes and teacher-led implementation",confirmed,Gamified rewards and student experience,confirmed,"Age bands 4-6, 7-9, 10-11 and 11+; spiral curriculum",confirmed,Real-time student tracking and teacher tools,confirmed,Five explicit Islamic-studies domains and published curriculum ecosystem,confirmed,"Built with scholars, parents and teachers; teacher training and guides",confirmed,English; wider languages not confirmed,inference,School/home pricing exists; exact current subscription not captured,not found,Less frictionless for an independent adult and tied to a larger curriculum ecosystem,"Best benchmark for governance, spiral learning, classroom implementation and teacher tooling",https://safarpublications.org/ | https://docs.safarpublications.org/,2026-09-11
Yaqeen Curriculum,School Islamic studies curriculum,Middle and high school; educators,Web curriculum,"Teacher-led objectives, lesson plans, presentations, worksheets and assessments",confirmed,Discussion and contemporary relevance rather than game rewards,confirmed,Age-banded units across faith principles and faith in action,confirmed,Unit assessments; student app progress not central,confirmed,Research-driven units with public educational materials,confirmed,Scholar approval and peer review are part of documented workflow,confirmed,English,confirmed,Free access on reviewed curriculum page,confirmed,Not a self-guided daily habit app; requires teacher facilitation,"Gold-standard benchmark for review governance, contemporary questions and correction culture",https://yaqeeninstitute.org/curriculum,2026-09-11
SeekersGuidance Academy,Structured Islamic studies academy,Youth and adults; beginners to advanced,Web live and on-demand,"Lectures, lesson quizzes and finals within qualified-teacher curricula",confirmed,"Cohorts, certificates and teacher interaction; no consumer game economy",confirmed,"Five Islamic-studies levels plus Arabic, Quranic and youth curricula",confirmed,"Lesson/course completion, quizzes and finals",confirmed,Classical-text and curriculum framing is explicit,confirmed,Classically trained scholars and qualified instructors,confirmed,English and Arabic tracks,confirmed,Courses are free; donation-supported,confirmed,High depth and trust but heavier time commitment and weaker daily microlearning,"Benchmark for doctrinal transparency, progression and qualified instruction",https://seekersguidance.org/ | https://academy.seekersguidance.org/?redirect=0&track=odc,2026-09-11
AMAU Academy,Structured Islamic studies academy,Adults; beginners to advanced,Web subscription platform,Self-paced structured courses and learning paths,confirmed,Path clarity and teacher authority; no XP/streak evidence,inference,"Aqeedah, fiqh, tafsir, hadith, Arabic, spirituality, ruqyah and hifz paths",confirmed,Course progress implied; detailed mastery model not found,inference,Authentic Islamic education claim and organized subject structure,confirmed,Qualified teachers are explicitly claimed,confirmed,English; Arabic content/learning present; interface languages not confirmed,inference,Subscription exists; exact current public price not captured,not found,Long-form academy model is less suited to a six-minute daily behavior loop,Benchmark for serious adult path and teacher-led authority,https://helpdesk.amauacademy.com/articles/getting-started-with-amau/what-is-amau-academy/,2026-09-11
Zad Academy,Formal online Islamic curriculum,Adults,Web and TV,"Three daily lectures, five days a week, with weekly/monthly/final exams",confirmed,Fixed semester cadence and graduation; no game economy,confirmed,"Two years, four semesters, seven core subjects",confirmed,Monthly and final exams with passing progression,confirmed,"Quran, Sunnah and declared interpretive framework",confirmed,Institutional faculty and participant follow-up are described,confirmed,Arabic and English sites,confirmed,Free-access mission is described; current fee not found,inference,High commitment and declared theological scope limit mass casual use,"Benchmark for breadth, assessment rigor and declared scope",https://zad-academy.com/en/curriculum,2026-09-11
AlMaghrib Institute,Cohort and on-demand Islamic education,Adults; university-age learners,Web and in-person,"Seminars, recordings, study materials and exams",confirmed,"Community, instructor events and certificates rather than gamification",inference,Large course catalog and All Access program; linear prerequisite map not clear,inference,Course exams use a 70% default pass mark,confirmed,Institutional curriculum and named instructors,confirmed,Qualified instructor model; review pipeline not publicly detailed,inference,English; global delivery,confirmed,Paid courses and All Access; exact current amount varies and was not captured,not found,Course-based engagement is episodic and costly compared with daily app learning,"Benchmark for event energy, instructor brands and cohort community",https://www.almaghrib.org/online/ | https://www.almaghrib.org/allaccess/,2026-09-11
Qalam Institute,Seminary and community education,Children; teens; adults; advanced students,"Web, in-person and recordings","Instructor-led classes, intensives and recorded courses",confirmed,"Community, camps and intensives; no app streak system",inference,"Kids programs, foundations, Arabic, essential knowledge and multi-year seminary",confirmed,Course completion and formal study; app-style progress not found,inference,Classical texts and named instructors,confirmed,Teacher-led by institutional faculty,confirmed,English and Arabic study components,confirmed,Mixed free/paid programs; current per-course price not captured,not found,Excellent depth but not a self-guided adaptive consumer app,Benchmark for learner lifecycle from child foundations to advanced scholarship,https://www.qalam.institute/links | https://www.qalam.institute/online-class-recordings,2026-09-11
Bayyinah TV,Quran and Quranic Arabic learning,Adults; Quran-focused learners,"Web, iOS and Android claimed","Video/audio courses, systematic Arabic study and Quran explanation",confirmed,Personalized dashboard and related-content recommendations; no XP/streak confirmed,confirmed,Beginner guidance plus deep Arabic and Quran series,confirmed,Lesson progress bar and personalized dashboard,confirmed,Institutional authored content and downloadable study materials,confirmed,Named instructor-led model; independent scholarly review workflow not public,inference,English; Arabic source language,confirmed,$11/month stated on official Arabic resources page,confirmed,Depth can overwhelm beginners; active retrieval and spaced review are not central,"Benchmark for premium explanation, audio/video flexibility and content depth",https://explore.bayyinahtv.com/arabic/ | https://explore.bayyinahtv.com/arabic-resources/,2026-09-11
Understand Al Quran Academy,Quran understanding and reading,Children; adults; schools; teachers,Web courses and multiple mobile apps,"Course sequence from reading to understanding, vocabulary and tajwid; teacher options",confirmed,Short-course framing and classroom practice; no strong game economy evidenced,inference,Understand Quran courses 1-5 plus reading and teacher training,confirmed,Course progression; teacher evaluation app; detailed learner mastery not found,inference,Curriculum claims Quran as textbook and Seerah as workbook,confirmed,Materials described as supervised by Islamic scholars; personal tutors available,confirmed,Claims translations/use in 20 international languages,confirmed,Self-study resources plus paid one-to-one/group tutoring; exact current rate not captured,confirmed,Fragmented app ecosystem and older UX compared with modern habit products,"Benchmark for multilingual scale, teacher training and Quran-word comprehension",https://understandquran.com/ | https://understandquran.com/our-mobile-apps/,2026-09-11
Academy by Muslim Pro,Islamic academy inside super-app,Children and adults; existing Muslim Pro users,Qalbox/Muslim Pro app,"Self-paced video lessons, interactive MCQ after lessons and live/Zoom classes",confirmed,Certificates and ecosystem cross-sell; no streak/XP academy loop confirmed,inference,"Beginner, intermediate and advanced Quran; beginner/intermediate Arabic",confirmed,Course enrollment and certificates; mastery details not found,inference,Institutional partner and named lecturers are shown,confirmed,Qualified teachers and Ulum Al-Azhar Academy partnership,confirmed,English and Malay offerings; broader app localization exists but academy coverage varies,confirmed,Beginner free; intermediate paid; advanced Quran listed at $2.99; other pricing in app,confirmed,Academy is one section of a broad super-app and personalization appears limited,Benchmark for distribution through an existing Islamic ecosystem and low-cost entry,https://www.muslimpro.com/academy-islamic-courses/,2026-09-11
