priority,horizon,move,target_user,user_problem,product_change,proof_metric,competitive_reason,dependency,decision
P1,31-60 days,RU-KZ market wedge,Russian and Kazakh speaking beginners,Global products do not teach in the learner's strongest language,Expert-reviewed RU and KZ content pronunciation guidance support and search,Activation and D30 retention by locale; translation correction rate,"Sajda already has localization breadth; defensibility requires expert review, consented local speech evidence, correction history and measured retention",Native reviewers; locale QA; regional experts,Build with experts
P1,31-60 days,Ethical retention system,All learners,Misses practice but rejects guilt or pay pressure,Useful reminders based on due knowledge quiet hours and chosen tone; recovery lesson restores streak,Notification-to-assigned-review conversion; opt-out and uninstall guardrails,Uses Duolingo's personalization without manipulative religious framing,Notification preferences; due queue; experiment guardrails,Build
P1,31-60 days,Progress portability,Multi-device and switching users,Fears losing years of learning history,Export Muslingo progress; quick manual import of known surahs and reading position; use third-party APIs only when officially allowed,Transfer completion; support tickets; cross-device recovery success,Portability signals confidence and lowers lock-in anxiety,Account verification; encrypted sync; data mapping,Build
P1,31-60 days,No-account value before registration,Privacy-sensitive beginner,Does not trust the app enough to register,First diagnostic lesson result and recommendation stay local; registration appears for sync afterward,First-value completion; post-result registration; guest-to-account merge success,Reduces onboarding friction and demonstrates value before asking for data,Local progress; secure merge,Keep and strengthen
P2,6-12 months,Teacher and mosque cohorts,Learners who need accountability,Self-study alone is not enough,Private class codes assignment queues teacher dashboard and aggregate progress,Weekly active cohorts; assignment completion; teacher retention,Distribution and credibility beat paid acquisition in trust-heavy education,Teacher controls; privacy; procurement,Partner
P2,6-12 months,Family learning plan,Parents and siblings,Needs safe shared motivation without exposing private worship,Separate profiles parent approval age bands and private shared goals,Family activation; child retention; safeguarding incidents,Naml and child products prove demand; Muslingo can connect family safety to mastery,Parental consent; age assurance; child privacy,Build after safeguarding
P2,61-90 days,Audio learning mode,Commuter and low-screen-time learner,Cannot look at the screen daily,Listen repeat voice answer explanation and next-step loop with safe hands-free controls,Completed audio plans; next-day recall; interruption recovery,Pimsleur-style usage expands daily contexts without diluting the core,Audio rights; offline queue; speech robustness,Build
P2,6-12 months,Public evidence dashboard,Prospect teacher and partner,Cannot verify that Muslingo is better,Publish anonymized delayed mastery speech error bounds uptime reviewer coverage and correction history,Evidence page visits to diagnostic starts; partner conversion,Turns superiority from a claim into inspectable proof,Analytics quality; privacy review; sufficient sample,Publish when valid
P2,61-90 days,Competitor-specific transition pages,Experienced app users,Cannot see why Muslingo adds value,Create factual pages for habit-to-mastery hifz-to-meaning reader-to-plan and course-to-daily-practice journeys without trademark confusion,Qualified diagnostic starts and retention by page,Explains complementary value instead of attacking competitors,Verified comparison matrix; legal review,Market
P3,6-12 months,Scholar and teacher marketplace,Advanced learner,Needs ongoing accountable instruction,Verified profiles booking rubric-aligned feedback and escalation,Repeat lessons; teacher quality; dispute rate,Creates a human quality network that automated-only products cannot easily match,Identity verification; payments; moderation; regional law,Partner-led
P3,6-12 months,Institutional mastery API,Schools mosques and partners,Needs reliable progress data across tools,Consent-based assignments mastery evidence and export APIs,Institution adoption; API reliability; learning outcomes,Makes the learner model an infrastructure moat,Stable schema; security; contracts,Build after core validation
P1,61-90 days,Quran Foundation Connected Apps,Quran.com users and multi-tool learners,Does not want to lose reading continuity,"Apply for approval, then use OAuth/OIDC with PKCE, consent preview, minimum scopes and local-only fallback for supported bookmarks, progress, goals, notes and preferences",Approved integration; consent completion; sync accuracy; zero unauthorized data access,Creates an official continuity path without scraping or asking for competitor credentials,Quran Foundation approval; rights review; OAuth security,Partner and build
