"snapshot_date","product","segment","app_store_positioning","onboarding","referrals","sharing","streak","streak_repair","challenges","portability","teacher_community_distribution","evidence_level","ethical_muslingo_implication","source_urls","notes"
"2026-09-11","Arabic Unlocked","Quranic Arabic app and academy","confirmed: gamified Quranic Arabic plus Academy/live classes","confirmed: app starts from letters or chosen learning track","not_found","not_found","inference: smart tracking and spaced practice; explicit streak rules not located","not_found","confirmed: games and Academy pathways","not_found","confirmed: Academy adds live teacher-led study","mixed","Muslingo should keep the game layer subordinate to mastery and use one profile across reading, vocabulary, ayah meaning and recitation.","https://arabicunlocked.com/; https://arabicunlocked.com/academy/; https://arabicunlocked.com/terms/","Official site accessed 2026-09-11."
"2026-09-11","AMAU Academy","Islamic studies and Arabic academy","confirmed: structured authentic Islamic learning academy","confirmed: select program and use student dashboard","confirmed: Refer a Friend gives 30 subscription days after first paid invoice; unlimited; website subscriptions only","confirmed: personal referral link can be shared by WhatsApp, Telegram, social or email","not_found","not_found","confirmed: structured programs and assessments; no app-style challenge mechanic located","not_found","confirmed: named instructors, student dashboards and guided programs","confirmed","A referral can reward access, never imply spiritual merit. For Muslingo, grant learning time or teacher-review credits only after genuine activation, with fraud controls and clear terms.","https://www.amauacademy.com/; https://helpdesk.amauacademy.com/articles/gift-sharing-and-family-use/refer-and-win/","Official site and help center accessed 2026-09-11."
"2026-09-11","SeekersGuidance Academy","Free Islamic studies academy","confirmed: reliable Islamic learning without barriers","confirmed: learner selects level/track and prerequisites","not_found","confirmed: public educational resources can be shared; no in-product progress sharing located","not_found","not_found","confirmed: course progression and assessments; no gamified challenge located","not_found","confirmed: qualified scholars, live sessions, mentorship and community centers","mixed","Trust can be a distribution moat. Muslingo should publish review ownership and source provenance and partner with scholars/centers instead of presenting AI as religious authority.","https://academy.seekersguidance.org/; https://seekersguidance.org/islamic-scholars-fund/","Official academy and organization pages accessed 2026-09-11."
"2026-09-11","Bayyinah TV","Quranic Arabic and tafsir media","confirmed: Quranic Arabic and tafsir library with named instructor brand","confirmed: learner chooses Arabic or surah/topic path","not_found","not_found","not_found","not_found","confirmed: recommended study paths; no app challenge located","not_found","confirmed: instructor-led courses and live Q&A; no recitation review workflow located","mixed","Avoid competing as another video library. Convert verified explanations into short original, reviewed learning steps tied to the learner's diagnosed gap.","https://www.bayyinahtv.com/index; https://explore.bayyinahtv.com/arabic/; https://bayyinah.com/terms-and-conditions/","Official product and terms pages accessed 2026-09-11."
"2026-09-11","Understand Al Quran Academy","Quranic Arabic, reading and tajwid academy","confirmed: learn to read and understand Quran through staged courses","confirmed: course/path selection; no adaptive diagnostic located","not_found","not_found","not_found","not_found","confirmed: curricular exams, workbooks and teacher training","not_found","confirmed: live madrasah, tutors and teacher-training model","mixed","Use partnerships for reviewed content and teacher pilots; do not treat free-to-view materials as reusable content or imply endorsement without agreement.","https://understandquran.com/; https://understandquran.com/online-madrasah/","Official academy pages accessed 2026-09-11."
"2026-09-11","Quran Revolution","Teacher-led Quran recitation","confirmed: easier Quran learning through teacher feedback","confirmed: teacher/course intake","not_found","not_found","not_found","not_found","confirmed: teacher-assigned practice and review","not_found","confirmed: qualified teacher/TA review, learner submissions and breakout reading","mixed","Teacher review is the trust bridge for AI uncertainty. Muslingo should route only consented attempts with a narrow rubric and a visible response time.","https://easierquran.com/","Official site accessed 2026-09-11."
"2026-09-11","Pillars","Privacy-focused Muslim utility","confirmed: ad-free, privacy-focused Muslim prayer app","confirmed: no account required; notification permission is opt-in during onboarding","not_found","confirmed: standard app/site sharing; no learning-progress sharing","not_found","not_found","not_found","confirmed: local anonymous model; no Quran learning progress to import/export","confirmed: community trust positioning; official FAQ recommends Tarteel instead of duplicating Quran","confirmed","Copy the product discipline: explicitly refuse unrelated superapp scope, keep sensitive defaults local, and recommend/partner where another product is stronger.","https://www.thepillarsapp.com/; https://thepillarsapp.com/privacy; https://thepillarsapp.com/faqs","Official site, privacy and FAQ accessed 2026-09-11."
"2026-09-11","Athan / IslamicFinder","Islamic superapp and community","confirmed: prayer times, Quran, duas and Muslim community","confirmed: some advanced features require signup","not_found","confirmed: Community was launched for global sharing and questions","not_found","not_found","inference: community activity and religious routines; no current challenge rules confirmed","not_found","confirmed: public Muslim community; current teacher workflow not located","mixed","Open community is not Muslingo's near-term wedge. Prefer private teacher/family groups, age gates, reporting, moderation and no exposure of private religious activity.","https://www.islamicfinder.org/news/how-athan-is-changing-the-way-muslims-connect/; https://www.islamicfinder.org/privacypolicy/","Official IslamicFinder pages accessed 2026-09-11; community article is older and current implementation should be rechecked before launch decisions."
"2026-09-11","Duolingo","Gamified language learning benchmark","confirmed: short, fun daily language lessons","confirmed: goal/course start and personalized path; placement varies by course","not_found: no universal cash referral located in reviewed official pages","confirmed: friends, cheers, Friend Streaks and family plan invites","confirmed: personal and Friend Streaks","confirmed: Streak Freeze protects missed days","confirmed: weekly Friends Quests, monthly quests and leaderboards","not_found: no general course-progress import/export located","confirmed: friends/social layer; no human teacher in core consumer product","confirmed","Use tiny daily commitments, milestone emotion and private accountability, but replace loss pressure with compassionate recovery tasks and learning quality gates.","https://blog.duolingo.com/friends-social-features/; https://blog.duolingo.com/tips-for-maintaining-streak/; https://blog.duolingo.com/putting-in-work-the-habit-of-language-learning/","Official Duolingo blog pages accessed 2026-09-11."
"2026-09-11","Busuu","Language learning and community corrections","confirmed: language courses with community feedback","confirmed: placement exists for selected languages; Arabic support differs","not_found","confirmed: audio/written exercises can be sent to fluent-speaker community; friends can be notified","confirmed: daily streak","confirmed: two weekly shields earned through lessons/review; Premium Plus repair once per 30 days","confirmed: weekly community challenges on supported platforms","not_found: no broad progress import/export located","confirmed: community corrections and best-correction feedback","confirmed","Adopt earned recovery, not paid guilt: a missed day can be repaired by completing a review of weak material. Keep recitation audio private unless explicitly shared.","https://help.busuu.com/hc/fr/articles/16722928943377-Comment-envoyer-mes-exercices-%C3%A0-la-communaut%C3%A9; https://help.busuu.com/hc/de/articles/16498048476305-Was-ist-ein-Schutzschild-und-wie-kann-ich-es-nutzen","Official Busuu help pages accessed 2026-09-11."
"2026-09-11","Memrise","Language learning benchmark","confirmed: practical language and spaced review","confirmed: goal/experience choice","not_found","not_found","confirmed: per-course daily streak after goal completion","not_found: no current official repair mechanism located","not_found: no current official social challenge located","not_found: no general progress export/import located","not_found: current core product has no routine teacher layer","mixed","A simple daily-goal streak is easy to understand, but Muslingo must tie it to a meaningful learning action rather than raw app opening or XP.","https://www.memrise.com/about; https://memrise.zendesk.com/hc/en-us/articles/360015973598-What-are-Streaks-and-how-do-they-work; https://www.memrise.com/privacy","Official product, help and privacy pages accessed 2026-09-11."
"2026-09-11","Quizlet","Study tools and classroom benchmark","confirmed: flashcards, Learn and Test for students and teachers","confirmed: learner joins by set/class or creates content","not_found","confirmed: share sets/folders by link, email and classroom integrations","not_found","not_found","confirmed: teacher assignments, Learn/Test and class progress","confirmed: user-created sets can be exported","confirmed: teacher-owned classes, notifications, assignments and downloadable score reports","confirmed","Support portability only for learner-owned or licensed material. A future Muslingo teacher export should contain progress and rubric results, not copyrighted Quran explanations from others.","https://help.quizlet.com/hc/en-us/sections/360005877232-Accessing-and-sharing; https://help.quizlet.com/hc/en-au/articles/360035357412-Adding-sets-to-a-class","Official Quizlet help center accessed 2026-09-11."
"2026-09-11","Anki","Spaced-repetition and portability benchmark","confirmed: flexible memory system with configurable scheduling","confirmed: learner imports/creates decks; no guided curriculum onboarding","not_found","confirmed: deck packages can be shared outside the product","not_found","not_found","not_found: no native social challenge","confirmed: text, deck and collection import/export with media options","not_found: no built-in teacher/community layer","confirmed","Make the learner model exportable in a documented, human-readable format, while preventing imports from granting XP or bypassing mastery validation.","https://docs.ankiweb.net/importing/intro.html; https://docs.ankiweb.net/exporting.html; https://docs.ankiweb.net/deck-options.html","Official Anki manual accessed 2026-09-11."
"2026-09-11","LingQ","Content-immersion language learning","confirmed: learn through personally interesting real content","confirmed: choose language and level during signup","confirmed: referral username/coupon field is present at signup","confirmed: imported lessons and community/tutor interactions can be shared under controls","inference: tracked words and activity support continuity; explicit streak rule not located","not_found","confirmed: lessons, community conversations and tutor practice","confirmed: user may import owned/authorized content and sync activity across devices","confirmed: tutors, corrections, forums and school/group distribution","mixed","User-owned import can increase commitment, but Muslingo should accept only permitted text/audio and never convert copyrighted third-party Quran lessons without rights.","https://www.lingq.com/; https://www.lingq.com/en/accounts/new/; https://www.lingq.com/en/schools/","Official LingQ pages accessed 2026-09-11."
"2026-09-11","Khan Academy","Mastery and teacher distribution benchmark","confirmed: free mastery learning","confirmed: course/challenge entry and teacher assignment","not_found","confirmed: teachers distribute assignments and may connect classroom rosters","not_found","not_found","confirmed: mastery goals and assignments","confirmed: teachers can download assignment scores as CSV; Google Classroom roster import supported","confirmed: teacher dashboard covers activity, mastery, scores, responses and completion","confirmed","Build an institution dashboard around actionable gaps, not vanity XP: due reviews, recurring errors, completion, consent status and teacher-reviewed outcomes.","https://support.khanacademy.org/hc/en-us/articles/360031129891-What-reporting-options-are-available-on-Khan-Academy-for-teachers-to-track-student-performance; https://support.khanacademy.org/hc/en-us/articles/115002552631-How-does-Khan-Academy-s-Mastery-system-work","Official Khan Academy help center accessed 2026-09-11."
