"product","segment","official_url","onboarding","placement","adaptive_path","srs_review","lesson_sequence","transfer_tasks","speech_feedback","habit_mechanics","competition_social","notifications_reactivation","monetization","family_teacher","applicable_to_muslingo","unacceptable_or_risky","evidence_status","not_found","checked_at","source_urls"
"Mondly","gamified language learning","https://www.mondly.com/","Select native/target languages; daily lesson entry [confirmed]","Progress tests exist; initial placement flow not confirmed [confirmed/not found]","Daily lessons and progress tests; adaptive decision model not public [confirmed/not found]","Vocabulary builders and lesson review; SRS not confirmed [confirmed/not found]","Daily lessons, weekly quizzes and monthly challenges [confirmed]","Voice chatbot and practical conversations [confirmed]","Speech recognition and chatbot feedback [confirmed]","Daily lessons, weekly quizzes, monthly challenges and reminders [confirmed]","Leaderboard [confirmed]","Daily reminders confirmed; reactivation model not public [confirmed/not found]","Subscription required for full courses/features [confirmed]","Educator product exists; family plan not found [confirmed/not found]","Layer daily, weekly and monthly cadence; voice scenarios; RTL quality","Generic leaderboards and generic speech scores can distract from genuine recitation improvement","confirmed + not found","SRS; initial placement; notification targeting; family plan","2026-09-11","https://apps.apple.com/us/app/mondly-learn-41-languages/id987873536 | https://www.pearson.com/languages/en-us/educators/mondly-by-pearson.html"
"Khan Academy","mastery learning platform","https://www.khanacademy.org/","Course selection and teacher assignment; classroom home emphasizes next steps [confirmed]","Course challenges sample skills; full placement varies by program [confirmed/not found]","Mastery levels expose gaps and support targeted assignment [confirmed]","Mastery practice revisits skills; no general SRS scheduler confirmed [confirmed/not found]","Video/article, practice, quiz, unit test and course challenge [confirmed]","Mastery requires applying skills, not only consuming content [confirmed]","Not a general speech product [not applicable]","Mastery goals, gems, weekly streaks and class challenges [confirmed]","Class-wide LearnStorm/Mastery Tower; not individual public leaderboard [confirmed]","Teacher assignments and due dates; consumer reactivation policy not evaluated [confirmed/not found]","Core learning remains free; district/Khanmigo offerings vary [confirmed]","Strong teacher dashboard, moderation reports, assignments and exportable reports [confirmed]","Skill graph; mastery thresholds; teacher-visible evidence; cooperative class goals","Do not equate video completion or XP with mastery; student chat review raises privacy duties","confirmed + not found","General SRS; consumer notification logic; speech","2026-09-11","https://support.khanacademy.org/hc/en-us/articles/360007253831-Using-self-paced-practice-and-Mastery-in-the-classroom | https://www.khanacademy.org/khan-for-educators/teacher-toolbox/getting-started-teacher-training-us/implementation-strategies-us/classroom-strategies/a/using-khan-academy-for-personalized-practice-and-mastery | https://blog.khanacademy.org/meet-the-new-khan-academy-classroom-experience/"
"Quizlet","adaptive study and flashcards","https://quizlet.com/","Start from a created/found study set [confirmed]","Learn begins with a quick review of familiarity [confirmed]","Learn targets difficult material and increases question difficulty [confirmed]","Learn uses spaced-repetition principles [confirmed]","Flashcard to multiple choice/true-false/written progression [confirmed]","Written recall, practice tests and collaborative Live [confirmed]","Text-to-speech exists; pronunciation analysis not confirmed [confirmed/not found]","Short sessions, checkpoints and test-date reminders [confirmed]","Quizlet Live teams; Match high scores [confirmed]","Reminders tied to study plan/test date [confirmed]","Free core; Plus unlocks advanced modes and AI [confirmed]","Classes and teacher sharing/assignment [confirmed]","Change response format from recognition to recall; due-date plan; teacher-created sets","User-generated religious material and AI-generated cards require expert review and source controls","confirmed + not found","Pronunciation scoring; current SRS intervals; family plan","2026-09-11","https://quizlet.com/features/learn | https://quizlet.com/features/study-modes | https://quizlet.com/features/ai-study-tools"
"Anki","spaced-repetition flashcards","https://apps.ankiweb.net/","Create/import a deck; high setup burden [confirmed/inference]","No placement [not found]","Scheduler adapts next review to recall rating [confirmed]","Core product schedules review near forgetting; timing is configurable [confirmed]","User-defined decks and card templates [confirmed]","Active recall; transfer depends on card design [confirmed/inference]","Supports audio but no built-in pronunciation evaluator [confirmed/not found]","Due queue encourages routine; no native consumer streak highlighted [confirmed/not found]","Shared decks/add-ons, not social competition [confirmed]","Due counts support self-reactivation; push strategy not found [inference/not found]","Desktop/Web/Android free; official iOS app is paid [confirmed]","No family/teacher dashboard in core [not found]","Item-level memory state; offline-first review; transparent user control","Raw flashcards invite rote memorization, poor card quality and unsafe shared religious content","confirmed + inference + not found","Placement; notifications; teacher/family; speech","2026-09-11","https://apps.ankiweb.net/ | https://docs.ankiweb.net/syncing.html"
"Brilliant","interactive STEM learning","https://brilliant.org/","Create account and start free interactive content [confirmed]","Recommended start exists; formal placement not found [confirmed/not found]","Personalized recommendations and guided Learning Paths [confirmed]","Practice checkpoints; formal SRS not confirmed [confirmed/not found]","Explanations alternate with hands-on problems in progressive paths [confirmed]","Problems require applied reasoning, not passive reading [confirmed]","Not a speech product [not applicable]","Streak requires three problems or a lesson; earned Streak Charges protect missed days [confirmed]","Weekly XP leagues; repeated lessons do not earn extra XP [confirmed]","Preferences include notifications; iOS widget shows streak and reminders [confirmed]","Free sequential access; Premium unlimited/ad-free; Family Plan [confirmed]","Family plan, parent progress dashboard and educator offering [confirmed]","Effort-based streak; no XP farming; learning path checkpoints; widget","Public leagues and streak preservation should never imply religious merit or shame","confirmed + not found","Formal placement; exact recommendation model; SRS","2026-09-11","https://brilliant.org/help/features/what-are-learning-paths/ | https://brilliant.org/help/features/what-is-a-streak/ | https://brilliant.org/help/features/"
"Elevate","adaptive brain training","https://get.elevateapp.com/","Goals lead into an initial assessment and daily workout [confirmed/inference]","Performance baseline is used; test design not fully public [confirmed/not found]","Daily program and difficulty adjust to performance and goals [confirmed]","No spaced-repetition scheduler confirmed [not found]","Short multi-game daily workout [confirmed]","Games require timed application across skills [confirmed]","Not a pronunciation product [not applicable]","Calendar, streak and freezes; completion requires finishing workout [confirmed]","No public league confirmed [not found]","Daily workout supports routine; targeting logic not public [confirmed/not found]","Free basics; Premium personalized daily session, unlimited play and advanced tracking [confirmed]","No family/teacher plan confirmed [not found]","Balanced daily mix; adaptive difficulty; detailed skill trend charts","Do not make streak contingent on passing when disability, microphone or connectivity interferes","confirmed + inference + not found","SRS; social; notifications; family/teacher","2026-09-11","https://support.elevateapp.com/hc/en-us/articles/4402922583067-What-is-Elevate | https://support.elevateapp.com/hc/en-us/articles/4402925042715-What-is-a-streak | https://get.elevateapp.com/"
"Speak","AI speaking tutor","https://www.speak.com/","Speaking starts on day one; Tutor learns goals and interests [confirmed]","Formal placement implementation not found [not found]","Premium Plus creates personalized study plan and lessons from frequent mistakes [confirmed]","Smart Review exists; scheduling details not public [confirmed/not found]","Curriculum plus situational role-play and custom lessons [confirmed]","Open speaking, role-play and personalized tasks [confirmed]","Instant pronunciation feedback; exact model and confidence display not public [confirmed/not found]","Daily personalized lessons; streak details not established [confirmed/not found]","No league or teacher community confirmed [not found]","Reactivation policy not found [not found]","Premium and Premium Plus; higher tier unlocks unlimited personalization [confirmed]","No family/teacher plan confirmed [not found]","Generate practice from recurring errors; use goals/interests without abandoning curriculum","Open-ended AI must not generate religious rulings or unverified Quran explanations","confirmed + not found","Placement; SRS algorithm; notification logic; family/teacher","2026-09-11","https://www.speak.com/ | https://help.speak.com/en/articles/5358417-what-s-the-difference-between-premium-and-premium-plus | https://app.speak.com/us-en/gift"
"ELSA Speak","AI pronunciation coaching","https://elsaspeak.com/","Survey plus diagnostic informs level, goals, native language, accent and interests [confirmed]","Initial diagnostic test [confirmed]","Continuously reassesses and builds personalized daily path [confirmed]","Saved sets and practice exist; SRS details not confirmed [confirmed/not found]","Daily recommended lessons across pronunciation, conversation, vocabulary and grammar [confirmed]","Role-play, presentations, interviews and created scenarios [confirmed]","Real-time feedback from sound/syllable through fluency, grammar and intonation [confirmed]","Daily lessons, game types, scores, levels and rankings [confirmed]","Rankings and organization dashboards [confirmed]","Daily recommendations; notification model not public [confirmed/not found]","Free limited use; Pro/Premium and trials; organization pricing custom [confirmed]","School/business dashboards, class paths and shareable reports [confirmed]","Diagnostic-to-plan; granular actionable feedback; role-specific tasks; teacher dashboard","English ASR claims cannot be transferred to Quran phonemes/tajwid without Arabic validation and scholar review","confirmed + not found","SRS timing; notification rules; Quran/Arabic validity","2026-09-11","https://elsaspeak.com/en | https://elsaspeak.com/en/elsa-subscription | https://elsaspeak.com/en/enterprise/business"
"Lingoda","live classes plus adaptive practice","https://www.lingoda.com/","Register, take level test, choose plan/classes [confirmed]","Free CEFR placement test; some tests return results in about five minutes [confirmed]","Structured CEFR curriculum and AI-informed practice connected to classes [confirmed]","Post-class practice exists; SRS not confirmed [confirmed/not found]","Each lesson builds on prior curriculum; live classes plus app practice [confirmed]","Real conversation with certified teachers and quizzes after class [confirmed]","Teacher feedback supported by AI progress reports [confirmed]","Scheduling, certificates and intensive Sprint commitments [confirmed]","Small-group classes; no public league [confirmed/not found]","Class schedule and trial renewal reminder; adaptive reactivation not found [confirmed/not found]","Seven-day trial then recurring plan; group/private tiers [confirmed]","Certified teachers, groups and progress evidence [confirmed]","Human escalation; teacher-led calibration; diagnostic before path; connected homework","Cashback/strict attendance mechanics can create pressure and are unsuitable for worship-adjacent learning","confirmed + not found","SRS; consumer family plan; notification targeting","2026-09-11","https://www.lingoda.com/en/placement-tests/ | https://www.lingoda.com/en/english/"
"Preply","tutor marketplace and learning platform","https://preply.com/","Match with tutor, book first lesson, then placement and learning tools [confirmed]","CEFR placement test after first booking; periodic progress tests [confirmed]","Tutor feedback, lesson insights and tailored exercise suggestions [confirmed]","Personalized vocabulary practice; exact SRS not found [confirmed/not found]","Live lesson, between-session practice, seven-unit progress test [confirmed]","Conversation with tutor and applied course exercises [confirmed]","Human feedback; AI Lesson Insights summarize grammar, vocabulary and speaking [confirmed]","Subscription schedule and tutor communication [confirmed]","Tutor marketplace; no learner league [confirmed/not found]","Lesson scheduling/reminders implied; policy not reviewed [confirmed/not found]","Recurring lesson subscription/packages [confirmed]","Tutor-led, not family; organization products exist [confirmed/not found]","Expert escalation; post-session action list; learner-owned deletion of audio insights","Recording and analyzing recitation requires explicit consent, deletion and strict expert qualification","confirmed + not found","SRS; family; notification policy","2026-09-11","https://preply.com/en/how-it-works | https://help.preply.com/en/articles/6655082-preply-placement-tests-assess-your-language-skills-track-your-progress-and-achieve-your-goals | https://help.preply.com/en/articles/10385861-lesson-insights"
"Tandem","peer language exchange","https://tandem.net/","Application is reviewed before community access [confirmed]","No placement test [not found]","Partner matching uses language, location and interests; no curriculum [confirmed]","No SRS confirmed [not found]","Learner-directed conversation [confirmed]","Text, voice notes, audio/video calls with corrections and translation [confirmed]","Peer correction; no automated pronunciation evaluator confirmed [confirmed/not found]","Human messages naturally reactivate; formal streak not confirmed [inference/not found]","One-to-one community; tutors discontinued [confirmed]","Message notifications exist; educational reactivation model not found [confirmed/not found]","Free core with Pro features [confirmed]","No family/teacher dashboard [not found]","Moderated application; partner matching; in-context corrections","Open peer contact is high-risk for minors, privacy and unqualified religious guidance","confirmed + inference + not found","Curriculum; SRS; formal assessment; teacher/family","2026-09-11","https://tandem.net/ | https://tandem.net/en/pages/faq"
"HelloTalk","social language exchange","https://www.hellotalk.com/","Choose languages/goals and match with partners [confirmed]","No formal placement confirmed [not found]","AI partner matching by goals/interests/schedule/level is claimed [confirmed]","No SRS confirmed [not found]","Conversation/community-led rather than guided curriculum [confirmed]","Messages, voice rooms, live streams, Moments and corrections [confirmed]","Community corrections and voice practice; automated pronunciation scoring not established [confirmed/not found]","Social feed and live activity drive return [confirmed]","Voice rooms, live streams and community feed [confirmed]","Social messaging notifications likely; policy not reviewed [inference/not found]","Freemium; exact current packaging not captured [confirmed/not found]","Certified teacher/tutor offering claimed; no family dashboard [confirmed/not found]","Contextual human correction; interest matching; live practice","Feed dynamics, stranger contact, popularity metrics and unverifiable religious advice are unacceptable by default","confirmed + inference + not found","Placement; SRS; pricing detail; notification policy","2026-09-11","https://www.hellotalk.com/en/features | https://www.hellotalk.com/en/about"
"Clozemaster","contextual cloze practice","https://www.clozemaster.com/","Choose language pair and collection [confirmed]","Positioned for advanced beginners/intermediate; formal placement not found [confirmed/not found]","Fast Track and review forecast guide practice; model details not public [confirmed/not found]","Custom review intervals and review forecast [confirmed]","Thousands of contextual sentences in frequency/grammar collections [confirmed]","Text input and listening cloze increase productive recall [confirmed]","Listening input exists; pronunciation evaluation not found [confirmed/not found]","Points/progress and configurable rounds [confirmed]","No family/teacher system established [not found]","Notification policy not found [not found]","Free plus Pro subscription [confirmed]","No teacher/family dashboard confirmed [not found]","Cloze deletion for Quranic vocabulary in verified context; switch recognition to production","Machine-translated or unreviewed sentences must never be used as Quran or aqidah evidence","confirmed + not found","Placement; speech; notifications; teacher/family","2026-09-11","https://www.clozemaster.com/pro?source=signup | https://www.clozemaster.com/l/deu-eng/collections/fluency-fast-track-f3f781f5-b1a4-48e4-8c93-9c85355c9479"
"MosaLingua","SRS language learning","https://www.mosalingua.com/","Questions about level and needs feed a teacher-prepared plan [confirmed]","Level evaluation is offered in some packages [confirmed]","Personalized plan plus selection by needs and level [confirmed]","Core MOSALearning method uses spaced repetition at optimal times [confirmed]","Multi-stage listening, pronunciation, reading and writing [confirmed]","AI conversation plus action plans and original-language media [confirmed]","MosaChat-AI corrects mistakes; expert oral assessment in coaching products [confirmed]","Action plans and staged review; streak mechanics not found [confirmed/not found]","No league found; expert/community add-ons vary [not found]","Notification logic not found [not found]","Annual Premium, AI credit allowance, trials; some lifetime/masterclass offers [confirmed]","Teacher-created personal plan; no family dashboard confirmed [confirmed/not found]","Human-authored plan; bounded AI minutes; combine SRS with expert checkpoints","Credit scarcity must not interrupt required practice; imported media needs rights and source review","confirmed + not found","Notification/streak; family; detailed speech model","2026-09-11","https://academy.mosalingua.com/mosaweb/?lang=en&preferred=1 | https://academy.mosalingua.com/mosatraining-sales-page/?lang=en&preferred=1"
"Praktika","AI conversation tutor","https://praktika.ai/","Select goal, interests, pace and tutor persona [confirmed]","Formal placement test not found [not found]","Personal study plan adapts to goals, interests and pace [confirmed]","Review scheduling not documented [not found]","Conversation plus grammar, vocabulary, listening and reading exercises [confirmed]","Free conversation and real-world scenarios [confirmed]","Instant gentle corrections for pronunciation, grammar and word choice [confirmed]","Tutor relationship and personalized content drive return; streak not confirmed [inference/not found]","No public league confirmed [not found]","Notification strategy not found [not found]","Subscription marketed around approximately USD 8/month [confirmed]","No family/teacher dashboard confirmed [not found]","Selectable feedback strictness; gentle error framing; persistent context","Anthropomorphic AI must not impersonate an imam or claim religious authority","confirmed + inference + not found","Placement; SRS; notification; family/teacher; validation methodology","2026-09-11","https://praktika.ai/"
"Rocket Languages","structured audio language course","https://www.rocketlanguages.com/","Free trial exposes selected lessons before purchase [confirmed]","Benchmark tests available; initial placement use not fully described [confirmed/not found]","Smart review targets weak spots; exact algorithm not public [confirmed/not found]","Reinforcement activities and hard-phrase review [confirmed]","Interactive audio, language/culture, role-play and reinforcement [confirmed]","Practice both sides of dialogues; writing in script-based languages [confirmed]","Voice recognition, native examples and playback; implementation has explicit failure messaging [confirmed]","Points, badges, leaderboard and progress tools [confirmed]","Leaderboard can be hidden [confirmed]","Notification/reactivation policy not found [not found]","One-time lifetime course purchase; free trial and 60-day guarantee [confirmed]","No family/teacher dashboard confirmed [not found]","Listen-record-playback-retry; visible service failure; culture/context beside language","Leaderboard and binary scores should be opt-in; speech failure must never penalize learner","confirmed + not found","Notification model; family/teacher; review algorithm","2026-09-11","https://apps.apple.com/us/app/rocket-languages/id597293943 | https://www.rocketlanguages.com/pricing | https://www.rocketlanguages.com/blog/new-release-of-rocket-languages-on-desktop"
"Beelinguapp","parallel-text reading and listening","https://beelinguapp.com/","Choose language and content level/interest [confirmed]","No placement test found [not found]","Content spans levels; adaptive recommendation model not found [confirmed/not found]","Glossary flashcards; SRS not confirmed [confirmed/not found]","Read translation in parallel while listening; quiz after story [confirmed]","Comprehension quizzes and increasingly challenging authentic-style texts [confirmed]","Native narration; pronunciation evaluation not found [confirmed/not found]","Fresh stories/news encourage return; streak not confirmed [inference/not found]","No league/social learning confirmed [not found]","Daily-updated content supports reactivation; notification policy not found [confirmed/not found]","Free access with ads/paywalls; exact premium terms not captured [confirmed/not found]","Education/business offerings exist; details not reviewed [confirmed/not found]","Synchronized ayah audio/text/translation; story-level comprehension; adjustable scaffolding","Do not use copyrighted or unverified translations; parallel text cannot substitute tafsir","confirmed + inference + not found","Placement; SRS; notifications; family/teacher pricing","2026-09-11","https://beelinguapp.com/"
"Loora","AI conversation coach","https://www.loora.com/","One full lesson before payment; learner chooses lesson type [confirmed]","CEFR curation is claimed; formal diagnostic flow not clearly documented [confirmed/not found]","Adapts to skill/pace and provides reports; personalized plans for intermediate learners [confirmed]","Saved vocabulary/takeaways; SRS not confirmed [confirmed/not found]","Classic lesson, role-play, Read and Talk, then unlimited practice [confirmed]","Repeatable scenarios, article discussion and open conversation [confirmed]","Real-time pronunciation/grammar plus post-chat breakdown and mimic examples [confirmed]","Daily lesson, streaks and leagues are described [confirmed]","Leagues [confirmed]","Notification policy not found [not found]","One full free lesson, then monthly/3-month/yearly subscription; regional prices vary [confirmed]","Business and teacher affiliate programs; no family plan found [confirmed/not found]","Show full value before paywall; after-action summary; repeat same scenario with a new approach","AI feedback on recitation needs uncertainty and expert escalation; league should be optional","confirmed + not found","Formal placement; SRS; notification logic; family plan","2026-09-11","https://www.loora.com/ | https://www.loora.com/support/billing-and-subscription/pricing-plans | https://www.loora.com/use-cases/intermediate-english"
