product,product_status,segment,platforms_regions_languages,onboarding,diagnostic,learning_path,memorization_srs,speech_feedback_claim,speech_claim_honesty,reader_audio,ai,teacher_human_review,gamification,voice_privacy,free_paid_limits,strengths,weaknesses,switch_trigger_to_muslingo,evidence_status,evidence_date,official_urls
Naml,active 2026 product,parent-led child hifz,web/PWA experience; 11 languages; family and school audience; 38 surahs in phase 1,"parent enters child name, age and memorization position; trial without account","light intake, not a reading/tajwid diagnostic","listen, shadow, recite solo, parent-confirmed mastery",three mastery levels with mandatory 3-day and 7-day cooldowns,AI oral review explicitly listed as future work,very honest current-versus-future distinction; parent remains examiner,three reciters; translations; voice-led practice,future AI only,parent-led exams; school offer,"jigsaw garden, stars and certificates",child profiles under parent account; voice AI not current; detailed retention policy available separately,all 38 current surahs free; Family EUR 6.99/month or EUR 69.90/year for up to 3 children,best child/family product design and honest feature boundary,limited Quran coverage today; parent quality varies; no automated pronunciation,Muslingo can offer age-banded diagnostic and broader curriculum while adopting parent approval and calm rewards,confirmed pricing/workflow/future roadmap; inference on parent-assessment limits,2026-09-11,https://naml-app.com/en | https://naml-app.com/en/pricing | https://naml-app.com/en/legal/privacy
Hifz AI (hifzai.app),active 2026,on-device AI hifz tester,iOS; Android; Arabic/English site; 7 scripts claimed,select Quran content and practice,not found,Listen-Pause-Repeat; custom loops; tester,structured repetition; formal SRS not found,on-device AI highlights skipped words and pronunciation/tajwid errors,"vendor claim only; no public benchmark, rubric or teacher boundary found on reviewed pages",114 surahs; 7 scripts; offline audio,on-device speech model described as Whisper AI,not found,not found,voice claimed to stay on device,free download with trial inferences; exact quota/prices not found,"offline positioning, script choice and focused hifz loop",strong tajwid/pronunciation claims without public validation details,Muslingo can be more credible by splitting text match from probable phoneme/tajwid signals and publishing test coverage,confirmed vendor claims; not found independent validation/pricing; inference on credibility gap,2026-09-11,https://hifzai.app/about | https://hifzai.app/quran-memorization-app | https://hifzai.app/privacy-policy
HifzAI by NxGenZ,active 2026,cloud AI Quran recitation and SRS,iOS; Android; English public site; iOS 15+/Android 10+,open any surah; record; receive word scores,no general skill diagnostic found,"recitation, quiz, analytics and review queue",SM-2 per ayah with self-rating after analysis,Whisper-based transcription; green/orange/red/grey word scores; claims close-pronunciation and tajwid support,vendor claim only; wording that Whisper handles full diacritics/tajwid lacks a public benchmark or qualified review study,full Quran; 3 reciters; repeat 3-25x; page loops,OpenAI Whisper named; model tuning details not independently evidenced,"testimonials mention teachers, but no built-in qualified review confirmed",streaks; weekly charts; quiz mode,"privacy page linked; exact audio retention, processor geography and training consent need diligence",free 5 min/day; Basic USD 6/month; Standard USD 12/month; Pro USD 19/month; yearly offers published,"clear per-ayah SRS, replay and transparent time quotas",high-confidence pronunciation/tajwid marketing without evidence; expensive at higher usage,"Muslingo can offer educationally honest scoring, stronger source governance and human escalation without pretending transcription equals tajwid",confirmed first-party feature/pricing claims; not found validation; inference on risk and switch trigger,2026-09-11,https://hifzai.org/ | https://hifzai.org/privacy
Huffaz,active site observed; store/availability detail partly inaccessible,AI hifz and tajwid practice,mobile claimed; detailed regions/languages not found,not found,not found,memorization tools and practice,retention method not found,real-time pronunciation and tajwid feedback claimed,vendor claim only; no public evaluation protocol found,Quran memorization tools and audio claimed,AI-powered recitation claimed,not found,engagement/reward language claimed; mechanics not found,privacy page not located during review,price not found,focused memorization proposition,official site fetch instability and insufficient public evidence,"Muslingo can win on evidence transparency, stable cross-platform access and inspectable privacy controls",confirmed headline claims only; many not found fields; inference on switch trigger,2026-09-11,https://www.huffaz.id/
Hifz Focus,active 2026,teacher-guided hifz/tajwid for students and institutes,web/mobile-style platform; India-based institute; language coverage not found,institution or teacher onboarding,teacher-led assessment,teacher assigns Sabak; student dashboard and review queues,personalized spaced-repetition revision,students submit recordings for asynchronous teacher feedback,"human review, not automated tajwid certification",interactive digital Mushaf; audio submissions,scheduling intelligence claimed; no generative AI central,qualified teacher marks word-level hifz and detailed tajwid errors; admin/teacher/student roles,progress dashboards; rewards not central,"recordings are submitted to teachers; retention, encryption and child consent policy not found publicly",Get Started Free; institutional pricing not found,strongest human-in-the-loop correction and role design,requires teacher/institution supply; thin public privacy/pricing/accessibility details,Muslingo can use this as escalation layer or partnership benchmark after automated practice identifies uncertainty,confirmed teacher workflow; not found privacy/pricing; inference on partnership fit,2026-09-11,https://hifz.iqs.org.in/ | https://iqs.org.in/
Itqan Ayah,active; App Store updated 2026,gamified hifz quizzes and planner,iPhone only on reviewed listing; English listing; global store availability varies,first quiz free without signup; choose start/continue/revision-only goal,no reading/pronunciation placement found,"guided ayah memorization, daily tasks, planner and Hifz map",smart spaced repetition stated; implementation not public,no live pronunciation assessment confirmed,quiz accuracy is not recitation quality; no speech model claim reviewed,ayah audio repeated up to 20 times; notes per ayah/page,planner and quiz optimization claimed; no model detail,not found,6 quiz types; coins; points; badges; streaks; freeze; global leaderboards,voice not central; privacy policy hosted externally; child suitability claimed but safeguarding details not found,"free first quiz/no signup; 3-day Premium trial; key quizzes, retries, planner, SRS and analytics Premium",rich active-recall variety and strong motivational system,iPhone-only evidence; time pressure and public competition may conflict with calm religious learning; no recitation correction,Muslingo can use varied transfer tasks and weakness tracking while avoiding coins-first design and public piety competition,confirmed store features; not found algorithm validity/safeguarding; inference on UX tradeoffs,2026-09-11,https://apps.apple.com/sa/app/itqan-ayah-quran-memorization/id6468956692
Jawhar,active; Google Play updated 2026,memorization with understanding,Android confirmed; platform languages/regions not found,optional sign-in; choose pace and schedule,not found,daily new/recent/long-term plan plus tafsir and context,explicit spaced repetition and flashcards,not found,not applicable,Mushaf; 40+ reciters; Hafs and Warsh; background audio; tafsir; asbab al-nuzul,AI plans referenced in release note; method not public,not found,progress analytics; no major public leaderboard claim,optional sync; no ads; deletion any time; Play says personal/activity data may be collected and encrypted in transit,free and ad-free,"rare integration of hifz, meaning, Warsh and structured review","no speech feedback, diagnostic or published learning validation","Muslingo must exceed this with pronunciation repair and source-visible interactive lessons, not merely match the daily plan",confirmed Play features/privacy declaration; not found AI method; inference on competitive overlap,2026-09-11,https://play.google.com/store/apps/details?id=com.alphafoundr.jawhar | https://jawhar.alphafoundr.com/privacy
Tathbeet,active; Hafs and Warsh Android editions updated 2026,FSRS Quran memorization tracker,Android; Arabic/English description; separate Hafs/Warsh variants,Google sign-in; select memorization stage and scope,"self-rated recall, no reading skill diagnostic",six-stage Kanban memorization cycle and daily review dashboard,FSRS; groups of 2-4 ayat; Again/Hard/Good/Easy states,not found,"self-rating, not pronunciation verification",full Quran; reciters; tafsir; bookmarks; downloadable offline audio,scheduler only; no speech AI found,not found,points; reminders; badges,voice not used; Play safety declaration should be checked per variant; detailed policy not reviewed,free install; purchase boundary not found,explicit FSRS implementation and visual workflow; supports Warsh,manual self-rating can overestimate mastery; no speech or teacher review,Muslingo can add objective retrieval/recitation evidence to a similarly transparent review queue,confirmed store description; not found pricing/privacy depth; inference on self-rating weakness,2026-09-11,https://play.google.com/store/apps/details?id=linahfad.quran.app | https://play.google.com/store/apps/details?id=linahfad.warshquran.app
Hifz Jatra,active; Google Play updated 2026,Bengali-first Quran memorization ecosystem,Android; Bengali-first; 30+ languages claimed; 100+ downloads shown,age/time/pace setup claimed,adaptive plan claimed; diagnostic method not public,"Micro Hifz, guided mode, Quran map, plan and tests",SM-2 review plus Sabaq/Sabqi/Manzil-style tracking,voice warm-up named; reliable speech checking not confirmed,no public speech accuracy or teacher rubric found,"Quran audio, word meanings, stories and tajwid lessons",adaptive scheduling claimed,verified-teacher supervision/community claimed; operational detail not found,streak; badges; challenges; community,Google Play says no data collected/shared and encrypted in transit; teacher/community child safeguards not detailed,100% free and ad-free claimed,very broad localized package and female-cycle-sensitive streak protection,feature breadth exceeds public proof; tiny install base; unclear moderation and teacher operations,Muslingo can localize equally deeply for Russian/Kazakh while proving each production feature and keeping learning focused,confirmed Play listing claims; not found implementation/validation detail; inference on execution risk,2026-09-11,https://play.google.com/store/apps/details?id=com.ummahfirstlabs.hifzjatra | https://hifzjatra.top
Memorize Quran - Hifz App,active; Google Play updated 2026,offline flashcard hifz,Android; region/language inventory not found,select memorize or read mode,self-rating only,audio; recall; reveal ayah; rate result,simplified spaced repetition with Again/Hard/Good/Easy,not found,not applicable,reader; downloaded reciters/translations; offline,scheduler only,not found,weekly streak and goal tracker,local backup/offline emphasized; Play detailed data safety not captured in reviewed excerpt,completely free; no hidden paywall claimed,simple offline active-recall loop,"self-rating only; no meaning curriculum, speech verification or teacher input",Muslingo can provide the same low-friction offline review with evidence-based scoring and richer instruction,confirmed store claims; privacy details not found; inference on limitations,2026-09-11,https://play.google.com/store/apps/details?id=com.memorizequran.app
HifzEase,active; Google Play listing current in 2026,FSRS hifz practice,Android; languages/regions not found,choose Quran page and start,self-rated recall; no skill placement,"memorize, log, revise",FSRS; page-level reviews; Again/Hard/Good/Easy,not found,not applicable,604-page Mushaf; ayah audio; Blind Mode,scheduler only,not found,not found,voice not used; public privacy details not captured,price/purchases not found,clear active-recall and FSRS explanation,"page granularity can hide word/ayah weakness; no speech, teacher or meaning path",Muslingo can outperform with item-level mastery and generated repair tasks after errors,confirmed store mechanics; not found privacy/pricing; inference on granularity,2026-09-11,https://play.google.com/store/apps/details?id=com.zuapps.hifz_ease
Ayatika,active; first release 2026,adaptive hifz quizzes,Android; French and Arabic; France developer,start level/pace and choose content,claims adaptation to level; method not published,daily guided review and tests,spaced repetition by surah/verse,"AI listens, analyzes and validates recitation in real time; marketing says improve tajwid without teacher","high-risk vendor claim; no public benchmark, error taxonomy or teacher comparison found",reciter audio; offline mode claimed,voice recognition and adaptive testing,not found,levels; badges; streak; leaderboard,Play says no sharing; may collect personal/app activity/other data; encrypted in transit; deletion available,free start; in-app purchases; exact prices not found,good variety of recall tests and French/Arabic localization,unvalidated teacher-replacement wording; very new; limited public policy detail,"Muslingo can differentiate through calibrated uncertainty, teacher escalation and no false tajwid certification",confirmed store claim; not found validation; inference on trust advantage,2026-09-11,https://play.google.com/store/apps/details?id=fr.ayatika.app | https://ayatika.fr
Al-Hafiz,active; Google Play updated 2026,Islamic reader plus hifz SRS,Android; global listing; languages not found,direct use without stated account,no diagnostic,"read/listen, add memorized entries and review",SM-2 spaced repetition,not found,not applicable,full Quran; per-ayah audio; offline reading; prayer features,scheduler only,not found,statistics and progress,claims no ads/tracking/subscriptions and local location processing; Play says no data collected/shared,100% free,privacy-first and free offline utility,"hifz is one feature inside super-app; no speech, curriculum or teacher feedback",Muslingo can turn passive utility into a focused adaptive learning loop while keeping core Quran access free,confirmed store claims; not found pedagogy depth; inference on focus advantage,2026-09-11,https://play.google.com/store/apps/details?id=com.alhafiz.quran.athan
Monthly Quran,active; Google Play updated 2026,scheduled hifz retention,Android; Arabic and English; offline-first,choose page/ayah/section/juz method,no diagnostic; schedule setup only,daily memorization plus seven review stations over 55 days,fixed 0/1/4/11/25/55-day schedule,not found,not applicable,daily Quran view when online; audio not central,fixed scheduler; no AI,not found,not found,all data stored locally; no server; export/import backup; Play says no data collected/shared,free install; purchase boundary not found,extremely transparent schedule and privacy,fixed intervals are not response-adaptive; no objective assessment,Muslingo can offer a similarly understandable plan that adapts using observed recall and error recurrence,confirmed official store description; inference on fixed-schedule limit,2026-09-11,https://play.google.com/store/apps/details?id=com.monthlyquran.app
QuranPal,active; Google Play first release 2026,"multi-path Quran, prayer and Arabic learning",Android; English listing; global; additional languages not confirmed,"asks preferred Visual, Recite or Listen learning style",preference survey rather than validated skill diagnostic,"paths for Al-Fatiha, Juz Amma, daily duas, Arabic basics and tajwid",spaced repetition claimed for every verse,recite mode described; actual recognition/scoring not clearly confirmed,"no technical speech claim found; scholar boundary says AI schedules memory, not rulings/tafsir",verified reciter audio; meaning and connected paths,memory scheduler only per public copy,parent features and scholar verification claimed; identities/workflow not found,"Barakah framing, buddy system, squads and leagues claimed",privacy/terms URL linked; exact voice collection and child/community controls need diligence,free install with in-app purchases; exact prices not found,strong holistic proposition and calm anti-guilt positioning,"many future-scale claims in a low-download new app; no public curriculum, speech or reviewer evidence",Muslingo needs to prove the same integrated promise through a real diagnostic result and visible source/reviewer metadata,confirmed listing claims; not found operational proof; inference on execution gap,2026-09-11,https://play.google.com/store/apps/details?id=com.synergisgt.quranpal | https://quranpal.app/terms-and-conditions
Hafiz Okulu,active; Google Play updated 2026,Turkish cyclical hifz school,Android; Turkish market,choose 30-juz cyclical method and page,no broad diagnostic,juz-centered cyclical memorization; line practice; daily wird,SM-2 page review,audio memorization test and word analysis claimed,vendor claim only; no validation or voice privacy detail found,604-page Mushaf; tajwid colors; audio,word analysis and scheduler claimed,not found,badges; error map,not found,free install; paid limits not found,localized traditional Turkish method and similar-verse alerts,"no evidence for speech accuracy, privacy, teacher review or languages beyond Turkish","Muslingo can attract regional learners with multilingual support, transparent voice handling and flexible path selection",confirmed store claims; not found validation/privacy; inference on regional positioning,2026-09-11,https://play.google.com/store/apps/details?id=com.hafizolrn
Hifz Musaa'id,active; official site and stores updated 2026,serious audio repetition and hifz coach,iOS; Android; Houston-based; public language list incomplete,no signup required; optional Apple/Google sync; seven-question Coach intake on iOS,"name, age, level, current position, goal, order and pace; self-reported","Jadeed, Muraja'ah, weekly plan and custom repetition patterns",weekly coach/makeup queue; exact memory algorithm not found,no automatic voice correction; iOS Tasmi Tracker logs scores but app says it never records audio,very honest tool-not-teacher boundary,multiple reciters; 0.5x-3x; unlimited repeats; phrase breakdown; offline cache,planning/coach logic; no generative AI,invited teacher can receive session metadata; teacher remains central,explicitly rejects shame streaks/leaderboards; goal streaks and certifications still present,practice data local by default; signed-in sync documented; Tasmi metadata private to learner/invited teacher; no recorded audio,"all features free through 2026-12-31; from 2027 Basic free, Lite USD 1.99/month, Pro USD 2.99/month","excellent repetition controls, transparent future pricing, low-pressure design",no objective recitation checking; source/translation governance not prominent,Muslingo can add assessment and understanding while preserving the respectful low-pressure practice philosophy,confirmed official product/pricing/privacy; not found scheduler method; inference on complementarity,2026-09-11,https://www.hifzmusaaid.com/ | https://hifzmusaaid.com/privacy | https://play.google.com/store/apps/details?id=com.kagalwalas.hifzcompanion | https://apps.apple.com/us/app/hifz-musaaid-memorize-quran/id6767211882
iman.app,active; official site updated May 2026,gentle one-ayah-a-day memorization,"iOS; Android; 13 languages including Arabic, Malay, Indonesian, Urdu, Turkish, Persian, Bengali, Thai, Chinese, Tamil, Japanese and Korean",goal-based onboarding; start free,no skill placement found,one ayah daily; read then recall; five memorization cycles,repetition cycles and streak; formal SRS not found,Record & Compare listed as coming soon,speech evaluation not current,all 114 surahs; translations; reciters; playback controls,not found,not found,"streaks and freezes, framed without guilt",privacy policy linked; current voice collection not applicable; future recording policy needs review when shipped,"all Quran and 5 cycles free; premium adds reciters, speeds, repeat, auto-advance, reminders, analytics; Family up to 6; numeric price not visible in reviewed table","excellent emotional positioning, localization and simple habit","no diagnostic, current speech, teacher review or verified spaced schedule",Muslingo can keep the calm tone but immediately show a personalized diagnosis and repair plan rather than a uniform one-ayah cadence,confirmed official features/status; not found price/SRS; inference on transition value,2026-09-11,https://iman.app/ | https://iman.app/pricing | https://apps.apple.com/us/app/iman-app-memorize-quran/id6736880861
Gardens of the Quran,active; Google Play updated 2026-09-05; 10K+ downloads shown,privacy-first full hifz and recitation system,"Android; English/French/Arabic/Bengali; Hafs, Shu'bah, Warsh, Qalun and al-Duri",choose one of four Mushaf layouts; no account/email,no broad reading placement found,"guided hifz, closed-page Tasmi, repair training and review","FSRS for page, page-transition and ayah-group cards; load balancing; error heatmap","on-device system speech recognition colors correct, mispronounced, skipped and hesitant words; claims four tajwid rules","vendor claim only; store says system speech engine judges connected recitation, but no public benchmark/rubric found",four Mushaf layouts; 12 recitations; offline downloads; word roots/translation/tafsir,on-device matching and adaptive review,parent monitor mode; no qualified teacher review,"blooming streaks, trees per juz and milestones",no account; encrypted device linking; voice never uploaded claimed; no ads/tracking; Play says no data collected/shared,free,"strongest new combination of SRS, multiple riwayat, local privacy and frictionless sync",high speech/tajwid claims without validation; Android-only evidence; source/licensing details require diligence,"Muslingo must beat it through trusted diagnostic pedagogy, visible sources, teacher review and Russian/Kazakh depth, not by feature count",confirmed store claims; not found independent validation/licensing details; inference on threat level,2026-09-11,https://play.google.com/store/apps/details?id=com.kalimalabs.riyadhquran
HifzPath,active; Google Play updated 2026-09-04; 10K+ downloads shown,voice-matched Quran memorization,Android; Arabic/English/Urdu; Madinah and IndoPak scripts,"select follow, hidden, Mushaf or single-ayah mode",no skill diagnostic,"recite, reveal words, track memorized ayat, quiz weak spots",no SRS scheduler confirmed in current listing,deterministic word matching; correct words turn green; app explicitly says no AI guessing,"clearer than tajwid claims, but marketing still implies a wrong pronunciation simply will not match; no public false-positive/negative data",604-page Quran; reciter audio; offline downloads,"speech matching, explicitly not framed as AI interpretation",not found,points per letter; 6 tiers; streak protection; global leaderboards; time/accuracy bonuses,no third-party sharing claimed; account deletion; Play says collection includes personal/app activity/other data and transit encryption,free with in-app purchases; exact premium boundary not found,simple live feedback and clear text-match framing,"leaderboard can reward quantity; no SRS, meaning, teacher review or public speech benchmark","Muslingo can combine similarly understandable feedback with spaced repair, meaning and private mastery instead of public volume competition",confirmed store claims; not found accuracy/pricing; inference on behavioral risk,2026-09-11,https://play.google.com/store/apps/details?id=com.hifzpath.app | https://hifzpath.app/privacy.html | https://hifzpath.app/terms.html
Hifz Tracker,active; Google Play updated 2026,student/parent/teacher progress tracker,Android; global listing; Play Families commitment,account/mode setup,no learning diagnostic,"log new, revision and retention work; calendar, calculator and reports",manual planning; no algorithmic SRS confirmed,not found,not applicable,no full reader/audio scope found,analytics only,student and teacher modes,milestones and calendar,"Play says personal info/device IDs may be collected, data is not encrypted, deletion available; no voice",free install; paid limits not found,clear administration for independent and classroom hifz,reported unencrypted data and no learning/recitation engine; teacher workflow depth unclear,Muslingo can replace manual tracking with integrity-protected automatic evidence and secure role-based dashboards,confirmed Play listing and data-safety declaration; inference on security/learning gap,2026-09-11,https://play.google.com/store/apps/details?id=com.hifztracker.app | https://hifztracker.com
