"product","publisher","segment","platforms","reader_audio_search","academy_learning","widgets_lock_screen","notifications_streak","personalization","trust_sources","monetization","data_privacy","ecosystem_lock_in","breadth_focus","evidence_status","verified_date","primary_url","secondary_url","notes"
"Al Quran (Tafsir & by Word)","Greentech Apps Foundation","Quran study reader","iOS; Android; macOS","confirmed: 170+ translations/tafsirs, word roots and morphology, search, 80+ reciters, repeat, tajwid, notes and offline","inference: rich study tools, but no sequential Academy found","confirmed: daily ayah home-screen widget","confirmed: daily goals, weekly activity, streak badges and reminder notifications","confirmed: reading plans, custom khatmah, collections, pins, notes and sync","confirmed: named tafsirs/translations and foundation publisher; per-resource rights/review metadata not fully found","confirmed: free and ad-free; optional IAP/donation-like support present","confirmed: Apple privacy disclosure exists; exact first-party retention and processor map not fully reviewed","medium-high: deep study library, cross-device sync and import/export","deepest free study reader in sample; little evidence of adaptive assessment","confirmed","2026-09-11","https://apps.apple.com/us/app/al-quran-tafsir-by-word/id1437038111","https://gtaf.org/apps/quran/","Strong benchmark for source breadth, search and Quranic Arabic inspection."
"iQuran","Beehive Innovations Services","Premium Quran reader","iOS","confirmed: tajwid, verse/word translation, recitation, bookmarks, notes, tags and advanced search","not found","not found","not found","confirmed: reading/audio sessions, tags, notes and translation preferences","not found: detailed editorial governance on listing","confirmed: no ads or subscription; optional one-off Pro upgrade","confirmed: App Store privacy disclosure exists; first-party policy detail not found in reviewed result","medium: one-time upgrade and long-lived personal library","focused mature reader with low monetization pressure; no guided learning path","confirmed","2026-09-11","https://apps.apple.com/us/app/iquran-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id285944183","https://apps.apple.com/us/developer/beehive-innovations-services/id285944186","Availability and features reflect US App Store snapshot."
"Quran Explorer","Noble Education Foundation Inc.","Quran reader","iOS; iPadOS; Apple Watch","confirmed: scripts, scholar-proofread translation, audio, highlighting, bookmarks and navigation","not found","confirmed: Apple Watch; home/lock widget not found","not found","confirmed: fonts, reciters, bookmarks and reading position; adaptive plan not found","confirmed: Arabic and translation described as proofread by a Muslim scholar; reviewer identity/process not found","confirmed: free with optional premium, both ad-free; exact price not found","confirmed: App Store disclosure exists; detailed policy not reviewed","medium: premium reader and bookmarks","focused, established reader with limited learning/retention mechanics","confirmed","2026-09-11","https://apps.apple.com/us/app/quran-explorer/id451133186","https://www.quranexplorer.com/","Publisher claims scholarly proofreading."
"Ayat: Al Quran","King Saud University ETC","Institutional Quran reader","iOS; Android; web","confirmed: scanned Mushaf, tajwid/Warsh variants, 20+ translations, audio translation and synchronized highlighting","not found","not found","not found","confirmed: reciter/translation modes; adaptive path not found","confirmed: university project provenance; detailed current review workflow not found","confirmed: free","not found: current detailed privacy handling beyond store link","low-medium: institutional trust and familiar Mushaf presentation","focused reference reader; official listing shows limited recent product depth","confirmed","2026-09-11","https://apps.apple.com/us/app/ayat-al-quran-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id634325420","https://quran.ksu.edu.sa/","App Store reviews mention current audio/UI issues, but reviews were not used as confirmed product facts."
"Islam360","Zahid Hussain","Quran and Hadith knowledge superapp","iOS; Android; macOS","confirmed: Quran/Hadith search, multiple translations/tafsirs, word-by-word and audio tafsir","inference: knowledge exploration is extensive; sequential Academy not found","not found","not found","confirmed: language and source selection; adaptive plan not found","confirmed: names many translators, tafsirs and hadith collections; formal review governance not found","confirmed: free; ads/IAP status not consistently found across official listings","not found: iOS Mac listing says privacy details not provided; separate mobile disclosure not fully verified","high for Urdu-language users due combined searchable Quran/Hadith corpus","very broad reference/search product, not a coached learning journey","confirmed with privacy limitation","2026-09-11","https://apps.apple.com/us/app/islam-360/id1498989420","https://theislam360.com/","Privacy evidence is incomplete and should not be treated as zero collection."
"Quran Pro","Quanticapps Ltd","Quran audio ecosystem","iOS; iPadOS; macOS; Apple Watch; Apple TV; CarPlay","confirmed: many reciters, playlists, offline audio, translation, tafsir, bookmarks and fullscreen reader","not found","confirmed: interactive widgets; lock-screen status not found","confirmed: verse-of-day reminders; streak not found","confirmed: playlists, reciters, bookmarks and cross-device subscription","not found: named editorial/review governance","confirmed: free features plus premium audio/offline subscription; exact current price not captured","confirmed: App Store developer disclosure exists; detailed first-party policy not reviewed","high for audio listeners via playlists and broad Apple-device coverage","audio-first depth and device reach; weak evidence for learning assessment","confirmed","2026-09-11","https://apps.apple.com/us/app/quran-pro-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id537070378","","Store copy contains conflicting free/unlimited and premium wording; packaging should be rechecked in-app."
"Everyday Muslim","Everyday Muslim","Islamic superapp and social accountability","iOS; Android","confirmed: page/word reader, offline audio, repeat, tafsir, word pronunciation and downloads","not found: formal Academy; trivia present","confirmed: lock-screen widgets","confirmed: prayer/dhikr/fasting/Quran stats and tracking","confirmed: account dashboard, memorization stats and Khair Partners groups","not found: named source governance in reviewed listing","confirmed: free with IAP; exact price not found","confirmed: App Store disclosure exists; detailed policy not reviewed","high: partner/group stats, account dashboard and many worship trackers","broadest social-accountability pattern in sample; raises privacy/design sensitivity","confirmed","2026-09-11","https://apps.apple.com/us/app/everyday-muslim-islamic-app/id1546578729","https://everydaymuslim.app/","Private-group model is strategically relevant but should not expose sensitive worship data by default."
"Muslim Pillars","Fatih Sari","Prayer and Quran companion","iOS; Apple Watch","confirmed: Quran reading mode and reading streak protection; reader depth not fully found","not found","confirmed: home/lock-screen widgets and Apple Watch","confirmed: prayer tracking and Quran streak protection","confirmed: prayer/fast tracking and Quran habit utilities","not found","confirmed: free with possible IAP status not found","not found: detailed policy not captured","medium: Apple ecosystem convenience and habit tracking","focused prayer/Quran utility with modern system-surface execution","confirmed with gaps","2026-09-11","https://apps.apple.com/us/app/muslim-pillars-salah-quran/id1529761608","","Evidence limited to official storefront metadata and release notes."
"Al-Islam: Islamic Pillars","Abubakr Elmallah","Apple-native Islamic superapp","iOS; iPadOS; macOS; Apple Watch","confirmed: Quran planner, tafsir, search, Siri, offline ayah audio and multiple reciters","not found: structured Academy; learning guides and dua collections present","confirmed: extensive home/lock-screen widgets and watch complications","confirmed: prayer notifications; Quran planner; streak not found","confirmed: finish-date planner, regional methods, display and Siri personalization","confirmed: dua source labels and Quran content claims present; formal board not found","confirmed: free, no ads or subscription in reviewed listing","confirmed: App Store privacy disclosure; listing claims no fees/ads, granular policy not reviewed","medium-high inside Apple ecosystem due watch, Siri, widgets and system integration","wide feature set executed as an Apple-native utility; no diagnostic pedagogy","confirmed","2026-09-11","https://apps.apple.com/us/app/al-islam-islamic-pillars/id6449729655","","Strong benchmark for widgets, Siri and native performance."
"Muslims Day","Halalz","Islamic superapp","iOS; Android","confirmed: Tajweed Quran, audio, offline downloads, translations, tafsir, bookmarks and resume","not found","confirmed: home prayer widget","confirmed: athan, istighfar/durood reminders, salah and amal tracking","confirmed: prayer, Quran and amal progress; adaptive learning not found","not found: detailed source/review governance","confirmed: free with IAP; exact price not found","confirmed: App Store disclosure exists; detailed policy not reviewed","medium-high: 6.7M+ publisher claim plus worship tracking ecosystem","broad daily routine app; no evidence of personalized Quran mastery","confirmed","2026-09-11","https://apps.apple.com/us/app/muslims-day-quran-prayer-times/id1613431376","","User count is publisher-provided."
"Tawhid","Tawhid app publisher","Islamic habit superapp","iOS","confirmed: Quran, tafsir and khatam planner","not found","confirmed: widgets and multiple styles","confirmed: prayer/fasting/tasbih tracking, streaks and yearly heatmap","confirmed: cycle-aware tracking, khatam plan and worship insights","not found: detailed source governance","confirmed: free with IAP; exact price not found","confirmed: App Store disclosure exists; detailed first-party policy not reviewed","medium-high: analytics across several worship habits","broad tracker-led app; stronger habit analytics than instruction","confirmed","2026-09-11","https://apps.apple.com/us/app/tawhid-quran-prayer-times/id1668618911","","Current storefront is the primary source."
"HUDA","Huda App publisher","Privacy-oriented Islamic utility","iOS","confirmed: Quran reading; depth/audio/search details limited","not found","confirmed: home and lock-screen prayer widgets","confirmed: prayer notifications","confirmed: calculation choices and local mosque discovery; learning personalization not found","not found","confirmed: free with IAP; exact price not found","confirmed: App Store disclosure exists; detailed policy not reviewed","low-medium: daily prayer utility and nearby mosque use","simple utility positioned as cleaner alternative to larger superapps","confirmed with gaps","2026-09-11","https://apps.apple.com/us/app/huda-prayer-times-al-quran/id1483923871","","Do not infer privacy beyond storefront disclosure."
"Ameen","Ameen app publisher","Free Islamic superapp","iOS; iPadOS; Apple TV","confirmed: Quran recitation player and daily worship tools","not found","confirmed: home widgets","confirmed: prayer reminders; streak not found","confirmed: reciter and widget choices; adaptive learning not found","not found","confirmed: free and no ads","confirmed: App Store disclosure exists; detailed policy not reviewed","medium: free multi-device audio and worship utility","broad utility with limited evidence of structured learning","confirmed with gaps","2026-09-11","https://apps.apple.com/us/app/ameen-quran-athan-prayer/id6742055838","","Newer product with limited evidence depth."
"Deen - Quran, Hadith, Duas","Deen Inc","Privacy-first knowledge superapp","iOS","confirmed: Quran audio, 23 languages, search, auto-scroll, notes, offline and topic exploration","not found: sequential Academy","confirmed: prayer and last-read verse widgets","confirmed: custom prayer reminders; streak not found","confirmed: optional encrypted backup, topic discovery, notes, collections and reading position","confirmed: names Sahih collections and translations; formal review board not found","confirmed: free and ad-free with no upsells","confirmed: personal data local by default; optional account backup with limited data","medium-high: private synced notes/bookmarks and topic collections","strong trust/privacy/content combination; lacks adaptive assessment and speech","confirmed","2026-09-11","https://apps.apple.com/us/app/deen-quran-hadith-duas/id1616229199","https://www.deen.app/","Relevant benchmark for account-optional sync and calm reading."
"Deen Islamic","Maverick Enterprise Limited","Islamic superapp","iOS","confirmed: Quran recitation and tafsir","not found","not found","confirmed: adhan alerts","confirmed: daily deeds and worship utilities; adaptive learning not found","not found","confirmed: free with IAP","confirmed: App Store disclosure exists; detailed policy not reviewed","medium: prayer, Quran, dua, zakat and self-purification tools","broad utility with shallow public evidence","confirmed with gaps","2026-09-11","https://apps.apple.com/us/app/deen-quran-hadith-prayer-time/id6504724978","","Not the same product as Deen Inc."
"Deen.in","Deen.in publisher","Offline privacy-first Islamic superapp","iOS","confirmed: 604-page Mushaf, 490+ translations claim, word-by-word, 25+ reciters, repeat and Hifz progress","confirmed: Learn Islam guides; formal Academy not found","not found","confirmed: prayer notifications, salah streaks, fasting tracking","confirmed: reading plans, heatmaps, streaks, cycle pause and local preferences","confirmed: Hisnul Muslim and collection naming; formal review board not found","confirmed: free with no ads in listing","confirmed: no account, no analytics, local storage and on-device location claimed","low-medium: intentionally avoids account lock-in; local data can reduce portability","very broad offline utility with privacy differentiation; claims need independent source audit","confirmed as publisher claims","2026-09-11","https://apps.apple.com/us/app/deen-in/id6762373869","","New product; large content counts are publisher claims."
"Quran+ by Islam.org","IslamiCity","AI-search Quran study platform","iOS; iPadOS","confirmed: semantic/phonetic search, audio, word sync, tafsir, roots, notes, tags and playlists","inference: study and research tools; sequential Academy not found","not found","not found","confirmed: optional cloud sync, bookmarks, Khatm circles and progress","confirmed: IslamiCity legacy and named context/tafsir claim; AI answer governance detail not found","confirmed: free; in-app donation","confirmed: listing claims no ads/tracking; optional cloud account introduced","medium: cloud sync and circles; core features work without login","focused study/search entrant with interesting AI discovery but limited validation evidence","confirmed as publisher claims","2026-09-11","https://apps.apple.com/us/app/quran-by-islam-org/id1621850736","https://www.islamicity.org/","AI search should be evaluated for citation fidelity before comparison claims."
"Quran Widgets: Verses & Duas","Cloud Studios Teknoloji","Widget-led Islamic superapp","iOS; iPadOS; Apple Watch","confirmed: Quran plus theme/category browsing; reader depth not fully found","not found","confirmed: home and lock-screen verse/dua/quote widgets","confirmed: unlimited reminders/notifications in Premium","confirmed: category and design choices; adaptive learning not found","not found: detailed source provenance in reviewed listing","confirmed: free with Premium subscription; exact price not captured","confirmed: App Store disclosure exists; detailed policy not reviewed","high visual lock-in through customized widgets and premium themes","broad lifestyle surface optimized for frequent glance exposure, not mastery","confirmed","2026-09-11","https://apps.apple.com/us/app/quran-widgets-verses-duas/id6758387571","","Strong benchmark for lock-screen acquisition and daily visibility."
"Muslim Daily","Muslim Daily publisher","Widget-led Islamic utility","iOS","confirmed: full Quran and audio; audio is Premium","not found","confirmed: five home and two lock-screen widgets in Premium","confirmed: prayer, daily verse and Ramadan notifications","confirmed: custom dhikr goals and notification controls; adaptive learning not found","not found","confirmed: free with IAP and premium-gated audio/widgets","confirmed: App Store disclosure exists; detailed policy not reviewed","medium-high: premium widgets and daily reminder routine","compact superapp centered on glanceable system surfaces","confirmed","2026-09-11","https://apps.apple.com/us/app/muslim-daily-quran-prayer/id6759206519","","Exact subscription price not captured."
"Muslim App (formerly Muslim Assistant)","Assistant App Teknoloji","Islamic superapp","iOS; Android; Apple Watch","confirmed: Quran and daily azkar; detailed reader/search evidence not fully captured","not found","confirmed: Apple Watch; widget detail not found","confirmed: prayer reminders","confirmed: prayer method and Qibla/location settings; adaptive learning not found","not found","confirmed: free with IAP; exact price not found","confirmed: App Store disclosure exists; detailed policy not reviewed","high installed-base/network claim in listing and multi-tool routine","broad daily prayer/Quran utility; learning depth not evidenced","confirmed with gaps","2026-09-11","https://apps.apple.com/us/app/muslim-app-azan-qibla-quran/id1137963102","https://muslimapp.com/","Product was formerly branded Muslim Assistant."
"Muslim Global","Muslim Global publisher","Privacy-first Islamic superapp","iOS","confirmed: Quran reader, continuous audio, tajwid premium, reciters, search and bookmarks","not found","confirmed: home widgets","confirmed: reliable prayer notifications and prayer tracking","confirmed: adaptive khatm journey reroutes after missed days","not found: detailed source governance","confirmed: core free, 7-day Premium trial for reciters/offline/tajwid/themes; exact price not found","confirmed: publisher claims privacy-first; granular policy not reviewed","medium: premium reading plan and worship tools","notable benchmark for a simple adaptive completion plan without full learning engine","confirmed as publisher claims","2026-09-11","https://apps.apple.com/ch/app/ummah-prayer-quran/id6761806544","","Storefront currently exposes the product under Ummah naming in Switzerland."
"Athan Pro","Quanticapps Ltd","Apple-centric Islamic superapp","iOS; iPadOS; macOS; Apple Watch; Apple TV","confirmed: Quran listening","not found","confirmed: Apple Watch; widget detail not captured","confirmed: full athan and prayer alerts","confirmed: location/time and Qibla settings; learning personalization not found","not found","confirmed: free with IAP; exact price not found","confirmed: App Store disclosure exists; detailed policy not reviewed","high device ecosystem reach","broad prayer-first utility with relatively shallow Quran learning","confirmed with gaps","2026-09-11","https://apps.apple.com/us/app/athan-pro-muslim-prayer-times/id743843090","","Distinct from Athan by IslamicFinder."
"Athan Utility","Omar Al-Ejel","Privacy-first prayer utility","iOS; iPadOS; macOS; Apple Watch","confirmed absent: no Quran reader listed","not found","confirmed: home/lock-screen widgets, Smart Stack and watch complications","confirmed: adjustable prayer reminders and iOS 26 Fajr alarm","confirmed: on-device calculation, local method suggestions, colors and Siri","confirmed: regional calculation methods exposed; Quran source question not applicable","confirmed: free and ad-free","confirmed: no account, tracking or off-device precise location claimed","medium inside Apple ecosystem, low account lock-in","excellent narrow utility and privacy benchmark; not a Quran-learning competitor","confirmed","2026-09-11","https://apps.apple.com/us/app/athan-utility/id1076108131","","Included to test whether focus can beat breadth on trust and polish."
"Qalam","Baris Bingor","Family Islamic content superapp","iOS; iPadOS","confirmed: full Quran, recitation, translation, tafsir and offline access","confirmed: 40+ animated prophet stories and subject-based learning; formal curriculum depth not found","not found","confirmed: daily verse and prayer reminders","inference: audience/subject content adaptation; learner model not found","confirmed: app claims authentic hadith and sourced AI answers; review board and source-level audit not found","confirmed: free with IAP; exact price not found","not found: storefront links a generic-host privacy page that was not reachable during verification","medium-high: stories, AI buddy, family audience and daily content","broad family/AI proposition, but trust evidence is weaker than feature claims","confirmed with trust limitation","2026-09-11","https://apps.apple.com/us/app/qalam-quran-deen-stories/id6744072027","","Privacy and AI-source governance require deeper diligence before treating as benchmark quality."
"Noor - Quran Companion","M3 Strategies Limited","Subscription Islamic learning app","iOS; iPadOS","confirmed: Quran/Hadith grounding; full reader/audio depth not found","confirmed: guided journeys, bite-sized lessons, quizzes and visual progress","confirmed: Quran verse widgets","confirmed: daily practice; exact notification/streak mechanics not found","confirmed: step-by-step journeys; adaptive learner model not found","confirmed: claims Quran and Sahih Hadith references are tappable; expert review governance not found","confirmed: paid subscription required; exact current amount not captured","confirmed: App Store disclosure exists; detailed policy not reviewed","high: all access behind subscription and progress paths","closest Duolingo-like Islam learning proposition in this sample, but not a full Quran recitation coach","confirmed","2026-09-11","https://apps.apple.com/us/app/noor-quran-companion/id6751915818","","Relevant adjacency for course-path UX and source-linked AI answers."
"Quran Your Companion","Roshan Tiwari","Minimal Quran reader","iOS; iPadOS","confirmed: reader, audio, translations, tafsir, bookmarks, offline and lock-screen controls","not found","confirmed: audio lock-screen controls; widgets not found","not found","confirmed: local last-read and reading settings","not found: Quran text/tafsir source provenance in listing","confirmed: $0.99 weekly, $3.99 monthly, $29.99 yearly in US listing","confirmed: App Store declares no data collected","medium: subscription but no account; low content ecosystem lock-in","very lightweight reader; source trust gap is strategically material","confirmed with trust limitation","2026-09-11","https://apps.apple.com/us/app/quran-your-companion/id6760555511","","New, small app; inclusion illustrates low-cost reader commoditization."
"Wird - Quran Companion","Ibrahim Al Dulaijan","Offline privacy-first Quran companion","iOS; iPadOS","confirmed: official Madinah Mushaf, background/lock audio, recitation highlight and offline","not found","confirmed: lock-screen audio; widget not found","confirmed: prayer reminders, post-prayer adhkar and goal-completion-aware Quran reminders","confirmed: page goals, named bookmarks and remembered position","confirmed: Quran text attributed to King Fahd Complex; adhkar and duas cite references","confirmed: free, no ads, no subscriptions","confirmed: App Store declares no data collected and listing says everything stays on device","low account lock-in; high routine loyalty through simplicity","focused, trust-forward companion with strong offline execution and minimal ecosystem breadth","confirmed","2026-09-11","https://apps.apple.com/us/app/wird-quran-companion/id6791257820","","Requires iOS 26 in current listing, limiting addressable devices."
"Ummah Guide","Sagor Ahamed","Islamic superapp","iOS; iPadOS","confirmed: Surah/Mushaf, translation, tafsir, audio, word-by-word and expanded reciters","confirmed: basic Learn Islam guides; Academy not found","not found","confirmed: adhan, notification inbox and prayer streak","confirmed: methods, local adjustment and habit tracking","not found: detailed source governance; listing advises consulting scholars","confirmed: free","confirmed: App Store disclosure exists; detailed policy not reviewed","medium: local directory/halal tools and worship stack","broad entrant with rapid feature expansion; quality governance is not publicly evidenced","confirmed with gaps","2026-09-11","https://apps.apple.com/us/app/ummah-guide-muslim-prayer-app/id6760240389","","Release notes show frequent notification and reader fixes."
"Ummah Hub","YAM Software & Visuals LLC","Local-community Islamic superapp","iOS; iPadOS","confirmed: Quran with last-read resume and audio improvements; depth not fully found","not found","not found","confirmed: 10-day prayer notification scheduling and custom alerts","confirmed: optional account for favorites and local directory","not found","confirmed: free","confirmed: App Store disclosure exists; detailed policy not reviewed","high locally: mosque/halal/event directory plus optional favorites","community-directory differentiation with global worship basics; not a learning platform","confirmed with gaps","2026-09-11","https://apps.apple.com/us/app/ummah-hub/id6745749060","","Orange County directory focus limits direct global comparison."
