snapshot_date,product,segment,pain_category,recurring_pattern,user_impact,evidence_basis,signal_strength,status,muslingo_response,source_urls,notes
2026-09-11,Sadr,AI Quran memorization,no_reliable_pattern,Review volume and public support evidence are insufficient to establish a recurring pain,Prevalence cannot be claimed,"Official site, privacy and App Store checked",low,not_found,Keep competitor assumptions out of product decisions until stronger evidence exists,https://sadr.app/ | https://apps.apple.com/us/app/sadr-quran-memorization/id6762648928,Early product.
2026-09-11,Mualim,AI Quran recitation tracking,pricing_and_scope_clarity,Public surfaces do not make a stable paid boundary or recognition validation scope easy to compare,Prospective users may hesitate before committing voice data or payment,Official site and App Store listing,medium,inference,"Put price, free quota, supported checks, retention and deletion controls on one pre-consent screen",https://mualim-app.com/en | https://apps.apple.com/us/app/mualim-master-the-quran/id6471001108,No reliable recurring review pattern found.
2026-09-11,HIFZ,Structured hifz companion,pricing_transparency,Current price and plan limits are not consistently exposed on public official pages,Makes value comparison and budgeting harder,Official site and support checked,medium,confirmed,"Publish a stable pricing table with free limits, sync behavior and cancellation terms",https://gethifz.com/ | https://gethifz.com/support,"Packaging issue, not a product-quality judgment."
2026-09-11,Quran Companion,Quran memorization and social motivation,maintenance_and_fit,Public review/help evidence is too sparse to establish a current repeated issue,Prevalence cannot be claimed,Official App Store and Google Play checked,low,not_found,Use current retention and support telemetry before prioritizing parity work,https://apps.apple.com/us/app/quran-companion-memorize-quran/id1111843462 | https://play.google.com/store/apps/details?id=com.qurancompanion.app,not_found.
2026-09-11,Itqan Ayah,Quran memorization testing,paywall_clarity,"Premium gates are described, but a stable numeric price is not visible on the reviewed public listing",Learner knows what is gated but not the cost before entering the store flow,Official App Store listing,medium,confirmed,Show local price and trial conversion date before the first gated action,https://apps.apple.com/sa/app/itqan-ayah-quran-memorization/id6468956692,No recurring review theme established.
2026-09-11,Hifz Musaa'id,Hifz scheduling and review,future_price_transition,A currently free product announces paid tiers for 2027,Users may be uncertain which saved features remain free,Official site and store listing,medium,inference,"Grandfather terms clearly, export progress, and notify well before any entitlement change",https://www.hifzmusaaid.com/ | https://apps.apple.com/us/app/hifz-musaaid-memorize-quran/id6767211882,"Transition risk, not a present complaint."
2026-09-11,iman.app,Quran memorization cycles,price_discoverability,Premium benefits and family size are public but the numeric price is not visible in the reviewed table,Adds checkout uncertainty,Official site and pricing page,medium,confirmed,Display current local price next to each benefit and trial/renewal condition,https://iman.app/pricing | https://iman.app/,No recurring review theme established.
2026-09-11,Muslim Pro,Islamic superapp,ads_and_context,Users repeatedly object to ad volume and inappropriate or poorly timed ads around worship content,Interrupts reading/prayer and creates a trust breach,Multiple App Store reviews plus official ad-removal packaging,high,confirmed,"No third-party ads inside Quran lessons, prayer, recitation or microphone flows; monetize with transparent subscription value",https://apps.apple.com/us/app/muslim-pro-quran-athan/id388389451?see-all=reviews | https://apps.apple.com/us/app/muslim-pro-quran-athan/id388389451,Repeated across visible reviews.
2026-09-11,Muslim Pro,Islamic superapp,feature_bloat,Some users value breadth but report that extra surfaces slow access to prayer/Quran essentials,Primary tasks feel buried,App Store review patterns and broad official feature inventory,medium,inference,"Keep Muslingo focused on today’s lesson; reader, coach and review are one tap away",https://apps.apple.com/us/app/muslim-pro-quran-athan/id388389451?see-all=reviews,Breadth is confirmed; negative impact is review-derived.
2026-09-11,Muslim Pro,Islamic superapp,widgets_and_watch,Users report mismatch between advertised ecosystem breadth and reliability of widgets/watch surfaces,Daily utility becomes unreliable,App Store review with switching statement; official listing documents supported devices,medium,anecdotal,Treat lock-screen widget and notifications as monitored production surfaces with fallback and delivery telemetry,https://apps.apple.com/us/app/muslim-pro-quran-athan/id388389451?see-all=reviews,Single prominent review; not a universal failure claim.
2026-09-11,Sajda,Islamic superapp and Academy,no_reliable_pattern,Accessible official surfaces did not establish a repeated current pain pattern,Prevalence cannot be claimed,"Official site, privacy and store positioning checked",low,not_found,"Benchmark feature execution, but validate Muslingo decisions with its own user evidence",https://sajda.com/en | https://sajda.com/en/privacy,not_found.
2026-09-11,Quran Majeed,Quran reader and Islamic utility,ads_and_blocking,Ads can obstruct entry into Quran reading and are especially sensitive in religious context,Some users switch readers entirely,App Store reviews across US and regional storefronts,high,confirmed,Never gate entry to Quran text with an interstitial; keep core reader ad-free,https://apps.apple.com/us/app/id365557665?see-all=reviews | https://apps.apple.com/qa/app/quran-majeed-the-holy-quran/id365557665,First URL may redirect by locale; product id is authoritative.
2026-09-11,Quran Majeed,Quran reader and Islamic utility,bookmarking,Bookmark actions can be easy to trigger accidentally and difficult to manage when several exist,Users lose place or move daily reading to another app,App Store review,medium,anecdotal,"Separate last-read marker, bookmarks and audio timestamp; add undo and clear labels",https://apps.apple.com/us/app/quran-majeed-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id365557665?see-all=reviews,Single visible detailed review.
2026-09-11,Quran.com,Quran reader and study,cross_surface_consistency,"The ecosystem spans web, Android, iOS/audio and Connected Apps, so feature parity and sync expectations can differ",Users may not know which progress objects synchronize,Official product and Connected Apps documentation,medium,inference,List exactly which objects sync and support graceful local-only mode,https://quran.com/ | https://api-docs.quran.com/docs/connected-apps/,No recurring negative review pattern used.
2026-09-11,Athan by IslamicFinder,Prayer and Islamic superapp,ads_and_context,"Repeated reviews cite excessive or inappropriate ads, including overlap with Athan/Quran moments",Damages trust and interrupts worship,Multiple recent low-rated official App Store reviews,high,confirmed,Use no advertising in sacred/core flows and provide a calm direct route to the requested task,https://apps.apple.com/us/app/athan-prayer-times-al-quran/id505858403?see-all=reviews,Repeated pattern.
2026-09-11,Athan by IslamicFinder,Prayer and Islamic superapp,notification_reliability,Athan notifications are reported to stop or fail intermittently,The primary promise of the app is missed,Multiple App Store reviews and official notification feature claim,high,confirmed,"Add delivery health checks, OS-permission diagnostics, timezone tests and a visible last-scheduled status",https://apps.apple.com/us/app/athan-prayer-times-al-quran/id505858403?see-all=reviews | https://www.islamicfinder.org/,Must still distinguish OS restrictions from app defects.
2026-09-11,Pillars,Privacy-first prayer utility,limited_learning_depth,The product intentionally focuses on prayer rather than Quran learning,Not a defect; users need another product for structured study,Official scope FAQ,low,confirmed,"Position Muslingo as a focused learning companion, not a replacement for trusted prayer utilities",https://www.thepillarsapp.com/faqs | https://www.thepillarsapp.com/,Scope gap only.
2026-09-11,Miraj Stories,Islamic kids stories and learning,price_discoverability,Family/device/trial terms are clearer than the universal numeric price,Parents may need to enter a store flow before comparing,Official FAQ and site,medium,confirmed,Show one local-currency family price with trial end and device/profile limits,https://www.mirajstories.com/faq/ | https://www.mirajstories.com/,No repeated review pattern established.
2026-09-11,Muslim Kids TV,Islamic kids streaming and learning,pricing_help_demand,"A dedicated pricing help article has substantial feedback volume, suggesting recurring need for plan clarification",Plan comparison is a frequent support topic,Official help article; 46 of 66 marked helpful,medium,inference,Keep pricing visible in product and show exactly what remains accessible after cancellation,https://help.muslimkids.tv/hc/en-us/articles/35566460267668-Plans-and-Pricing,Feedback count does not reveal the reason for unhelpful votes.
2026-09-11,Durioo+,Islamic kids streaming,regional_offer_inconsistency,"Official global and campaign pages simultaneously show materially different monthly, annual and trial offers",Families can see conflicting prices depending on entry page,Multiple official pricing and campaign pages,high,confirmed,Resolve region first and display one canonical offer; label campaigns and expiry clearly,https://duriooplus.com/pricing | https://join.duriooplus.com/ | https://join.duriooplus.com/safescreentime/,This is observable packaging fragmentation.
2026-09-11,Naml,Family Quran memorization,content_ceiling,Current public curriculum is limited to 38 Juz 30 surahs,Advanced families may outgrow the path,Official product page,medium,confirmed,Show curriculum coverage and release roadmap; route advanced learners to a broader mastery path,https://naml-app.com/en,"Scope limitation, not user-review prevalence."
2026-09-11,Quran Era,Gamified Quran reading for children,product_service_complexity,"Self-paced app, family/school plans and live classes create several adjacent offers",Parents may struggle to choose the right route,"Official pricing, FAQ and live-class pages",medium,inference,"Ask age, independence and teacher preference, then recommend one package",https://quranera.com/pricing.html | https://quranera.com/FAQ.html | https://quranera.com/live-classes.html,No repeated review pattern established.
2026-09-11,Noor Kids,Islamic character education,bundle_comparison,"Physical, digital and subscription products are mixed across storefront/help surfaces",Direct app-price comparison can be confusing,Official store and pricing help,medium,inference,"Separate digital access, physical kits and classroom packages in the offer architecture",https://help.noorkids.com/support/solutions/articles/13000117713-subscription-plans-pricing | https://noorkids.com/,No repeated review pattern established.
2026-09-11,AlifBee,Modern Standard Arabic learning,price_discoverability,"Public pages explain value but exact price depends on region, platform and product; Kids requires in-app registration to see offers",Creates comparison friction,Official pricing/store/help pages,high,confirmed,"Expose localized monthly, annual and lifetime prices before registration",https://www.alifbee.com/en/price-page | https://store.alifbee.com/collections/alifbee-premium-subscriptions | https://help.alifbee.com/hc/en-us/articles/10240815640093--How-much-does-AlifBee-Kids-cost,Repeated across separate official surfaces.
2026-09-11,Duolingo,General language and gamified learning,monetization_pressure,"Energy/Hearts, ads and frequent upgrade incentives can feel stronger than the learning value",Users may optimize for access or streak rather than mastery,Official Duolingo App Store packaging plus one comparative review on the Busuu App Store surface,low,anecdotal_cross_product,Never block Quran review after errors; sell convenience and expert value rather than relief from artificial friction,https://apps.apple.com/us/app/duolingo-language-lessons/id570060128 | https://apps.apple.com/us/app/busuu-language-learning-app/id379968583,Useful discovery signal only; not prevalence evidence for Duolingo users.
2026-09-11,Duolingo,General language and gamified learning,game_metric_distortion,"Streak, leagues and rewards can become the goal instead of durable learning",Activity may rise without mastery,Official product mechanics; educational consequence is inference,medium,inference,Award progress for delayed recall and corrected weak items; keep religious activity private,https://blog.duolingo.com/friends-social-features/ | https://apps.apple.com/us/app/duolingo-language-lessons/id570060128,Do not infer efficacy from engagement alone.
2026-09-11,Busuu,General language learning,pricing_fragmentation,"Many overlapping monthly, annual and Premium Plus SKUs appear in the storefront",Users cannot easily know the canonical price,US App Store in-app purchase list,high,confirmed,"Use at most three stable plans and show annual total, monthly equivalent and renewal date together",https://apps.apple.com/us/app/busuu-language-learning-app/id379968583,May include legacy/promotional SKUs.
2026-09-11,Busuu,General language learning,community_quality,Peer correction is useful for language transfer but cannot establish authoritative Tajweed or religious correctness,Quality depends on reviewer competence,Official community-learning claim; Islamic application is inference,medium,inference,"Restrict Tajweed/religious review to qualified, auditable roles",https://apps.apple.com/us/app/busuu-language-learning-app/id379968583,Not a criticism of Busuu's intended use.
2026-09-11,Memrise,General language learning,review_flow_control,Users report being cut off from completing queued vocabulary review or needing to restart the app,Breaks agency in the core practice loop,Official App Store review surface,medium,confirmed,"Never interrupt due review; provide continue, pause and resume with preserved queue state",https://apps.apple.com/us/app/memrise-language-learning-app/id635966718?see-all=reviews,Visible review pattern; exact frequency not quantified.
2026-09-11,Memrise,General language learning,content_and_product_change,Long-time users react strongly when familiar courses or controls change,Migration can destroy accumulated trust and habit,Official App Store reviews and current approved-course subscription notice,medium,confirmed,"Version learning paths, preserve progress mappings, announce removals and offer export",https://apps.apple.com/us/app/memrise-language-learning-app/id635966718,Historical product-transition concern remains relevant to retention.
2026-09-11,Pimsleur,Audio-first language learning,price_and_scope,"Course-specific purchases, subscriptions and market-dependent offers are hard to compare directly",Users may misunderstand what languages and ownership rights are included,Official pricing/checkout structure,medium,inference,Separate subscription access from permanent course purchase and show offline rights plainly,https://www.pimsleur.com/ | https://www.pimsleur.com/learn-arabic-modern-standard,No recurring official review pain pattern established.
