"id","snapshot_date","product","operator","segment","audience_age","platforms","languages_geography","learning_model","curriculum_multimedia","parent_family_controls","teacher_led_features","safeguarding_privacy","pricing_family_plan","evidence_status","confirmed","inference","not_found","transition_to_muslingo","official_urls","accessed_on"
"KF11","2026-09-11","Islam360Kids","Islam360 Foundation Trust","Islamic kids learning app","children; Google Play Everyone; exact age bands not found","Android","Pakistan/global; languages not fully stated","independent structured early learning","Noorani Qaida, Juz 30 reading, prophet stories, duas, prayer, wudu and moral animations","built for independent child use; parent dashboard not found","no teacher dashboard found","Google Play declares no data collected, no data shared and Play Families commitment","free listing; paid plan not found","confirmed","scope, July 2026 update and store data-safety declarations are official","broad basics app competes on zero-friction access, not personalization","learning progression; parent controls; content review board; iOS availability","Muslingo should preserve a free guest route and differentiate through diagnosis, skill graph and review scheduling","https://play.google.com/store/apps/details?id=com.islam360kids","2026-09-11"
"KF12","2026-09-11","AyaQuest","AyaQuest","meaning-first Quran app for kids","primary 7-9; tuned tiers 5-7 and 10-12","iPhone; iPad; cached lessons offline; AI chat online","English-led; Toronto/London positioning","5-10 minute illustrated surah story, comprehension quiz and bounded AI questions","114-surah roadmap; stories, audio bedtime mode, reflection and Arabic names","private parent dashboard; time targets; full AI conversation log; up to 6 sibling profiles stated","classroom codes and teacher material; teacher dashboard explicitly not yet available","no ads, no tracking or child IAP claimed; progress on device; parent sees and flags AI; bounded curated corpus","free starter content; Pro USD8.99/month or USD71.99/year; one-week trial; Apple Family Sharing","confirmed","scope limits, pricing, parent visibility and AI guardrails are unusually explicit","a strong trust benchmark for child AI, but it deliberately leaves recitation and tajwid to teachers","independent safety evaluation; Android; scholar identities; long-term child-data retention","Muslingo should match transparent AI boundaries, then add listen-first recitation, uncertainty labels and optional teacher escalation","https://ayaquest.ai/|https://ayaquest.ai/parents|https://ayaquest.ai/faq|https://ayaquest.ai/for-madrasahs|https://ayaquest.ai/quran-app-without-ads","2026-09-11"
"KF13","2026-09-11","Deenee","Alif Creations Ltd","gamified Islamic studies for kids","7-14","iOS; Android","English-led; geography not limited","10 levels per subject; micro-lessons; SRS; rewards","5,000+ lessons, quizzes, stories and audio claimed","child reports; weekly goal; parent can award gems for offline practice","no teacher dashboard found","scholar validation claimed; under-13 use requires parent; policy says public association may occur with user submissions; policy last updated 2020","subscription exists; current exact price not found","mixed","structured progression, SRS and parent goal loop are official","mature breadth is attractive, but the old privacy policy and possible public submissions deserve product diligence","current release cadence; current price; reviewer identities; deletion retention specifics","Muslingo can offer a narrower Quran outcome with newer child privacy defaults and no public child submissions","https://deeneeapp.com/|https://deeneeapp.com/privacy-policy/","2026-09-11"
"KF14","2026-09-11","Quran Era","Quran Era Inc.","gamified Quran and Arabic for kids","children; official FAQ does not state exact range","web; iOS; Android","English-speaking Muslim children","independent games and lessons plus optional live academy","small video lessons, games, activities, Arabic/Quran pathway","parent account creates child; family subscription; progress implied","teacher/school membership and one-to-one Quran Era Academy","COPPA and UK Children's Code claims; parent/school supplies child name and school year; no child data disclosed to third parties claimed","7-day trial with payment method; monthly/yearly family plans; exact amount not visible in fetched page","confirmed","family/school account structure, trial mechanics, live classes and child privacy controls are documented","hybrid self-paced plus teacher model is a close benchmark for Muslingo family mode","exact age band; current numeric pricing; teacher dashboard screenshots; assessment validity","offer a no-card first diagnostic and import known letters/surahs manually, then prove a more personalized daily path","https://quranera.com/FAQ.html|https://quranera.com/pricing.html|https://quranera.com/privacy-policy.html","2026-09-11"
"KF15","2026-09-11","AlifBee Kids","AlifBee","Arabic learning for children","2+","web; iOS; Android; up to 5 devices","Arabic immersion; global; interface language selector","entertainment immersion through games, stories and songs","500+ activities, songs and videos; listening, reading, pronunciation and writing","up to 5 children; child report; age, gender, name and time-limit control","1,000+ schools claimed; school use exists; dashboard depth not found","no ads in premium; safe environment claim; detailed child privacy and retention not found in reviewed help pages","free mode about 20%; 1, 3 and 12-month plans; regional amount shown only in app","confirmed","multi-child controls, free gate and learning modalities are in official help center","strong Arabic immersion complement; not Quran comprehension or recitation mastery","teacher analytics; scholar governance; child-data deletion; exact regional price","let users select AlifBee experience level, skip mastered alphabet items and enter Quran-specific transfer exercises","https://alifbeekids.com/ar|https://help.alifbee.com/hc/en-us/articles/10239530428573--What-is-AlifBee-Kids|https://help.alifbee.com/hc/en-us/articles/10213436606621--AlifBee-Kids-Sections|https://help.alifbee.com/hc/en-us/articles/10239728344477--Is-AlifBee-Kids-free","2026-09-11"
"KF16","2026-09-11","Journey2Jannah / Safar ecosystem","Safar Publications Ltd","Islamic curriculum and digital companion","young learners; grade/age mapping by curriculum","web on any device; separate iOS/Android duas app; print","UK-rooted, global schools and homes; English-led","integrated books, animated lessons, quizzes, gamification and teacher guides","Primary Books 1-6; Islamic Studies, Qaidah/Tajwid, duas and surahs","documented parent accounts and learning support; details behind help center","admin, parent and student roles; teacher training and toolbox","scholarly/authentic-source positioning; child privacy controls not established in this review","14-day trial stated; school educational discount 30%; full plan amount not found","confirmed","the ecosystem, role-specific help center, teacher resources and digital companion are official","strongest curriculum operations benchmark in this set","current subscription amount; parent/teacher analytics fields; privacy retention; localization","Muslingo should partner/license rather than copy, and can act as adaptive daily practice between Safar lessons","https://safarpublications.org/|https://docs.safarpublications.org/|https://safarpublications.org/help-center/islamic-studies/primary-islamic-studies-syllabus/are-safar-publications-available-as-ebooks-or-digital-downloads/|https://resources.safarpublications.org/","2026-09-11"
"KF17","2026-09-11","Qaf School","Qaf School App","Islamic school management","schools, teachers, parents and students","web; native iOS; native Android; classroom TV","global; language list not found","teacher-assigned syllabus, homework, attendance and Quran revision","114 surahs supported; Quran memorization, Arabic and Islamic Studies administration","multiple children; parent homework, grades, attendance, news and push notifications","full admin, teacher, substitute and classroom roles; teacher verification","claims no ads/tracking/data sale; COPPA, GDPR and FERPA alignment; parental consent for all student accounts; school data isolation","free; no subscription or credit card claimed","confirmed","role model, family visibility, institution isolation and free pricing are explicit","excellent workflow benchmark, not a standalone Quran pedagogy engine","independent compliance audit; breach-liability posture is unusually broad; content curriculum ownership","integrate Muslingo assignments and mastery receipts into teacher workflows through export/API later, without rebuilding a school SIS first","https://www.qaf.app/en|https://www.qaf.app/en/features/mobile-apps|https://www.qaf.app/legal/terms","2026-09-11"
"KF18","2026-09-11","Beckah Games","Beckah Foundation","free family and classroom games","new Muslims, families and classrooms","web app","English and Arabic/bilingual claims","adaptive Quran challenge and teacher-created group quizzes","Quran completion/order/surah questions plus Islamic and school trivia","family/group play; parent dashboard not found","School Portal lets teachers create question sets and run class games","verified-text positioning; privacy/data policy not found on reviewed games page","free","confirmed","free games, adaptive Quran questions and School Portal are official","useful acquisition and classroom engagement surface, but weak evidence of durable mastery","child accounts; analytics; content review board; data retention","use shareable, source-backed diagnostic challenges as top-of-funnel, then convert results into a private Muslingo plan","https://www.beckah.org/en/games","2026-09-11"
"KF19","2026-09-11","Salam Games","Salam Games","Islamic educational games","children, families, homeschoolers and teachers","web","English-led","select practice intent and receive a suggested game/lesson path","Quran, dua, 99 Names, pillars, manners, prophets, Arabic, quizzes and printables","family play and homeschool resources; dashboard not found","parent and teacher printable resources; no teacher dashboard confirmed","privacy, ads and child-data controls not found on reviewed landing page","free access implied; exact commercial model not found","mixed","topic breadth and lesson-path claim are on official site","lightweight content acquisition competitor rather than progress system","operator identity; review governance; privacy; age bands; analytics; pricing","offer a better free challenge with a diagnostic result and immediate personalized continuation, not a generic topic menu","https://salamgames.com/","2026-09-11"
"KF20","2026-09-11","Al-Kisa / Kisa Kids","Al-Kisa Foundation","teacher and parent curriculum","Pre-K through Grade 12 materials","digital downloads; print; online teacher resources","US/UK/Australia storefronts; English-led","grade-sequenced teacher guides, student texts and workbooks","Aqaid, fiqh, history, akhlaq and Quran pilots; lesson vocabulary, talking points and worksheets","family resources; no app-style multi-child dashboard found","teacher editions, classroom discounts and teacher training development","foundation review and mission-team review described; denominational perspective should be explicit; app child-data issue largely not applicable","many digital guides USD0/GBP0 with donation option; school discount on some products","confirmed","grade scope and teacher/student resource structure are official","deep pedagogy and governance benchmark, but not a direct mobile habit product","digital analytics; parent progress; exact reviewer roster per module; interoperability","Muslingo should disclose its own doctrinal/editorial scope, link sources and use licensed partnerships instead of silently blending traditions","https://us.alkisafoundation.org/collections/islamic-curriculum|https://uk.alkisafoundation.org/products/grade-kindergarten-teacher-edition|https://uk.alkisafoundation.org/products/quran-reading-grade-5","2026-09-11"
"KF21","2026-09-11","Muslim Homeschool App","Muslim Homeschooling","parent coaching and homeschool support","parents; App Store age rating 4+","iPhone; iPad","English","recorded coaching plus community-oriented parent education","Homeschool A to Z: learning, law, deen/dunya, power struggles, socialization and time management","product is primarily a parent workspace rather than child dashboard","coaching model; no institutional teacher dashboard found","App Store privacy declarations should be checked in storefront; child-facing data model not described","free download with in-app purchases; exact plan not found","mixed","scope, platform and parent-centered program are in official App Store listing","addresses parent confidence and routines rather than Quran mastery","price; data practices; community moderation; child profiles","Muslingo onboarding can ask parents for available time and confidence, then produce a realistic family routine instead of only testing the child","https://apps.apple.com/us/app/muslim-homeschool-app/id1614411646","2026-09-11"
"KF22","2026-09-11","Quran For Kids, Tarteel: NOOR","NOOR Technologies","gamified Quran recitation and hifz","5-14","Android phone and tablet","Arabic plus localized store listings; global","adventure quests, XP, mistake review and daily reminders","Noorani Qaida, alphabet, tajwid questions, Juz/surah memorization and up to 15 ayat/day","parent dashboard shows time, accuracy, sessions and errors; child-mode preview","teacher mode not found","ad-free subscription; Google Play says no third-party sharing, encryption in transit, deletion request and Play Families commitment; collects location, personal info and other data","subscription required; quarterly and annual plans; exact amount not shown in listing","confirmed","this is the closest child-focused feature competitor: parent error dashboard, gamification and adaptive review are explicit","store reviews indicate possible speech false negatives and inconsistent progress messages; this is user evidence, not verified root cause","independent speech accuracy; precise pricing; teacher escalation; iOS status; retention periods","Muslingo must win on honest pronunciation confidence, replay/retry, listen-first flow and a no-card diagnostic before any subscription wall","https://play.google.com/store/apps/details?hl=en_US&id=com.kaderisoft.islam","2026-09-11"
"KF23","2026-09-11","New Muslim Academy","New Muslim Academy","new Muslim structured learning","new Muslims; age policy not found on courses page","web LMS; live classes and resources","global English-led","introductory then gated advanced courses, live classes and community discussion","faith, worship, salah, relationships, work, home and wellbeing courses","individual learner account; family controls not applicable","live classes and discussion with instructors/community","convert-sensitive positioning; privacy details not reviewed; safeguarding for minors not found","free positioning commonly stated by organization; exact payment model not found on reviewed official pages","mixed","course sequencing and live/community elements are official","human support and life-context topics solve emotional needs that a Quran-only app misses","mentor assignment model; moderation SLA; age/safeguarding; completion evidence","Muslingo should create a low-pressure new-Muslim route with optional local mentor referral and avoid overwhelming users with the full catalog","https://www.newmuslimacademy.org/our-courses/|https://www.newmuslimacademy.org/faq-section/","2026-09-11"
"KF24","2026-09-11","iERA Muslim Now / New Muslim Training","iERA","new Muslim education and mentorship","18+ registration; minors told to seek guardian consent","web portal; webinars; downloadable notes","global; English and localized program variants","bite-sized self-paced video plus 14-week webinars, quizzes and local mentor connection","pillars of iman and Islam, foundations, worksheets and bonus resources","adult learner consent flow; family controls not applicable","qualified instructors, webinars, peer community and local mentor contact","explicit 18+ confirmation and guardian notice; WhatsApp/contact consent; terms/privacy linked","free online class and program stated","confirmed","structured course, human mentor lane and age/consent gate are official","strongest transition/community benchmark for converts","mentor vetting and matching controls; response SLA; current language coverage","Muslingo should detect new-Muslim goals, provide a first-week essentials plan and hand off sensitive questions to vetted local support","https://newmuslim.iera.org/|https://newmuslim.iera.org/courses/|https://newmuslim.iera.org/learn-about-islam/","2026-09-11"
"KF25","2026-09-11","NewMuslims.com / New Muslims app","IslamReligion.com","new Muslim e-learning","new Muslim converts; store content rating not specified in fetched excerpt","web; Android","global; English-led","10 sequential levels; lesson then quiz then unlock next","faith, prayer, community adjustment, family disclosure and study methodology","account stores progress; family controls not applicable","no live teacher dashboard found","Google Play says personal info and app activity may be collected, encrypted in transit and deletable; no third-party sharing declared","free listing; paid plan not found","confirmed","level structure, quiz progression, app update and data-safety declaration are official","broad and systematic but may feel content-heavy without adaptive pacing","human escalation; content review dates; age policy; iOS; personalization","offer import by level self-assessment, compress known material and provide a daily plan with trusted source cards","https://www.newmuslims.com/|https://play.google.com/store/apps/details?id=com.newmuslims.sa.nmapp","2026-09-11"
"KF26","2026-09-11","New Muslim Academy UK","New Muslim Academy UK","new Muslim courses and community","new Muslims; exact age policy not found","web LMS; app links advertised","UK-rooted, available online globally; English","short video courses and teacher/community-led classes","basic understanding, salah, Ramadan and iman series","individual account; family controls not applicable","teacher guidance and community bonding are emphasized","privacy/safeguarding details not found on reviewed home page","pricing not found","mixed","course counts and learning path are on official site","the value is belonging and practical guidance more than assessment technology","active app links; price; moderation; teacher credentials; data policy","Muslingo should pair structured Quran practice with local community referrals and a visible 'ask a specialist' route","https://newmuslim.co.uk/","2026-09-11"
"KF27","2026-09-11","Studio Arabiya","Studio Arabiya Institute","live Quran, Arabic and Islamic Studies","kids, teens, adults and families","web portal and live classroom","global; Arabic and English","structured live instruction plus portal practice","Quran hifz/recitation, tajwid, Arabic, Islamic Studies, games, flashcards, textbooks and certificates","family scheduling; parent testimonials; dedicated parent dashboard details not found","live expert teachers 24/7 availability claim; progress reports and certificates","teacher-led safety depends on operational vetting; child privacy and recording retention not established in reviewed pages","programs shown starting around USD158/month on current homepage; course-dependent","confirmed","portal, courses, live teachers, progress and starting price are official","high-cost human instruction sets the ceiling for trust and correction quality","teacher vetting evidence; child session recording policy; family discount; response SLA","Muslingo can be the between-class practice layer and escalate repeated uncertain errors to a booked human review","https://studioarabiya.com/home/|https://support.studioarabiya.com/portal/en/kb/articles/courses-that-we-offer","2026-09-11"
"KF28","2026-09-11","Firdaws Academy","Firdaws Academy","live Quran, Arabic and Islamic Studies","children and adults; teacher portal lists children 1-10 and teens 11-20","web portal; live video/audio classroom","global; portal exposes Arabic, English, French, German, Spanish, Urdu, Italian, Portuguese, Russian and Turkish","placement assessment, personalized one-to-one instruction and progress reports","foundation reading, recitation, hifz, Islamic Studies and Arabic","family dashboard lists multiple learners, class history, reports and invoices","student, teacher and admin portals; teachers record a summary after each class; monthly reports","safe-environment and privacy claims; exact child consent, background-check and recording-retention controls not found","free 30-minute trial; current terms state a regular study-hour rate of USD8.50; invoices are per student","confirmed","role portals, family dashboard, course list, reporting and current terms are official","operationally rich teacher model but quality consistency depends on tutor management","background checks; child consent; recording retention; exact family discount; incident workflow","use Muslingo placement to prepare students and produce a concise error report for a Firdaws-style tutor, with partnership rather than substitution","https://firdawsacademy.com/|https://firdawsacademy.com/new-academy-portal/|https://firdawsacademy.com/terms-and-conditions-of-firdaws-academy/|https://portal.firdawsacademy.com/login","2026-09-11"
"KF29","2026-09-11","Riwaq Al Quran","Riwaq Al Quran","live one-to-one Quran learning","kids 4+; adults also served","online live classes","US, UK, Canada and 40+ countries claimed","free evaluation, trial class and personalized one-to-one path","Noorani Qaida, tajwid, hifz, Arabic, Islamic Studies and ijazah","parent-oriented enrolment and wallet; dashboard details not found","certified native Arab teachers; private lessons","no-card trial lowers risk; child safety, teacher vetting and data retention not detailed on course page","starting USD10/hour; wallet pays only attended classes; free trial","confirmed","age, course range, evaluation and flexible wallet pricing are official","strong human-trust alternative for families who reject automated pronunciation scoring","background checks; guardian observation; recording policy; progress-report schema","Muslingo should be honest that high-stakes tajwid belongs with teachers and offer exportable practice history before a live session","https://riwaqalquran.com/quran-for-kids/","2026-09-11"
"KF30","2026-09-11","Qutor","Qutor","Quran tutor marketplace","kids and adults","web integrated classroom","global","browse tutor, free interview, buy credits and learn through video/audio/chat/whiteboard","Noorani Qaida, recitation, tajwid, hifz and Arabic","parent can choose tutor; formal family controls not found","1,700+ tutors and integrated classroom claimed; tutor marketplace profiles","hand-picked tutor claim; detailed safeguarding, background checks and child-session controls not found on landing page","30-minute free classroom time; tutor-set rates via credits; no monthly fee","mixed","marketplace scale, free trial time and classroom tools are official","choice and price flexibility are strengths, but parent trust depends on vetting transparency","current vetting standard; child safety controls; dispute process; session recording; average price","Muslingo can generate a portable learner profile and help users choose when a human tutor is needed, without becoming an unmoderated marketplace","https://qutor.com/","2026-09-11"
