"module_id","track","strand","sequence","module_title","learning_objective","difficulty","prerequisite","source_locator","rights_status","review_status","video_need","speaker_domain"
"QUR-011","Quran","Surah 91","11","Ash-Shams / Аш-Шамс: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 91:1-15.","Intermediate 1","QUR-010","Tanzil Quran Text v1.1 91:1-15 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 91 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-012","Quran","Surah 91","12","Ash-Shams / Аш-Шамс: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 91:1-15.","Intermediate 2","QUR-011","Tanzil Quran Text v1.1 91:1-15 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 91 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-013","Quran","Surah 92","13","Al-Layl / Аль-Ляйль: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 92:1-21.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 92:1-21 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 92 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-014","Quran","Surah 92","14","Al-Layl / Аль-Ляйль: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 92:1-21.","Beginner 1","QUR-013","Tanzil Quran Text v1.1 92:1-21 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 92 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-015","Quran","Surah 92","15","Al-Layl / Аль-Ляйль: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 92:1-21.","Beginner 2","QUR-014","Tanzil Quran Text v1.1 92:1-21 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 92 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-016","Quran","Surah 92","16","Al-Layl / Аль-Ляйль: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 92:1-21.","Intermediate 1","QUR-015","Tanzil Quran Text v1.1 92:1-21 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 92 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
"QUR-017","Quran","Surah 92","17","Al-Layl / Аль-Ляйль: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 92:1-21.","Intermediate 1","QUR-016","Tanzil Quran Text v1.1 92:1-21 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 92 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-018","Quran","Surah 92","18","Al-Layl / Аль-Ляйль: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 92:1-21.","Intermediate 2","QUR-017","Tanzil Quran Text v1.1 92:1-21 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 92 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-019","Quran","Surah 93","19","Ad-Duha / Ад-Духа: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 93:1-11.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 93:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 93 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-020","Quran","Surah 93","20","Ad-Duha / Ад-Духа: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 93:1-11.","Beginner 1","QUR-019","Tanzil Quran Text v1.1 93:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 93 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-021","Quran","Surah 93","21","Ad-Duha / Ад-Духа: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 93:1-11.","Beginner 2","QUR-020","Tanzil Quran Text v1.1 93:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 93 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-022","Quran","Surah 93","22","Ad-Duha / Ад-Духа: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 93:1-11.","Intermediate 1","QUR-021","Tanzil Quran Text v1.1 93:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 93 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
"QUR-023","Quran","Surah 93","23","Ad-Duha / Ад-Духа: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 93:1-11.","Intermediate 1","QUR-022","Tanzil Quran Text v1.1 93:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 93 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-024","Quran","Surah 93","24","Ad-Duha / Ад-Духа: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 93:1-11.","Intermediate 2","QUR-023","Tanzil Quran Text v1.1 93:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 93 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-025","Quran","Surah 94","25","Ash-Sharh / Аш-Шарх: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 94:1-8.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 94:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 94 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-026","Quran","Surah 94","26","Ash-Sharh / Аш-Шарх: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 94:1-8.","Beginner 1","QUR-025","Tanzil Quran Text v1.1 94:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 94 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-027","Quran","Surah 94","27","Ash-Sharh / Аш-Шарх: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 94:1-8.","Beginner 2","QUR-026","Tanzil Quran Text v1.1 94:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 94 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-028","Quran","Surah 94","28","Ash-Sharh / Аш-Шарх: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 94:1-8.","Intermediate 1","QUR-027","Tanzil Quran Text v1.1 94:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 94 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
"QUR-029","Quran","Surah 94","29","Ash-Sharh / Аш-Шарх: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 94:1-8.","Intermediate 1","QUR-028","Tanzil Quran Text v1.1 94:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 94 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-030","Quran","Surah 94","30","Ash-Sharh / Аш-Шарх: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 94:1-8.","Intermediate 2","QUR-029","Tanzil Quran Text v1.1 94:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 94 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-031","Quran","Surah 95","31","At-Tin / Ат-Тин: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 95:1-8.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 95:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 95 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-032","Quran","Surah 95","32","At-Tin / Ат-Тин: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 95:1-8.","Beginner 1","QUR-031","Tanzil Quran Text v1.1 95:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 95 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-033","Quran","Surah 95","33","At-Tin / Ат-Тин: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 95:1-8.","Beginner 2","QUR-032","Tanzil Quran Text v1.1 95:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 95 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-034","Quran","Surah 95","34","At-Tin / Ат-Тин: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 95:1-8.","Intermediate 1","QUR-033","Tanzil Quran Text v1.1 95:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 95 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
