id,category,name,url,status,finalUrl,title,description,reuse,fetchedAt,fetchError
"understand-quran-terms","tajwid-rights","Understand Al-Quran Terms","https://understandquran.com/term-conditions/","200","https://understandquran.com/term-conditions/","Term Conditions - Understand Al Quran Academy","Menu Volunteers Blogs News Download Mobile Apps FAQs Policies Terms and Conditions Privacy Policy Privacy policy &ndash; Mobile Application Cancellation & Refund policy Login Login Logout Terms & Conditions Home > Terms & ConditionsOVERVIEWThis website is operated by Edusuite Solutions Private Limited. Throughout the site, the terms &ldquo;we&rdquo;, &ldquo;us&rdquo; and &ldquo;our&rdquo; refer to Edusuite Solutions Private Limited. Edusuite Solutions&hellip;","No copying or reproduction without written permission; clean-room authoring or a license required","2026-09-10T18:27:46.348Z",""
"memrise-arabic","arabic-language","Memrise Arabic","https://www.memrise.com/en/learn-arabic","200","https://www.memrise.com/en/learn-arabic","Learn Arabic Language with Memrise","Learn Arabic with Memrise: Discover vocabulary, pronunciation and listening practice and videos of native speakers using the Arabic language in context.","Reference pedagogy only","2026-09-10T18:27:55.412Z",""
"sajda","competitor","Sajda","https://sajda.com/","200","https://sajda.com/en","Accurate Prayer Times, Quran, Athan and Qibla Direction | Sajda","Get the most accurate Prayer (salah) times, Qibla direction for more than 5 million places.","Reference product behavior only","2026-09-10T18:28:00.160Z",""
"quran-revolution","tajwid","Quran Revolution","https://quranrevolution.com/","200","https://quranflow.org/","Quran Flow &#8211; Transform Your Connection, Perfect Your Recitation","A guided recitation program that helps busy adults read the Quran with flow and confidence, at your own pace, with a personal coach beside you.","Commercial curriculum; partnership or license required","2026-09-10T18:28:13.849Z",""
"quran-academy","memorization","Quran Academy","https://quranacademy.io/","200","https://quranacademy.io/","Quran Academy: Learn, Love & Live the Quran","At Quran Academy, we provide technology-based resources to help you connect and engage with the Quran daily in these modern times.","Verify current terms before any integration","2026-09-10T18:28:22.824Z",""
"youtube-arabic101","video-tajwid","Arabic 101 YouTube","https://www.youtube.com/@Arabic101","200","https://www.youtube.com/@Arabic101","Arabic 101","Want to learn Arabic/ Quran the right way? Do you want to be able to read AND understand the Noble Quran? Then you've come to the right place. Arabic 101 wil...","Embed/link under YouTube terms; do not download or repackage","2026-09-10T18:28:28.773Z",""
"youtube-bayyinah","video-quranic-arabic","Bayyinah Institute YouTube","https://www.youtube.com/@bayyinah","200","https://www.youtube.com/@bayyinah","Nouman Ali Khan - Official - Bayyinah","Connect Directly to the Words of Allah Beyond Translation.Go from simply hearing the beauty of the Quran to understanding, feeling and living its divine mess...","Embed/link under YouTube terms; do not download or repackage","2026-09-10T18:28:30.887Z",""
"youtube-yaqeen","video-islamic-studies","Yaqeen Institute YouTube","https://www.youtube.com/@yaqeeninstituteofficial","200","https://www.youtube.com/@yaqeeninstituteofficial","Yaqeen Institute","We’re a nonprofit on a mission to pioneer Islamic research in creative, cutting-edge formats tailored to meet people where they are. Our purpose is to move p...","Embed/link under YouTube terms; do not download or repackage","2026-09-10T18:28:32.505Z",""
"youtube-learn-quranic-arabic","video-quranic-arabic","Learn Quranic Arabic YouTube","https://www.youtube.com/@LearnQuranicArabic","200","https://www.youtube.com/@LearnQuranicArabic","LearnQuranicArabic","Learn Arabic and understand the Quran directly from the source, no translation needed. Our lessons are designed to be the most comprehensive, enjoyable, and ...","Embed/link under YouTube terms; do not download or repackage","2026-09-10T18:28:33.127Z",""
"youtube-madinah-arabic","video-arabic","Madinah Arabic Alphabet Video","https://www.youtube.com/watch?v=5g6QS67UsmQ","200","https://www.youtube.com/watch?v=5g6QS67UsmQ","Learn Arabic Alphabet by Madinah Arabic","Learn Arabic Alphabet video teaches you how each Arabic letter is written and pronounced along with an illustration of a word using that letter and guides on...","Embed/link under YouTube terms; do not download or repackage","2026-09-10T18:28:33.929Z",""
